web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520683188-931","https://www.whoscored.com/Teams/183/Fixtures/England-Bournemouth","1 : 1","https://www.whoscored.com/Matches/1190319/Live/England-Premier-League-2017-2018-Bournemouth-Southampton","0Formation Set  4411  4411 30Adam Smith recieves a yellow card 30Jermain Defoe recieves a yellow card 41GOAL! Ryan Fraser scores , Assisted by Andrew Surman (Low to the centre, 18-yard box, Right footed, Open play) 41Andrew Surman assists a goal (Key pass, Open play) 58Simon Francis blocks a shot (Last line) 68Jermain Defoe is substituted off 68Junior Stanislas is substituted off 68Jordon Ibe is substituted on 68Callum Wilson is substituted on 91Ryan Fraser is substituted off 91Benik Afobe is substituted on","0Formation Set  4231  4231 40Wesley Hoedt commits an error (Leading to goal) 45Nathan Redmond is substituted on 45James Ward-Prowse is substituted off 60GOAL! Charlie Austin scores , Assisted by Nathan Redmond (Low to the right, 18-yard box, Right footed, Open play) 60Nathan Redmond assists a goal (Key pass, Open play) 73Mario Lemina is substituted on 73Dusan Tadic is substituted off 73Formation Change  4231  4231 75Mario Lemina recieves a yellow card 84Steven Davis is substituted off 84Manolo Gabbiadini is substituted on 84Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1190319/LiveStatistics/England-Premier-League-2017-2018-Bournemouth-Southampton","Bournemouth1 : 1SouthamptonElapsed:FTHalf time:1 : 0Full time:1 : 1Kick off:13:30Date:Sun, 03-Dec-17","16Shots155Shots on target479%Pass Success %81%36%Aerial Duel Success64%10Dribbles won1312Tackles23Possession48%52%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Asmir Begovic  30,  GK     0	0	0	28	1	42	7.24  2 	Adam Smith  26,  DR     2	0	2	87.1	1	65	6.80   3 	Nathan Aké  23,  DC     2	1	0	87.5	1	53	6.58  4 	Simon Francis  33,  DC     0	0	0	82.5	4	79	7.93   5 	Charlie Daniels  31,  DL     1	0	0	77.6	1	76	6.60  6 	Junior Stanislas (68′) 28,  MR     3	1	2	68.4	1	32	6.45  7 	Andrew Surman  31,  MC     1	0	1	98.3	2	73	7.08   8 	Lewis Cook  21,  MC     1	0	2	82	0	67	6.75  9 	Ryan Fraser (91′) 24,  ML     2	1	1	66.7	0	52	7.46   10 	Joshua King  26,  AMC     2	1	1	79.2	2	48	6.81  11 	Jermain Defoe (68′) 35,  FW     1	1	1	60	0	18	6.20   12 	Benik Afobe (91′) 25,  Sub     0	0	0	0	0	0	5.98  13 	Jordon Ibe (68′) 22,  Sub     0	0	1	100	0	16	6.51  14 	Callum Wilson (68′) 26,  Sub     1	0	0	100	0	10	5.78  15 	Artur Boruc  38,  Sub     0	0	0	0	0	0	-  16 	Dan Gosling  28,  Sub     0	0	0	0	0	0	-  17 	Marc Pugh  30,  Sub     0	0	0	0	0	0	-  18 	Steve Cook  26,  Sub     0	0	0	0	0	0	-",""
"1520682831-709","https://www.whoscored.com/Teams/183/Fixtures/England-Bournemouth","2 : 2","https://www.whoscored.com/Matches/1190423/Live/England-Premier-League-2017-2018-Bournemouth-Newcastle-United","0Formation Set  4411  4411 45Asmir Begovic commits an error (Leading to goal) 45Adam Smith is substituted on 45Charlie Daniels is substituted off 51Nathan Aké recieves a yellow card 62Ryan Fraser is substituted off 62Lys Mousset is substituted on 62Formation Change  442  442 72Callum Wilson is substituted off 72Jermain Defoe is substituted on 79Lewis Cook assists a goal (Key pass, Open play) 79GOAL! Adam Smith scores , Assisted by Lewis Cook (High to the centre, 18-yard box, Right footed, Open play) 88Nathan Aké assists a goal (Key pass, Open play) 88GOAL! Dan Gosling scores , Assisted by Nathan Aké (High to the left, 6-yard box, Big Chance, Right footed, Open play)","0Formation Set  4411  4411 16GOAL! Dwight Gayle scores  (Low to the centre, 6-yard box, Big Chance, Right footed, Open play) 45GOAL! Dwight Gayle scores , Assisted by Ayoze Pérez (Low to the left, 6-yard box, Big Chance, Left footed, From corner) 45Ayoze Pérez assists a goal (Key pass, From corner) 52Matt Ritchie recieves a yellow card 63Kenedy is substituted off 63Christian Atsu is substituted on 77Isaac Hayden is substituted on 77Dwight Gayle is substituted off 77Formation Change  451  451 81DeAndre Yedlin recieves a yellow card 84Matt Ritchie is substituted off 84Javier Manquillo is substituted on 84Mohamed Diamé recieves a yellow card 90Ayoze Pérez recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190423/LiveStatistics/England-Premier-League-2017-2018-Bournemouth-Newcastle-United","Bournemouth2 : 2Newcastle UnitedElapsed:FTHalf time:0 : 2Full time:2 : 2Kick off:15:00Date:Sat, 24-Feb-18","18Shots155Shots on target482%Pass Success %68%44%Aerial Duel Success56%9Dribbles won716Tackles21Possession63%37%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Martin Dubravka  29,  GK     0	0	0	0	0	0	0	0	6.54  2 	DeAndre Yedlin  24,  DR     0	0	0	2	1	0	0	2	6.37   3 	Florian Lejeune  26,  DC     0	0	0	0	1	0	0	0	7.32  4 	Jamaal Lascelles  24,  DC     0	0	0	0	0	0	0	1	7.89  5 	Paul Dummett  26,  DL     0	0	1	0	0	0	0	0	6.78  6 	Matt Ritchie (84′) 28,  MR     2	1	1	0	3	0	1	2	6.67   7 	Mohamed Diamé  30,  MC     0	0	1	0	1	0	1	3	7.45   8 	Jonjo Shelvey  26,  MC     1	0	0	0	0	0	1	1	6.19  9 	Kenedy (63′) 22,  ML     3	0	0	1	1	0	2	5	6.75  10 	Ayoze Pérez  24,  AMC     3	0	1	3	2	1	5	5	6.98    11 	Dwight Gayle (77′) 27,  FW     5	3	2	0	2	2	2	6	8.23    12 	Christian Atsu (63′) 26,  Sub     1	0	1	1	1	0	0	2	6.45  13 	Javier Manquillo (84′) 23,  Sub     0	0	0	0	0	1	0	0	6.04  14 	Isaac Hayden (77′) 22,  Sub     0	0	0	0	0	0	0	0	6.01  15 	Ciaran Clark  28,  Sub     0	0	0	0	0	0	0	0	-  16 	Joselu  27,  Sub     0	0	0	0	0	0	0	0	-  17 	Mikel Merino  21,  Sub     0	0	0	0	0	0	0	0	-  18 	Karl Darlow  27,  Sub     0	0	0	0	0	0	0	0	-"
"1520683363-1055","https://www.whoscored.com/Teams/183/Fixtures/England-Bournemouth","1 : 0","https://www.whoscored.com/Matches/1190534/Live/England-Premier-League-2017-2018-Tottenham-Bournemouth","0Formation Set  4231  4231 45Formation Change  3421  3421 46GOAL! Christian Eriksen scores  (Low to the left, 18-yard box, Left footed, Open play) 74Son Heung-Min is substituted off 74Moussa Sissoko is substituted on 83Jan Vertonghen recieves a yellow card 84Harry Kane is substituted off 84Fernando Llorente is substituted on 92Dele Alli is substituted off 92Georges-Kévin Nkoudou is substituted on","0Formation Set  3511  3511 26Steve Cook recieves a yellow card 37Adam Smith recieves a yellow card 74Junior Stanislas is substituted off 74Jermain Defoe is substituted on 74Adam Smith is substituted off 74Jordon Ibe is substituted on 74Formation Change  442  442 75Formation Change  532  532 82Lewis Cook is substituted off 82Lys Mousset is substituted on 93Asmir Begovic recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190534/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Bournemouth","Tottenham1 : 0BournemouthElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:15:00Date:Sat, 14-Oct-17","18Shots56Shots on target189%Pass Success %66%54%Aerial Duel Success46%8Dribbles won219Tackles11Possession73%27%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Asmir Begovic  30,  GK     0	0	0	19.2	0	38	7.06   2 	Nathan Aké  23,  DC     0	0	0	73.1	2	40	6.78  3 	Simon Francis  33,  DC     0	0	0	65.4	2	42	6.82  4 	Steve Cook  26,  DC     0	0	0	61.5	1	28	6.68   5 	Adam Smith (74′) 26,  DMR     0	0	1	77.8	0	35	6.18   6 	Charlie Daniels  31,  DML     0	0	0	84.6	2	45	6.20  7 	Andrew Surman  31,  MC     0	0	0	80.8	0	34	5.99  8 	Lewis Cook (82′) 21,  MC     1	0	2	78.3	0	36	6.49  9 	Junior Stanislas (74′) 28,  MC     1	0	0	70.6	0	30	5.91  10 	Dan Gosling  28,  AMC     0	0	0	68	3	35	6.18  11 	Joshua King  26,  FW     2	0	0	47.4	6	41	6.61  12 	Lys Mousset (82′) 22,  Sub     0	0	0	100	0	2	6.00  13 	Jermain Defoe (74′) 35,  Sub     1	1	0	100	0	2	6.15  14 	Jordon Ibe (74′) 22,  Sub     0	0	1	71.4	0	11	6.15  15 	Benik Afobe  25,  Sub     0	0	0	0	0	0	-  16 	Harry Arter  28,  Sub     0	0	0	0	0	0	-  17 	Artur Boruc  38,  Sub     0	0	0	0	0	0	-  18 	Marc Pugh  30,  Sub     0	0	0	0	0	0	-"
"1520682933-760","https://www.whoscored.com/Teams/183/Fixtures/England-Bournemouth","1 : 1","https://www.whoscored.com/Matches/1190414/Live/England-Premier-League-2017-2018-West-Ham-Bournemouth","0Formation Set  3511  3511 31James Collins recieves a yellow card 48Arthur Masuaku recieves a yellow card 57Angelo Ogbonna recieves a yellow card 63Chicharito is substituted on 63Manuel Lanzini is substituted off 64Formation Change  352  352 72GOAL! Chicharito scores  (Low to the right, 18-yard box, Big Chance, Left footed, Open play) 76Formation Change  352  352 89Declan Rice is substituted on 89Cheikhou Kouyaté is substituted off 91Aaron Cresswell is substituted off 91Sam Byram is substituted on 93Formation Change  352  352","0Formation Set  343  343 51Dan Gosling recieves a yellow card 59Steve Cook tackles and wins possession (Last line) 61Jordon Ibe is substituted off 61Junior Stanislas is substituted on 70Junior Stanislas assists a goal (Key pass, Open play) 70GOAL! Ryan Fraser scores , Assisted by Junior Stanislas (Low to the left, 18-yard box, Big Chance, Left footed, Open play) 84Ryan Fraser is substituted off 84Joshua King is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190414/LiveStatistics/England-Premier-League-2017-2018-West-Ham-Bournemouth","West Ham1 : 1BournemouthElapsed:FTHalf time:0 : 0Full time:1 : 1Kick off:15:00Date:Sat, 20-Jan-18","12Shots84Shots on target372%Pass Success %77%54%Aerial Duel Success46%12Dribbles won1013Tackles15Possession48%52%","",""
"1520683339-1037","https://www.whoscored.com/Teams/183/Fixtures/England-Bournemouth","1 : 2","https://www.whoscored.com/Matches/1190232/Live/England-Premier-League-2017-2018-Stoke-Bournemouth","0Formation Set  343  343 45Formation Change  4231  4231 58Glen Johnson is substituted off 58Peter Crouch is substituted on 62Eric Maxim Choupo-Moting assists a goal (Key pass, From corner) 62GOAL! Mame Biram Diouf scores , Assisted by Eric Maxim Choupo-Moting (High to the centre, 6-yard box, Big Chance, Left footed, From corner) 73Formation Change  442  442 79Jesé is substituted off 79Saido Berahino is substituted on 80Formation Change  442  442","0Formation Set  4411  4411 15Junior Stanislas assists a goal (Key pass, Open play) 15GOAL! Andrew Surman scores , Assisted by Junior Stanislas (Low to the left, Out of box, Left footed, Open play) 17GOAL! Junior Stanislas scores  (Low to the centre, 18-yard box, Penalty, Big Chance, Right footed) 61Lys Mousset is substituted off 61Steve Cook is substituted on 61Formation Change  541  541 66Lewis Cook recieves a yellow card 76Lewis Cook is substituted off 76Harry Arter is substituted on 86Jordon Ibe is substituted off 86Marc Pugh is substituted on 86Formation Change  541  541","Player Statistics","https://www.whoscored.com/Matches/1190232/LiveStatistics/England-Premier-League-2017-2018-Stoke-Bournemouth","Stoke1 : 2BournemouthElapsed:FTHalf time:0 : 2Full time:1 : 2Kick off:15:00Date:Sat, 21-Oct-17","11Shots73Shots on target370%Pass Success %72%54%Aerial Duel Success46%10Dribbles won611Tackles17Possession52%48%","",""
"1520683410-1083","https://www.whoscored.com/Teams/183/Fixtures/England-Bournemouth","2 : 1","https://www.whoscored.com/Matches/1190219/Live/England-Premier-League-2017-2018-Everton-Bournemouth","0Formation Set  433  433 14Morgan Schneiderlin recieves a yellow card 54Tom Davies is substituted on 54Oumar Niasse is substituted on 54Davy Klaassen is substituted off 54Wayne Rooney is substituted off 55Tom Davies recieves a yellow card 68Formation Change  442  442 71Formation Change  442  442 75Jonjoe Kenny is substituted on 75Cuco Martina is substituted off 76Tom Davies assists a goal (Through Ball, Key pass, Open play) 76GOAL! Oumar Niasse scores , Assisted by Tom Davies (High to the right, 18-yard box, Right footed, Open play) 79Oumar Niasse recieves a yellow card 81GOAL! Oumar Niasse scores  (Low to the left, 6-yard box, Big Chance, Other body part, Open play)","0Formation Set  4411  4411 48Charlie Daniels assists a goal (Key pass, Open play) 48GOAL! Joshua King scores , Assisted by Charlie Daniels (Low to the left, Out of box, Right footed, Open play) 69Andrew Surman blocks a shot (Last line) 74Jermain Defoe is substituted off 74Benik Afobe is substituted on 78Steve Cook is substituted on 78Joshua King is substituted off 82Nathan Aké is substituted off 82Lys Mousset is substituted on 95Junior Stanislas recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190219/LiveStatistics/England-Premier-League-2017-2018-Everton-Bournemouth","Everton2 : 1BournemouthElapsed:FTHalf time:0 : 0Full time:2 : 1Kick off:15:00Date:Sat, 23-Sep-17","12Shots83Shots on target478%Pass Success %76%52%Aerial Duel Success48%3Dribbles won1019Tackles13Possession51%49%","",""
"1520683043-832","https://www.whoscored.com/Teams/183/Fixtures/England-Bournemouth","3 : 3","https://www.whoscored.com/Matches/1190340/Live/England-Premier-League-2017-2018-Bournemouth-West-Ham","0Formation Set  4411  4411 28Joshua King is caught offside 28GOAL! Dan Gosling scores , Assisted by Joshua King (Low to the centre, 18-yard box, Left footed, Set piece) 31Simon Francis recieves a yellow card 56Dan Gosling assists a goal (Key pass, From corner) 56GOAL! Nathan Aké scores , Assisted by Dan Gosling (Low to the left, 18-yard box, Left footed, From corner) 64Joshua King is substituted off 64Benik Afobe is substituted on 64Formation Change  442  442 70Lewis Cook recieves a yellow card 78Nathan Aké recieves a yellow card 80Asmir Begovic commits an error (Leading to goal) 85Ryan Fraser is substituted off 85Marc Pugh is substituted on 88Asmir Begovic commits an error (Leading to goal) 91Nathan Aké assists a goal (Headed, Key pass, Open play) 92GOAL! Callum Wilson scores , Assisted by Nathan Aké (Low to the right, 6-yard box, Other body part, Open play)","0Formation Set  3421  3421 6Aaron Cresswell assists a goal (Off the ground, Corner, Cross, Key pass, From corner) 6GOAL! James Collins scores , Assisted by Aaron Cresswell (Low to the right, 6-yard box, Head, From corner) 36Pablo Zabaleta recieves a yellow card 54James Collins recieves a yellow card 55Aaron Cresswell recieves a yellow card 59Pedro Obiang is substituted off 59Andy Carroll is substituted on 60André Ayew is substituted off 60Formation Change  3421  3421 60Chicharito is substituted on 66Formation Change  3412  3412 78Pablo Zabaleta is substituted off 78Declan Rice is substituted on 80GOAL! Marko Arnautovic scores  (Low to the left, Out of box, Big Chance, Left footed, Open play) 86Angelo Ogbonna recieves a yellow card 88GOAL! Marko Arnautovic scores  (Low to the left, 6-yard box, Big Chance, Right footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190340/LiveStatistics/England-Premier-League-2017-2018-Bournemouth-West-Ham","Bournemouth3 : 3West HamElapsed:FTHalf time:1 : 1Full time:3 : 3Kick off:15:00Date:Tue, 26-Dec-17","25Shots1010Shots on target578%Pass Success %70%59%Aerial Duel Success41%10Dribbles won715Tackles22Possession57%43%","",""
"1520683019-830","https://www.whoscored.com/Teams/183/Fixtures/England-Bournemouth","2 : 1","https://www.whoscored.com/Matches/1190380/Live/England-Premier-League-2017-2018-Bournemouth-Everton","0Formation Set  4411  4411 32Joshua King assists a goal (Off the ground, Cross, Key pass, Open play) 32GOAL! Ryan Fraser scores , Assisted by Joshua King (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 38Joshua King is substituted off 38Benik Afobe is substituted on 56Steve Cook commits an error (Leading to goal) 77Lewis Cook is substituted off 77Harry Arter is substituted on 80Jordon Ibe hits the woodwork (High, Out of box, Left footed, Open play) 84Callum Wilson is substituted off 84Lys Mousset is substituted on 87Adam Smith assists a goal (Key pass, Open play) 87GOAL! Ryan Fraser scores , Assisted by Adam Smith (Low to the right, 18-yard box, Right footed, Open play)","0Formation Set  433  433 31James McCarthy commits an error (Leading to goal) 45Wayne Rooney is substituted on 45Formation Change  4231  4231 45James McCarthy is substituted off 53Dominic Calvert-Lewin is substituted off 53Oumar Niasse is substituted on 56GOAL! Idrissa Gueye scores , Assisted by Oumar Niasse (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 56Oumar Niasse assists a goal (Key pass, Open play) 70Idrissa Gueye is substituted off 70Yannick Bolasie is substituted on 74Formation Change  4231  4231","Player Statistics","https://www.whoscored.com/Matches/1190380/LiveStatistics/England-Premier-League-2017-2018-Bournemouth-Everton","Bournemouth2 : 1EvertonElapsed:FTHalf time:1 : 0Full time:2 : 1Kick off:15:00Date:Sat, 30-Dec-17","18Shots67Shots on target169%Pass Success %74%54%Aerial Duel Success46%12Dribbles won38Tackles14Possession47%53%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Jordan Pickford  24,  GK     0	41	58.5	0	0	29	12	0	0	7.20  2 	Jonjoe Kenny  20,  DR     0	33	69.7	4	0	10	4	0	0	5.89  3 	Michael Keane  25,  DC     0	53	77.4	0	0	7	1	0	0	6.79  4 	Phil Jagielka  35,  DC     0	52	75	0	0	12	6	0	0	7.21  5 	Cuco Martina  28,  DL     1	46	73.9	2	1	11	6	0	0	6.73  6 	Morgan Schneiderlin  28,  MC     1	55	72.7	0	0	13	6	0	0	6.65  7 	James McCarthy (45′) 27,  MC     0	28	67.9	0	0	1	0	0	0	5.24   8 	Idrissa Gueye (70′) 28,  MC     0	52	82.7	1	0	4	2	0	0	7.29   9 	Aaron Lennon  30,  FWR     0	19	73.7	2	0	2	2	0	0	6.39  10 	Dominic Calvert-Lewin (53′) 20,  FW     0	15	73.3	0	0	0	0	0	0	6.13  11 	Gylfi Sigurdsson  28,  FWL     0	35	91.4	4	1	1	0	0	0	6.13  12 	Yannick Bolasie (70′) 28,  Sub     0	5	60	2	0	0	0	0	0	5.72  13 	Oumar Niasse (53′) 27,  Sub     2	16	62.5	0	0	0	0	0	0	6.78   14 	Wayne Rooney (45′) 32,  Sub     0	21	71.4	0	0	2	2	0	0	6.16  15 	Joel Robles  27,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Mason Holgate  21,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Tom Davies  19,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Ashley Williams  33,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520683067-855","https://www.whoscored.com/Teams/183/Fixtures/England-Bournemouth","4 : 0","https://www.whoscored.com/Matches/1190541/Live/England-Premier-League-2017-2018-Manchester-City-Bournemouth","0Formation Set  433  433 25Fernandinho assists a goal (Through Ball, Off the ground, Key pass, Open play) 26GOAL! Sergio Agüero scores , Assisted by Fernandinho (Low to the left, 18-yard box, Big Chance, Head, Open play) 38Fabian Delph tackles and wins possession (Last line) 52GOAL! Raheem Sterling scores , Assisted by Sergio Agüero (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 52Sergio Agüero assists a goal (Through Ball, Off the ground, Key pass, Open play) 66Leroy Sané is substituted off 66Bernardo Silva is substituted on 73Ilkay Gündogan is substituted on 73Kevin De Bruyne is substituted off 75Formation Change  433  433 78Bernardo Silva assists a goal (Cross, Off the ground, Key pass, Open play) 78GOAL! Sergio Agüero scores , Assisted by Bernardo Silva (High to the centre, 18-yard box, Big Chance, Head, Open play) 80Fabian Delph is substituted off 80Danilo is substituted on 84Raheem Sterling assists a goal (Key pass, Open play) 84GOAL! Danilo scores , Assisted by Raheem Sterling (Low to the left, 18-yard box, Left footed, Open play)","0Formation Set  3421  3421 11Junior Stanislas is substituted off 11Marc Pugh is substituted on 62Adam Smith recieves a yellow card 71Callum Wilson is substituted off 71Benik Afobe is substituted on 71Jack Simpson is substituted off 71Lys Mousset is substituted on 73Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1190541/LiveStatistics/England-Premier-League-2017-2018-Manchester-City-Bournemouth","Manchester City4 : 0BournemouthElapsed:FTHalf time:1 : 0Full time:4 : 0Kick off:15:00Date:Sat, 23-Dec-17","14Shots55Shots on target192%Pass Success %69%57%Aerial Duel Success43%9Dribbles won719Tackles10Possession79%21%","",""
"1520682965-794","https://www.whoscored.com/Teams/183/Fixtures/England-Bournemouth","2 : 1","https://www.whoscored.com/Matches/1190338/Live/England-Premier-League-2017-2018-Bournemouth-Arsenal","0Formation Set  3421  3421 20Dan Gosling recieves a yellow card 30Simon Francis recieves a yellow card 62Charlie Daniels is substituted off 62Formation Change  3421  3421 62Lys Mousset is substituted on 69Ryan Fraser assists a goal (Cross, Off the ground, Key pass, Open play) 69GOAL! Callum Wilson scores , Assisted by Ryan Fraser (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 73Callum Wilson assists a goal (Key pass, Open play) 73GOAL! Jordon Ibe scores , Assisted by Callum Wilson (Low to the centre, 18-yard box, Right footed, Open play) 85Jordon Ibe is substituted off 85Marc Pugh is substituted on 90Callum Wilson is substituted off 90Benik Afobe is substituted on","0Formation Set  3421  3421 7Ainsley Maitland-Niles hits the woodwork (High, 18-yard box, Right footed, Open play) 51GOAL! Héctor Bellerín scores , Assisted by Alex Iwobi (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 51Alex Iwobi assists a goal (Through Ball, Key pass, Open play) 55Granit Xhaka recieves a yellow card 69Petr Cech commits an error (Leading to goal) 70Jack Wilshere recieves a yellow card 73Aaron Ramsey is substituted on 73Formation Change  4231  4231 73Calum Chambers is substituted off 75Alex Iwobi is substituted off 75Theo Walcott is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190338/LiveStatistics/England-Premier-League-2017-2018-Bournemouth-Arsenal","Bournemouth2 : 1ArsenalElapsed:FTHalf time:0 : 0Full time:2 : 1Kick off:13:30Date:Sun, 14-Jan-18","13Shots125Shots on target362%Pass Success %74%46%Aerial Duel Success54%13Dribbles won624Tackles21Possession40%60%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Petr Cech  35,  GK     0	29	34.5	0	0	24	5	0	0	5.25   2 	Shkodran Mustafi  25,  DC     0	54	61.1	0	0	15	3	0	0	7.69  3 	Rob Holding  22,  DC     0	54	75.9	0	0	8	5	1	0	6.51  4 	Calum Chambers (73′) 23,  DC     0	37	81.1	0	0	5	2	0	0	6.65  5 	Héctor Bellerín  22,  DMR     0	56	76.8	2	0	1	0	1	0	7.87   6 	Ainsley Maitland-Niles  20,  DML     0	42	69.1	3	0	1	0	0	0	6.89   7 	Granit Xhaka  25,  MC     4	72	83.3	6	2	4	2	1	0	7.07   8 	Jack Wilshere  26,  MC     2	74	79.7	0	0	5	0	1	0	6.51   9 	Alex Iwobi (75′) 21,  AMC     1	45	82.2	1	0	2	1	2	1	6.93   10 	Danny Welbeck  27,  AMC     0	31	74.2	0	0	0	0	0	0	6.06  11 	Alexandre Lacazette  26,  FW     2	37	81.1	0	0	3	1	4	0	6.27  12 	Theo Walcott (75′) 28,  Sub     0	6	83.3	0	0	1	1	0	0	6.06  13 	Aaron Ramsey (73′) 27,  Sub     0	14	71.4	1	0	0	0	0	0	5.83  14 	Sead Kolasinac  24,  Sub     0	0	0	0	0	0	0	0	0	-  15 	David Ospina  29,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Mohamed Elneny  25,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Per Mertesacker  33,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Eddie Nketiah  18,  Sub     0	0	0	0	0	0	0	0	0	-"
