web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520712504-4287","https://www.whoscored.com/Teams/162/Fixtures/England-Crystal-Palace","1 : 0","https://www.whoscored.com/Matches/1190230/Live/England-Premier-League-2017-2018-Newcastle-United-Crystal-Palace","0Formation Set  4231  4231 20Florian Lejeune recieves a yellow card 28Jamaal Lascelles recieves a yellow card 55Isaac Hayden is substituted off 55Mikel Merino is substituted on 59Javier Manquillo recieves a yellow card 65Ayoze Pérez is substituted off 65Joselu recieves a yellow card 65Mohamed Diamé is substituted on 77Joselu is substituted off 77Aleksandar Mitrovic is substituted on 85GOAL! Mikel Merino scores  (High to the centre, 18-yard box, Head, From corner)","0Formation Set  442  442 27Yohan Cabaye recieves a yellow card 28Patrick van Aanholt recieves a yellow card 76Wilfried Zaha is substituted off 76Ruben Loftus-Cheek is substituted on 87James McArthur is substituted off 87Bakary Sako is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190230/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-Crystal-Palace","Newcastle United1 : 0Crystal PalaceElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:15:00Date:Sat, 21-Oct-17","7Shots103Shots on target080%Pass Success %71%46%Aerial Duel Success54%5Dribbles won1316Tackles16Possession55%45%","",""
"1520712268-4140","https://www.whoscored.com/Teams/162/Fixtures/England-Crystal-Palace","0 : 3","https://www.whoscored.com/Matches/1190518/Live/England-Premier-League-2017-2018-Leicester-Crystal-Palace","0Formation Set  4231  4231 51Wilfred Ndidi recieves a yellow card 55Harry Maguire recieves a yellow card 60Wilfred Ndidi recieves a red card after receiving second yellow card 76Vicente Iborra is substituted off 76Shinji Okazaki is substituted on 76Marc Albrighton is substituted off 76Formation Change  3511  3511 76Andy King is substituted on 84Jamie Vardy is substituted off 84Leonardo Ulloa is substituted on 85Danny Simpson recieves a yellow card","0Formation Set  442  442 18Andros Townsend assists a goal (Cross, Off the ground, Long Ball, Key pass, Open play) 18GOAL! Christian Benteke scores , Assisted by Andros Townsend (Low to the right, 18-yard box, Big Chance, Head, Open play) 39GOAL! Wilfried Zaha scores , Assisted by Christian Benteke (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 39Christian Benteke assists a goal (Key pass, Open play) 50Christian Benteke recieves a yellow card 67Jeffrey Schlupp recieves a yellow card 84Jairo Riedewald is substituted on 84Yohan Cabaye is substituted off 87Christian Benteke is substituted off 87Bakary Sako is substituted on 93Ruben Loftus-Cheek assists a goal (Key pass, Fast break) 93GOAL! Bakary Sako scores , Assisted by Ruben Loftus-Cheek (High to the left, Out of box, Left footed, Fast break)","Player Statistics","https://www.whoscored.com/Matches/1190518/LiveStatistics/England-Premier-League-2017-2018-Leicester-Crystal-Palace","Leicester0 : 3Crystal PalaceElapsed:FTHalf time:0 : 2Full time:0 : 3Kick off:12:30Date:Sat, 16-Dec-17","11Shots132Shots on target679%Pass Success %74%51%Aerial Duel Success49%21Dribbles won2016Tackles25Possession56%44%","",""
"1520711941-3936","https://www.whoscored.com/Teams/162/Fixtures/England-Crystal-Palace","2 : 1","https://www.whoscored.com/Matches/1190381/Live/England-Premier-League-2017-2018-Chelsea-Crystal-Palace","0Formation Set  3421  3421 24N'Golo Kanté assists a goal (Key pass, Open play) 24GOAL! Willian scores , Assisted by N'Golo Kanté (Low to the left, Out of box, Right footed, Open play) 31Martin Kelly scores an OWN GOAL!  (Low to the right, 6-yard box, Left footed, Open play) 66Olivier Giroud hits the woodwork (To the right, 18-yard box, Big Chance, Right footed, Open play) 71Álvaro Morata is substituted on 71Olivier Giroud is substituted off 85Álvaro Morata recieves a yellow card 87Pedro is substituted on 87Tiemoué Bakayoko is substituted on 87Eden Hazard is substituted off 87Formation Change  3421  3421 87Cesc Fàbregas is substituted off","0Formation Set  442  442 31Martin Kelly blocks a shot (Last line) 44James Tomkins blocks a shot (Last line) 45Christian Benteke is substituted off 45Formation Change  433  433 45Wilfried Zaha is substituted on 46Alexander Sørloth hits the woodwork (To the left, 18-yard box, Big Chance, Left footed, Open play) 58Patrick van Aanholt recieves a yellow card 60Aaron Wan-Bissaka blocks a shot (Last line) 74Jeffrey Schlupp is substituted off 74Jairo Riedewald is substituted on 80Andros Townsend is substituted off 80Lee Chung-yong is substituted on 85James Tomkins recieves a yellow card 89Wilfried Zaha assists a goal (Key pass, Open play) 89GOAL! Patrick van Aanholt scores , Assisted by Wilfried Zaha (Low to the centre, 18-yard box, Big Chance, Left footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190381/LiveStatistics/England-Premier-League-2017-2018-Chelsea-Crystal-Palace","Chelsea2 : 1Crystal PalaceElapsed:FTHalf time:2 : 0Full time:2 : 1Kick off:17:30Date:Sat, 10-Mar-18","27Shots911Shots on target287%Pass Success %78%58%Aerial Duel Success42%19Dribbles won1417Tackles18Possession62%38%","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Thibaut Courtois  25,  GK     0	0	0	0	0	5.96  2 	Andreas Christensen  21,  DC     1	1	3	0	0	6.29  3 	César Azpilicueta  28,  DC     4	6	2	1	0	7.60  4 	Gary Cahill  32,  DC     0	0	9	0	1	7.21  5 	Davide Zappacosta  25,  DMR     2	0	2	0	2	7.00  6 	Marcos Alonso  27,  DML     2	0	2	0	2	6.45  7 	N'Golo Kanté  26,  MC     3	1	1	0	1	7.44   8 	Cesc Fàbregas (87′) 30,  MC     3	1	0	0	1	7.44  9 	Eden Hazard (87′) 27,  AMC     0	0	0	0	0	8.27  10 	Willian  29,  AMC     0	0	0	1	0	9.48   11 	Olivier Giroud (71′) 31,  FW     1	0	0	0	0	7.64   12 	Tiemoué Bakayoko (87′) 23,  Sub     0	0	0	0	0	5.87  13 	Pedro (87′) 30,  Sub     1	0	0	0	0	5.98  14 	Álvaro Morata (71′) 25,  Sub     0	0	1	0	1	5.88   15 	Willy Caballero  36,  Sub     0	0	0	0	0	-  16 	Emerson  23,  Sub     0	0	0	0	0	-  17 	Victor Moses  27,  Sub     0	0	0	0	0	-  18 	Ethan Ampadu  17,  Sub     0	0	0	0	0	-",""
"1520712557-4325","https://www.whoscored.com/Teams/162/Fixtures/England-Crystal-Palace","4 : 0","https://www.whoscored.com/Matches/1190259/Live/England-Premier-League-2017-2018-Manchester-United-Crystal-Palace","0Formation Set  4231  4231 2Marcus Rashford assists a goal (Key pass, Open play) 2GOAL! Juan Mata scores , Assisted by Marcus Rashford (Low to the right, 18-yard box, Big Chance, Left footed, Open play) 34GOAL! Marouane Fellaini scores , Assisted by Ashley Young (Low to the right, 6-yard box, Big Chance, Right footed, Open play) 34Ashley Young assists a goal (Cross, Off the ground, Key pass, Open play) 48GOAL! Marouane Fellaini scores , Assisted by Marcus Rashford (Low to the right, 6-yard box, Big Chance, Head, Set piece) 48Marcus Rashford assists a goal (Free-kick, Off the ground, Cross, Key pass, Set piece) 65Henrikh Mkhitaryan is substituted off 65Jesse Lingard is substituted on 71Marcus Rashford is substituted off 71Anthony Martial is substituted on 76Juan Mata is substituted off 76Ander Herrera is substituted on 76Formation Change  433  433 85Anthony Martial assists a goal (Key pass, Open play) 85GOAL! Romelu Lukaku scores , Assisted by Anthony Martial (Low to the right, 18-yard box, Big Chance, Left footed, Open play)","0Formation Set  433  433 67Jeffrey Schlupp is substituted off 67James McArthur is substituted on 68Jason Puncheon is substituted off 68Jairo Riedewald is substituted on 73Bakary Sako is substituted off 73Freddie Ladapo is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190259/LiveStatistics/England-Premier-League-2017-2018-Manchester-United-Crystal-Palace","Manchester United4 : 0Crystal PalaceElapsed:FTHalf time:2 : 0Full time:4 : 0Kick off:15:00Date:Sat, 30-Sep-17","18Shots67Shots on target184%Pass Success %77%68%Aerial Duel Success32%12Dribbles won1017Tackles20Possession59%41%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	David de Gea  27,  GK     0	0	0	0	0	0	0	0	6.93  2 	Antonio Valencia  32,  DR     2	0	0	1	1	0	1	1	7.38  3 	Phil Jones  26,  DC     0	0	0	1	0	0	0	0	7.70  4 	Chris Smalling  28,  DC     2	0	0	0	0	0	0	0	7.80  5 	Ashley Young  32,  DL     1	1	1	2	1	0	1	0	8.11   6 	Marouane Fellaini  30,  DMC     2	2	1	1	2	0	4	1	9.20    7 	Nemanja Matic  29,  DMC     1	0	1	2	1	0	1	0	7.17  8 	Juan Mata (76′) 29,  AMR     1	1	3	0	0	0	1	1	7.78   9 	Henrikh Mkhitaryan (65′) 29,  AMC     1	0	2	1	0	0	0	2	6.95  10 	Marcus Rashford (71′) 20,  AML     2	1	4	3	1	0	1	0	8.80    11 	Romelu Lukaku  24,  FW     4	1	2	0	0	2	1	1	8.11   12 	Anthony Martial (71′) 22,  Sub     1	1	1	1	2	0	0	2	7.06   13 	Ander Herrera (76′) 28,  Sub     0	0	1	0	0	0	0	0	6.48  14 	Jesse Lingard (65′) 25,  Sub     1	0	0	0	0	0	0	1	6.44  15 	Sergio Romero  31,  Sub     0	0	0	0	0	0	0	0	-  16 	Matteo Darmian  28,  Sub     0	0	0	0	0	0	0	0	-  17 	Daley Blind  28,  Sub     0	0	0	0	0	0	0	0	-  18 	Eric Bailly  23,  Sub     0	0	0	0	0	0	0	0	-",""
"1520712343-4192","https://www.whoscored.com/Teams/162/Fixtures/England-Crystal-Palace","0 : 0","https://www.whoscored.com/Matches/1190286/Live/England-Premier-League-2017-2018-West-Bromwich-Albion-Crystal-Palace","0Formation Set  433  433 29Gareth Barry is substituted off 29Claudio Yacob is substituted on 63Jake Livermore recieves a yellow card 71Hal Robson-Kanu is substituted off 71James McClean is substituted on 90Jay Rodriguez is substituted off 90Oliver Burke is substituted on 91Sam Field recieves a yellow card 93Allan Nyom recieves a yellow card","0Formation Set  442  442 75Joel Ward recieves a yellow card 86Andros Townsend is substituted off 86Bakary Sako is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190286/LiveStatistics/England-Premier-League-2017-2018-West-Bromwich-Albion-Crystal-Palace","West Bromwich Albion0 : 0Crystal PalaceElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:15:00Date:Sat, 02-Dec-17","20Shots106Shots on target273%Pass Success %70%47%Aerial Duel Success53%12Dribbles won1015Tackles15Possession51%49%","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Ben Foster  34,  GK     0	0	0	0	0	7.02  2 	Allan Nyom  29,  DR     0	2	3	0	0	6.97   3 	Ahmed Hegazi  27,  DC     3	2	5	3	0	8.18  4 	Jonny Evans  30,  DC     1	1	6	1	0	7.60  5 	Kieran Gibbs  28,  DL     1	1	0	0	0	6.70  6 	Jake Livermore  28,  MC     2	0	0	0	1	6.33   7 	Gareth Barry (29′) 37,  MC     1	1	0	0	1	6.88  8 	Sam Field  19,  MC     2	2	1	1	3	7.11   9 	Hal Robson-Kanu (71′) 28,  FWR     0	1	0	0	2	6.59  10 	Salomón Rondón  28,  FW     0	1	0	0	1	7.06  11 	Jay Rodriguez (90′) 28,  FWL     2	1	3	0	1	7.81  12 	Claudio Yacob (29′) 30,  Sub     3	4	3	0	1	7.27  13 	James McClean (71′) 28,  Sub     0	0	0	0	0	6.05  14 	Oliver Burke (90′) 20,  Sub     0	0	0	0	1	6.01  15 	Grzegorz Krychowiak  28,  Sub     0	0	0	0	0	-  16 	Max Melbourne  19,  Sub     0	0	0	0	0	-  17 	Boaz Myhill  35,  Sub     0	0	0	0	0	-  18 	Gareth McAuley  38,  Sub     0	0	0	0	0	-",""
"1520712368-4212","https://www.whoscored.com/Teams/162/Fixtures/England-Crystal-Palace","0 : 0","https://www.whoscored.com/Matches/1190285/Live/England-Premier-League-2017-2018-Brighton-Crystal-Palace","0Formation Set  4411  4411 13Lewis Dunk tackles but does not win possession (Last line) 47José Izquierdo recieves a yellow card 64Lewis Dunk recieves a yellow card 70José Izquierdo is substituted off 70Solly March is substituted on 81Pascal Groß is substituted off 81Isaiah Brown is substituted on 84Glenn Murray is substituted off 84Tomer Hemed is substituted on","0Formation Set  442  442 65Yohan Cabaye is substituted off 65James McArthur is substituted on 82Andros Townsend blocks a shot (Last line)","Player Statistics","https://www.whoscored.com/Matches/1190285/LiveStatistics/England-Premier-League-2017-2018-Brighton-Crystal-Palace","Brighton0 : 0Crystal PalaceElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:19:45Date:Tue, 28-Nov-17","10Shots104Shots on target474%Pass Success %72%47%Aerial Duel Success53%8Dribbles won1319Tackles9Possession53%47%","",""
"1520712444-4260","https://www.whoscored.com/Teams/162/Fixtures/England-Crystal-Palace","1 : 0","https://www.whoscored.com/Matches/1190312/Live/England-Premier-League-2017-2018-Tottenham-Crystal-Palace","0Formation Set  3511  3511 15Eric Dier tackles and wins possession (Last line) 45Harry Winks is substituted off 45Mousa Dembélé is substituted on 63GOAL! Son Heung-Min scores  (Low to the left, Out of box, Left footed, Open play) 76Fernando Llorente is substituted on 76Harry Kane is substituted off 91Danny Rose is substituted off 91Ben Davies is substituted on","0Formation Set  442  442 46Andros Townsend recieves a yellow card 55Jeffrey Schlupp recieves a yellow card 63Yohan Cabaye commits an error (Leading to goal) 75Joel Ward is substituted off 75Bakary Sako is substituted on 75Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1190312/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Crystal-Palace","Tottenham1 : 0Crystal PalaceElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:12:00Date:Sun, 05-Nov-17","12Shots112Shots on target384%Pass Success %68%53%Aerial Duel Success47%7Dribbles won820Tackles19Possession68%32%","",""
"1520712663-4395","https://www.whoscored.com/Teams/162/Fixtures/England-Crystal-Palace","0 : 2","https://www.whoscored.com/Matches/1190221/Live/England-Premier-League-2017-2018-Crystal-Palace-Swansea","0Formation Set  352  352 9Christian Benteke recieves a yellow card 40Martin Kelly is substituted on 40James Tomkins is substituted off 45Lee Chung-yong is substituted on 45Patrick van Aanholt is substituted off 47Martin Kelly commits an error (Leading to goal) 54Formation Change  433  433 57Luka Milivojevic is substituted off 57Formation Change  433  433 57Yohan Cabaye is substituted on 76Joel Ward recieves a yellow card 78Yohan Cabaye recieves a yellow card 92Jason Puncheon recieves a yellow card","0Formation Set  352  352 43Leroy Fer assists a goal (Cross, Off the ground, Key pass, Open play) 43GOAL! Tammy Abraham scores , Assisted by Leroy Fer (Low to the left, 18-yard box, Right footed, Open play) 47GOAL! Jordan Ayew scores , Assisted by Kyle Naughton (Low to the right, Out of box, Left footed, Open play) 47Kyle Naughton assists a goal (Key pass, Open play) 65Mike van der Hoorn tackles and wins possession (Last line) 69Wayne Routledge is substituted on 69Formation Change  451  451 69Mike van der Hoorn is substituted off 77Oliver McBurnie is substituted on 77Tammy Abraham is substituted off 79Leroy Fer recieves a yellow card 87Kyle Naughton is substituted off 87Angel Rangel is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190221/LiveStatistics/England-Premier-League-2017-2018-Crystal-Palace-Swansea","Crystal Palace0 : 2SwanseaElapsed:FTHalf time:0 : 1Full time:0 : 2Kick off:15:00Date:Sat, 26-Aug-17","16Shots73Shots on target383%Pass Success %79%54%Aerial Duel Success46%7Dribbles won416Tackles20Possession53%47%","",""
"1520712531-4307","https://www.whoscored.com/Teams/162/Fixtures/England-Crystal-Palace","2 : 1","https://www.whoscored.com/Matches/1190268/Live/England-Premier-League-2017-2018-Crystal-Palace-Chelsea","0Formation Set  442  442 10César Azpilicueta scores an OWN GOAL!  (Low to the centre, 18-yard box, Other body part, Open play) 44Mamadou Sakho assists a goal (Key pass, Open play) 44GOAL! Wilfried Zaha scores , Assisted by Mamadou Sakho (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 70Luka Milivojevic recieves a yellow card 74Jason Puncheon is substituted on 74Jeffrey Schlupp is substituted off 76Formation Change  4411  4411 82Scott Dann recieves a yellow card 84James McArthur is substituted off 84Timothy Fosu-Mensah is substituted on 85Yohan Cabaye is substituted off 85Jairo Riedewald is substituted on","0Formation Set  343  343 17Cesc Fàbregas assists a goal (Long Ball, Corner, Off the ground, Cross, Key pass, From corner) 17GOAL! Tiemoué Bakayoko scores , Assisted by Cesc Fàbregas (Low to the right, 18-yard box, Head, From corner) 38Davide Zappacosta is substituted on 38Victor Moses is substituted off 49Cesc Fàbregas hits the woodwork (High, Out of box, Right footed, Open play) 56Michy Batshuayi is substituted off 56Formation Change  343  343 56Pedro is substituted on 64Willian is substituted off 64Charly Musonda is substituted on 64Formation Change  343  343 86Tiemoué Bakayoko recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190268/LiveStatistics/England-Premier-League-2017-2018-Crystal-Palace-Chelsea","Crystal Palace2 : 1ChelseaElapsed:FTHalf time:2 : 1Full time:2 : 1Kick off:15:00Date:Sat, 14-Oct-17","14Shots155Shots on target571%Pass Success %82%17%Aerial Duel Success83%11Dribbles won1323Tackles23Possession43%57%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Julian Speroni  38,  GK     0	0	0	14.3	0	48	6.71  2 	Joel Ward  28,  DR     0	0	0	71.4	2	68	6.74  3 	Mamadou Sakho  28,  DC     0	0	1	81	1	56	6.93   4 	Scott Dann  31,  DC     1	0	0	77.1	0	43	6.04   5 	Patrick van Aanholt  27,  DL     2	0	2	78.6	0	49	6.66  6 	James McArthur (84′) 30,  MR     0	0	1	80.9	0	55	6.45  7 	Yohan Cabaye (85′) 32,  MC     1	1	1	90	0	82	7.10  8 	Luka Milivojevic  26,  MC     1	1	2	77.6	0	79	7.65   9 	Jeffrey Schlupp (74′) 25,  ML     0	0	0	72	2	39	6.18  10 	Andros Townsend  26,  FW     4	1	1	78.1	0	66	7.13  11 	Wilfried Zaha  25,  FW     3	2	2	42.9	0	47	8.18   12 	Jairo Riedewald (85′) 21,  Sub     0	0	0	50	0	2	5.99  13 	Timothy Fosu-Mensah (84′) 20,  Sub     1	0	0	100	0	6	6.14  14 	Jason Puncheon (74′) 31,  Sub     1	0	0	90	0	12	6.11  15 	Bakary Sako  29,  Sub     0	0	0	0	0	0	-  16 	Dion Henry  20,  Sub     0	0	0	0	0	0	-  17 	Sullay Kaikai  22,  Sub     0	0	0	0	0	0	-  18 	James Tomkins  28,  Sub     0	0	0	0	0	0	-",""
"1520712318-4176","https://www.whoscored.com/Teams/162/Fixtures/England-Crystal-Palace","2 : 2","https://www.whoscored.com/Matches/1190293/Live/England-Premier-League-2017-2018-Crystal-Palace-Bournemouth","0Formation Set  442  442 22James Tomkins tackles but does not win possession (Last line) 24Scott Dann is substituted on 24Mamadou Sakho is substituted off 29James Tomkins recieves a yellow card 33Luka Milivojevic recieves a yellow card 40GOAL! Luka Milivojevic scores  (High to the right, 18-yard box, Big Chance, Penalty, Right footed) 43Yohan Cabaye assists a goal (Cross, Key pass, From corner) 43GOAL! Scott Dann scores , Assisted by Yohan Cabaye (Low to the centre, 6-yard box, Big Chance, Left footed, From corner) 64James McArthur is substituted on 64Yohan Cabaye is substituted off 70Wilfried Zaha recieves a yellow card 70Formation Change  442  442 77Andros Townsend is substituted off 77Bakary Sako is substituted on 78James McArthur recieves a yellow card 81Christian Benteke recieves a yellow card 92Christian Benteke has attempt saved (Low to the left, 18-yard box, Big Chance, Penalty, Right footed)","0Formation Set  4411  4411 9Andrew Surman assists a goal (Key pass, From corner) 9GOAL! Jermain Defoe scores , Assisted by Andrew Surman (Low to the left, 18-yard box, Big Chance, Right footed, From corner) 39Asmir Begovic recieves a yellow card 47Lewis Cook assists a goal (Long Ball, Off the ground, Through Ball, Key pass, Open play) 47GOAL! Jermain Defoe scores , Assisted by Lewis Cook (High to the left, 18-yard box, Right footed, Open play) 64Junior Stanislas is substituted off 64Jordon Ibe is substituted on 70Lewis Cook recieves a yellow card 79Jermain Defoe is substituted off 79Callum Wilson is substituted on 86Ryan Fraser is substituted off 86Benik Afobe is substituted on 88Formation Change  442  442 92Asmir Begovic PenaltyFaced (Saved, Diving, To the right, Penalty)","Player Statistics","https://www.whoscored.com/Matches/1190293/LiveStatistics/England-Premier-League-2017-2018-Crystal-Palace-Bournemouth","Crystal Palace2 : 2BournemouthElapsed:FTHalf time:2 : 2Full time:2 : 2Kick off:15:00Date:Sat, 09-Dec-17","24Shots118Shots on target574%Pass Success %80%66%Aerial Duel Success34%5Dribbles won1018Tackles19Possession45%55%","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Julian Speroni  38,  GK     0	0	2	0	0	6.47  2 	Timothy Fosu-Mensah  20,  DR     2	0	2	0	0	6.20  3 	Mamadou Sakho (24′) 28,  DC     1	0	0	0	0	6.13  4 	James Tomkins  28,  DC     3	2	7	0	2	6.91    5 	Jeffrey Schlupp  25,  DL     4	3	1	1	0	7.07  6 	Andros Townsend (77′) 26,  MR     2	1	1	0	0	6.77  7 	Yohan Cabaye (64′) 32,  MC     1	5	1	1	2	7.81   8 	Luka Milivojevic  26,  MC     2	2	0	1	2	7.34    9 	Ruben Loftus-Cheek  22,  ML     0	1	0	0	0	6.79  10 	Christian Benteke  27,  FW     1	0	0	0	6	6.81    11 	Wilfried Zaha  25,  FW     0	0	0	0	1	7.75   12 	Bakary Sako (77′) 29,  Sub     1	0	0	0	0	6.05  13 	Scott Dann (24′) 31,  Sub     0	0	4	0	0	7.23   14 	James McArthur (64′) 30,  Sub     1	1	0	0	1	6.15   15 	Patrick van Aanholt  27,  Sub     0	0	0	0	0	-  16 	Jason Puncheon  31,  Sub     0	0	0	0	0	-  17 	Martin Kelly  27,  Sub     0	0	0	0	0	-  18 	Wayne Hennessey  31,  Sub     0	0	0	0	0	-",""
