web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520681111-210","https://www.whoscored.com/Teams/31/Fixtures/England-Everton","0 : 0","https://www.whoscored.com/Matches/1190535/Live/England-Premier-League-2017-2018-Everton-Chelsea","null","null","Player Statistics","https://www.whoscored.com/Matches/1190535/LiveStatistics/England-Premier-League-2017-2018-Everton-Chelsea","Everton0 : 0ChelseaElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:12:30Date:Sat, 23-Dec-17","5Shots250Shots on target869%Pass Success %84%58%Aerial Duel Success42%5Dribbles won1118Tackles19Possession32%68%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Jordan Pickford  24,  GK     0	0	0	0	1	0	0	0	8.04  2 	Jonjoe Kenny  20,  DR     0	0	0	0	0	0	0	2	6.99  3 	Phil Jagielka  35,  DC     0	0	0	0	0	0	1	1	9.02    4 	Michael Keane  25,  DC     1	0	0	0	1	0	0	0	7.92   5 	Cuco Martina  28,  DL     0	0	1	0	0	1	1	1	7.34   6 	Morgan Schneiderlin  28,  DMC     0	0	1	0	0	0	0	0	7.83  7 	Aaron Lennon (45′) 30,  MR     0	0	1	0	0	0	0	0	6.35  8 	Idrissa Gueye (50′) 28,  MC     0	0	0	0	0	0	1	0	6.80  9 	Tom Davies (45′) 19,  MC     1	0	0	2	0	0	1	0	6.54  10 	Gylfi Sigurdsson  28,  ML     1	0	1	1	0	0	1	7	6.83  11 	Dominic Calvert-Lewin  20,  FW     2	0	0	0	0	1	3	5	6.72   12 	Beni Baningime (50′) 19,  Sub     0	0	0	0	0	0	0	0	6.06  13 	Sandro Ramírez (45′) 22,  Sub     0	0	0	2	1	0	2	4	6.29  14 	Ashley Williams (45′) 33,  Sub     0	0	0	0	0	0	0	0	7.27   15 	Yannick Bolasie  28,  Sub     0	0	0	0	0	0	0	0	-  16 	Oumar Niasse  27,  Sub     0	0	0	0	0	0	0	0	-  17 	Joel Robles  27,  Sub     0	0	0	0	0	0	0	0	-  18 	Mason Holgate  21,  Sub     0	0	0	0	0	0	0	0	-",""
"1520681462-377","https://www.whoscored.com/Teams/31/Fixtures/England-Everton","3 : 2","https://www.whoscored.com/Matches/1190260/Live/England-Premier-League-2017-2018-Everton-Watford","0Formation Set  433  433 54Beni Baningime is substituted off 54Ademola Lookman is substituted on 63Formation Change  433  433 66Ademola Lookman assists a goal (Off the ground, Long Ball, Key pass, Open play) 66GOAL! Oumar Niasse scores , Assisted by Ademola Lookman (Low to the left, 18-yard box, Big Chance, Left footed, Open play) 67Wayne Rooney is substituted off 67Dominic Calvert-Lewin is substituted on 73Leighton Baines assists a goal (Off the ground, Cross, Long Ball, Corner, Key pass, From corner) 73GOAL! Dominic Calvert-Lewin scores , Assisted by Leighton Baines (Low to the centre, 6-yard box, Big Chance, Head, From corner) 84Gylfi Sigurdsson is substituted off 84Aaron Lennon is substituted on 84Formation Change  442  442 90GOAL! Leighton Baines scores  (Low to the left, 18-yard box, Big Chance, Penalty, Left footed)","0Formation Set  433  433 45Andre Gray assists a goal (Off the ground, Key pass, Open play) 45GOAL! Richarlison scores , Assisted by Andre Gray (Low to the left, 6-yard box, Big Chance, Right footed, Open play) 58Heurelho Gomes is substituted off 58Formation Change  433  433 58Orestis Karnezis is substituted on 63José Holebas assists a goal (Cross, Long Ball, Off the ground, Corner, Key pass, From corner) 63GOAL! Christian Kabasele scores , Assisted by José Holebas (Low to the left, 18-yard box, Big Chance, Head, From corner) 66Christian Kabasele tackles but does not win possession (Last line) 68Miguel Britos recieves a yellow card 78Christian Kabasele is substituted off 78Adrian Mariappa is substituted on 89José Holebas recieves a yellow card 93Will Hughes is substituted off 93Stefano Okaka is substituted on 93Formation Change  442  442 100Tom Cleverley misses attempt (To the left, 18-yard box, Big Chance, Penalty, Right footed)","Player Statistics","https://www.whoscored.com/Matches/1190260/LiveStatistics/England-Premier-League-2017-2018-Everton-Watford","Everton3 : 2WatfordElapsed:FTHalf time:0 : 0Full time:3 : 2Kick off:16:30Date:Sun, 05-Nov-17","9Shots115Shots on target366%Pass Success %75%42%Aerial Duel Success58%5Dribbles won1320Tackles14Possession38%62%","",""
"1520681462-389","https://www.whoscored.com/Teams/31/Fixtures/England-Everton","3 : 2","https://www.whoscored.com/Matches/1190260/Live/England-Premier-League-2017-2018-Everton-Watford","0Formation Set  433  433 54Beni Baningime is substituted off 54Ademola Lookman is substituted on 63Formation Change  433  433 66Ademola Lookman assists a goal (Off the ground, Long Ball, Key pass, Open play) 66GOAL! Oumar Niasse scores , Assisted by Ademola Lookman (Low to the left, 18-yard box, Big Chance, Left footed, Open play) 67Wayne Rooney is substituted off 67Dominic Calvert-Lewin is substituted on 73Leighton Baines assists a goal (Off the ground, Cross, Long Ball, Corner, Key pass, From corner) 73GOAL! Dominic Calvert-Lewin scores , Assisted by Leighton Baines (Low to the centre, 6-yard box, Big Chance, Head, From corner) 84Gylfi Sigurdsson is substituted off 84Aaron Lennon is substituted on 84Formation Change  442  442 90GOAL! Leighton Baines scores  (Low to the left, 18-yard box, Big Chance, Penalty, Left footed)","0Formation Set  433  433 45Andre Gray assists a goal (Off the ground, Key pass, Open play) 45GOAL! Richarlison scores , Assisted by Andre Gray (Low to the left, 6-yard box, Big Chance, Right footed, Open play) 58Heurelho Gomes is substituted off 58Formation Change  433  433 58Orestis Karnezis is substituted on 63José Holebas assists a goal (Cross, Long Ball, Off the ground, Corner, Key pass, From corner) 63GOAL! Christian Kabasele scores , Assisted by José Holebas (Low to the left, 18-yard box, Big Chance, Head, From corner) 66Christian Kabasele tackles but does not win possession (Last line) 68Miguel Britos recieves a yellow card 78Christian Kabasele is substituted off 78Adrian Mariappa is substituted on 89José Holebas recieves a yellow card 93Will Hughes is substituted off 93Stefano Okaka is substituted on 93Formation Change  442  442 100Tom Cleverley misses attempt (To the left, 18-yard box, Big Chance, Penalty, Right footed)","Player Statistics","https://www.whoscored.com/Matches/1190260/LiveStatistics/England-Premier-League-2017-2018-Everton-Watford","Everton3 : 2WatfordElapsed:FTHalf time:0 : 0Full time:3 : 2Kick off:16:30Date:Sun, 05-Nov-17","9Shots115Shots on target366%Pass Success %75%42%Aerial Duel Success58%5Dribbles won1320Tackles14Possession38%62%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Heurelho Gomes (58′) 37,  GK     0	0	0	0	0	0	0	0	7.15  2 	Kiko Femenía  27,  DR     1	0	1	4	0	0	0	1	7.15  3 	Christian Kabasele (78′) 27,  DC     1	1	0	0	3	0	0	1	7.56    4 	Miguel Britos  32,  DC     0	0	0	0	1	0	0	0	6.56   5 	José Holebas  33,  DL     2	0	3	1	1	0	0	3	6.49    6 	Abdoulaye Doucouré  25,  MC     1	1	1	2	1	0	1	3	7.75  7 	Tom Cleverley  28,  MC     1	0	1	1	2	0	3	1	5.66   8 	Will Hughes (93′) 22,  MC     0	0	0	0	0	0	1	1	5.83  9 	André Carrillo  26,  FWR     0	0	0	1	0	0	2	2	6.59  10 	Andre Gray  26,  FW     0	0	2	0	1	0	0	6	6.89   11 	Richarlison  20,  FWL     4	1	1	4	4	1	5	2	8.38   12 	Orestis Karnezis (58′) 32,  Sub     0	0	0	0	0	0	0	0	5.63  13 	Stefano Okaka (93′) 28,  Sub     0	0	0	0	0	0	0	1	5.94  14 	Adrian Mariappa (78′) 31,  Sub     1	0	0	0	1	0	0	0	6.38  15 	Etienne Capoue  29,  Sub     0	0	0	0	0	0	0	0	-  16 	Daryl Janmaat  28,  Sub     0	0	0	0	0	0	0	0	-  17 	Ben Watson  32,  Sub     0	0	0	0	0	0	0	0	-  18 	Jerome Sinclair  21,  Sub     0	0	0	0	0	0	0	0	-"
"1520681042-148","https://www.whoscored.com/Teams/31/Fixtures/England-Everton","2 : 1","https://www.whoscored.com/Matches/1190380/Live/England-Premier-League-2017-2018-Bournemouth-Everton","0Formation Set  4411  4411 32Joshua King assists a goal (Off the ground, Cross, Key pass, Open play) 32GOAL! Ryan Fraser scores , Assisted by Joshua King (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 38Joshua King is substituted off 38Benik Afobe is substituted on 56Steve Cook commits an error (Leading to goal) 77Lewis Cook is substituted off 77Harry Arter is substituted on 80Jordon Ibe hits the woodwork (High, Out of box, Left footed, Open play) 84Callum Wilson is substituted off 84Lys Mousset is substituted on 87Adam Smith assists a goal (Key pass, Open play) 87GOAL! Ryan Fraser scores , Assisted by Adam Smith (Low to the right, 18-yard box, Right footed, Open play)","0Formation Set  433  433 31James McCarthy commits an error (Leading to goal) 45Wayne Rooney is substituted on 45Formation Change  4231  4231 45James McCarthy is substituted off 53Dominic Calvert-Lewin is substituted off 53Oumar Niasse is substituted on 56GOAL! Idrissa Gueye scores , Assisted by Oumar Niasse (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 56Oumar Niasse assists a goal (Key pass, Open play) 70Idrissa Gueye is substituted off 70Yannick Bolasie is substituted on 74Formation Change  4231  4231","Player Statistics","https://www.whoscored.com/Matches/1190380/LiveStatistics/England-Premier-League-2017-2018-Bournemouth-Everton","Bournemouth2 : 1EvertonElapsed:FTHalf time:1 : 0Full time:2 : 1Kick off:15:00Date:Sat, 30-Dec-17","18Shots67Shots on target169%Pass Success %74%54%Aerial Duel Success46%12Dribbles won38Tackles14Possession47%53%","",""
"1520681111-218","https://www.whoscored.com/Teams/31/Fixtures/England-Everton","0 : 0","https://www.whoscored.com/Matches/1190535/Live/England-Premier-League-2017-2018-Everton-Chelsea","null","null","Player Statistics","https://www.whoscored.com/Matches/1190535/LiveStatistics/England-Premier-League-2017-2018-Everton-Chelsea","Everton0 : 0ChelseaElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:12:30Date:Sat, 23-Dec-17","5Shots250Shots on target869%Pass Success %84%58%Aerial Duel Success42%5Dribbles won1118Tackles19Possession32%68%","",""
"1520681412-346","https://www.whoscored.com/Teams/31/Fixtures/England-Everton","1 : 5","https://www.whoscored.com/Matches/1239091/Live/Europe-UEFA-Europa-League-2017-2018-Everton-Atalanta","0Formation Set  4231  4231 42Ashley Williams recieves a yellow card 47Joel Robles PenaltyFaced (Saved, Diving, To the right, Penalty) 50Jonjoe Kenny blocks a shot (Last line) 61Nikola Vlasic is substituted on 61Davy Klaassen is substituted off 66Cuco Martina recieves a yellow card 69Jonjoe Kenny is substituted off 69Morgan Feeney is substituted on 70Kevin Mirallas assists a goal (Key pass, Open play) 70GOAL! Sandro Ramírez scores , Assisted by Kevin Mirallas (Low to the left, 18-yard box, Right footed, Open play) 75Tom Davies recieves a yellow card 78Kevin Mirallas is substituted off 78Dominic Calvert-Lewin is substituted on 78Formation Change  352  352 91Dominic Calvert-Lewin recieves a yellow card","0Formation Set  352  352 11GOAL! Bryan Cristante scores  (Low to the right, 18-yard box, Big Chance, Left footed, Open play) 37Rafael Toloi blocks a shot (Last line) 47Alejandro Gomez has attempt saved (Low to the left, 18-yard box, Big Chance, Penalty, Right footed)  60Mattia Caldara is substituted on 60Andrea Masiello is substituted off 62Alejandro Gomez assists a goal (Cross, Corner, Off the ground, Key pass, From corner) 62GOAL! Bryan Cristante scores , Assisted by Alejandro Gomez (Low to the left, 6-yard box, Head, From corner) 69Hans Hateboer is substituted off 69Robin Gosens is substituted on 75Formation Change  352  352 81Andreas Cornelius is substituted on 81Bryan Cristante is substituted off 84Formation Change  352  352 85GOAL! Robin Gosens scores  (Low to the left, Out of box, Left footed, From corner) 86Mattia Caldara assists a goal (Key pass, Open play) 87GOAL! Andreas Cornelius scores , Assisted by Mattia Caldara (Low to the centre, 18-yard box, Right footed, Open play) 93Alejandro Gomez assists a goal (Corner, Off the ground, Cross, Long Ball, Key pass, From corner) 93GOAL! Andreas Cornelius scores , Assisted by Alejandro Gomez (High to the left, 18-yard box, Head, From corner)","Player Statistics","https://www.whoscored.com/Matches/1239091/LiveStatistics/Europe-UEFA-Europa-League-2017-2018-Everton-Atalanta","Everton1 : 5AtalantaElapsed:FTHalf time:0 : 1Full time:1 : 5Kick off:20:05Date:Thu, 23-Nov-17","9Shots225Shots on target1278%Pass Success %78%41%Aerial Duel Success59%4Dribbles won1628Tackles19Possession49%51%","",""
"1520681111-205","https://www.whoscored.com/Teams/31/Fixtures/England-Everton","0 : 0","https://www.whoscored.com/Matches/1190535/Live/England-Premier-League-2017-2018-Everton-Chelsea","null","null","Player Statistics","https://www.whoscored.com/Matches/1190535/LiveStatistics/England-Premier-League-2017-2018-Everton-Chelsea","Everton0 : 0ChelseaElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:12:30Date:Sat, 23-Dec-17","5Shots250Shots on target869%Pass Success %84%58%Aerial Duel Success42%5Dribbles won1118Tackles19Possession32%68%","",""
"1520681662-522","https://www.whoscored.com/Teams/31/Fixtures/England-Everton","2 : 1","https://www.whoscored.com/Matches/1190219/Live/England-Premier-League-2017-2018-Everton-Bournemouth","0Formation Set  433  433 14Morgan Schneiderlin recieves a yellow card 54Tom Davies is substituted on 54Oumar Niasse is substituted on 54Davy Klaassen is substituted off 54Wayne Rooney is substituted off 55Tom Davies recieves a yellow card 68Formation Change  442  442 71Formation Change  442  442 75Jonjoe Kenny is substituted on 75Cuco Martina is substituted off 76Tom Davies assists a goal (Through Ball, Key pass, Open play) 76GOAL! Oumar Niasse scores , Assisted by Tom Davies (High to the right, 18-yard box, Right footed, Open play) 79Oumar Niasse recieves a yellow card 81GOAL! Oumar Niasse scores  (Low to the left, 6-yard box, Big Chance, Other body part, Open play)","0Formation Set  4411  4411 48Charlie Daniels assists a goal (Key pass, Open play) 48GOAL! Joshua King scores , Assisted by Charlie Daniels (Low to the left, Out of box, Right footed, Open play) 69Andrew Surman blocks a shot (Last line) 74Jermain Defoe is substituted off 74Benik Afobe is substituted on 78Steve Cook is substituted on 78Joshua King is substituted off 82Nathan Aké is substituted off 82Lys Mousset is substituted on 95Junior Stanislas recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190219/LiveStatistics/England-Premier-League-2017-2018-Everton-Bournemouth","Everton2 : 1BournemouthElapsed:FTHalf time:0 : 0Full time:2 : 1Kick off:15:00Date:Sat, 23-Sep-17","12Shots83Shots on target478%Pass Success %76%52%Aerial Duel Success48%3Dribbles won1019Tackles13Possession51%49%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Asmir Begovic  30,  GK     0	30	50	0	0	22	7	0	0	6.01  2 	Adam Smith  26,  DR     0	39	87.2	2	0	4	4	0	0	6.46  3 	Nathan Aké (82′) 23,  DC     1	35	77.1	0	0	4	1	0	0	6.24  4 	Simon Francis  33,  DC     0	47	87.2	0	0	7	6	0	0	6.80  5 	Charlie Daniels  31,  DL     1	41	73.2	5	0	3	0	0	0	6.92   6 	Jordon Ibe  22,  MR     0	31	87.1	5	2	1	1	0	0	6.41  7 	Andrew Surman  31,  MC     0	55	78.2	0	0	7	5	0	0	7.30   8 	Dan Gosling  28,  MC     1	49	79.6	0	0	6	4	0	0	6.63  9 	Junior Stanislas  28,  ML     1	38	79	6	2	1	0	0	0	6.59   10 	Joshua King (78′) 26,  AMC     2	20	80	2	1	0	0	0	0	7.16   11 	Jermain Defoe (74′) 35,  FW     1	8	75	1	0	0	0	0	0	6.48  12 	Benik Afobe (74′) 25,  Sub     0	5	40	0	0	0	0	0	0	5.89  13 	Lys Mousset (82′) 22,  Sub     0	5	40	0	0	0	0	0	0	6.18  14 	Steve Cook (78′) 26,  Sub     0	12	75	0	0	4	4	0	0	6.01  15 	Lewis Cook  21,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Aaron Ramsdale  19,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Marc Pugh  30,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Ryan Fraser  24,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520681907-678","https://www.whoscored.com/Teams/31/Fixtures/England-Everton","1 : 2","https://www.whoscored.com/Matches/1191523/Live/International-Club-Friendlies-2017-Gor-Mahia-Everton","null","null","Player Statistics","https://www.whoscored.com/Matches/1191523/Live/International-Club-Friendlies-2017-Gor-Mahia-Everton#","Gor Mahia1 : 2EvertonElapsed:FTHalf time:1 : 1Full time:1 : 2Kick off:15:05Date:Thu, 13-Jul-17","null","",""
"1520680956-98","https://www.whoscored.com/Teams/31/Fixtures/England-Everton","4 : 0","https://www.whoscored.com/Matches/1190366/Live/England-Premier-League-2017-2018-Tottenham-Everton","0Formation Set  4231  4231 25Serge Aurier misses attempt (To the left, 18-yard box, Key pass, Right footed, Open play) 25GOAL! Son Heung-Min scores , Assisted by Serge Aurier (Low to the centre, 6-yard box, Big Chance, Right footed, Open play) 46GOAL! Harry Kane scores , Assisted by Son Heung-Min (Low to the centre, 6-yard box, Big Chance, Right footed, Open play) 46Son Heung-Min misses attempt (To the right, 18-yard box, Key pass, Left footed, Open play) 57Son Heung-Min hits the woodwork (To the left, Out of box, Left footed, Open play) 58Eric Dier assists a goal (Cross, Long Ball, Key pass, Open play) 58GOAL! Harry Kane scores , Assisted by Eric Dier (Low to the left, 18-yard box, Big Chance, Left footed, Open play) 73Victor Wanyama is substituted on 73Eric Dier is substituted off 80GOAL! Christian Eriksen scores , Assisted by Dele Alli (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 80Dele Alli assists a goal (Key pass, Open play) 81Mousa Dembélé is substituted off 81Moussa Sissoko is substituted on 86Erik Lamela is substituted on 86Christian Eriksen is substituted off","0Formation Set  4231  4231 44Phil Jagielka recieves a yellow card 56Yannick Bolasie is substituted off 56Aaron Lennon is substituted on 61Cenk Tosun is substituted off 61Dominic Calvert-Lewin is substituted on 71James McCarthy is substituted off 71Morgan Schneiderlin is substituted on 74Wayne Rooney recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190366/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Everton","Tottenham4 : 0EvertonElapsed:FTHalf time:1 : 0Full time:4 : 0Kick off:17:30Date:Sat, 13-Jan-18","20Shots710Shots on target084%Pass Success %71%58%Aerial Duel Success42%18Dribbles won718Tackles17Possession62%38%","",""
