web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520693377-2392","https://www.whoscored.com/Teams/166/Fixtures/England-Huddersfield","1 : 2","https://www.whoscored.com/Matches/1190329/Live/England-Premier-League-2017-2018-West-Bromwich-Albion-Huddersfield","0Formation Set  442  442 56James McClean is substituted off 56Chris Brunt is substituted on 63Chris Brunt assists a goal (Cross, Corner, Long Ball, Off the ground, Key pass, From corner) 63GOAL! Craig Dawson scores , Assisted by Chris Brunt (Low to the left, 6-yard box, Big Chance, Head, From corner) 68Gareth Barry is substituted off 68Jake Livermore is substituted on 80Matt Phillips is substituted off 80Oliver Burke is substituted on 82Jonny Evans recieves a yellow card","0Formation Set  4231  4231 29Florent Hadergjonaj recieves a yellow card 46Collin Quaner assists a goal (Key pass, Open play) 47GOAL! Rajiv van La Parra scores , Assisted by Collin Quaner (Low to the left, 18-yard box, Right footed, Open play) 52Tommy Smith is substituted on 52Florent Hadergjonaj is substituted off 55Alex Pritchard assists a goal (Through Ball, Key pass, Open play) 55GOAL! Steve Mounie scores , Assisted by Alex Pritchard (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 63Jonas Lössl commits an error (Leading to goal) 76Laurent Depoitre is substituted on 76Alex Pritchard is substituted off 88Rajiv van La Parra is substituted off 88Tom Ince is substituted on 89Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1190329/LiveStatistics/England-Premier-League-2017-2018-West-Bromwich-Albion-Huddersfield","West Bromwich Albion1 : 2HuddersfieldElapsed:FTHalf time:0 : 0Full time:1 : 2Kick off:15:00Date:Sat, 24-Feb-18","10Shots163Shots on target768%Pass Success %63%47%Aerial Duel Success53%11Dribbles won813Tackles29Possession53%47%","","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Jonas Lössl  29,  GK     0	0	1	0	0	5.51   2 	Florent Hadergjonaj (52′) 23,  DR     0	0	2	1	1	6.88   3 	Zanka  27,  DC     4	1	9	0	0	7.22  4 	Christopher Schindler  27,  DC     2	0	15	0	0	7.38  5 	Terence Kongolo  24,  DL     5	3	5	1	0	7.41  6 	Danny Williams  29,  DMC     0	1	1	0	2	6.53  7 	Jonathan Hogg  29,  DMC     7	1	1	0	1	7.04  8 	Collin Quaner  26,  AMR     1	0	1	0	1	7.02   9 	Alex Pritchard (76′) 24,  AMC     2	1	0	0	1	7.77   10 	Rajiv van La Parra (88′) 26,  AML     6	0	0	0	1	8.95   11 	Steve Mounie  23,  FW     0	0	1	0	2	7.64   12 	Laurent Depoitre (76′) 29,  Sub     1	0	0	0	0	6.27  13 	Tom Ince (88′) 26,  Sub     0	0	0	0	0	5.98  14 	Tommy Smith (52′) 25,  Sub     1	0	2	0	0	6.49  15 	Abdelhamid Sabiri  21,  Sub     0	0	0	0	0	-  16 	Dean Whitehead  36,  Sub     0	0	0	0	0	-  17 	Scott Malone  26,  Sub     0	0	0	0	0	-  18 	Joel Coleman  22,  Sub     0	0	0	0	0	-"
"1520693879-2726","https://www.whoscored.com/Teams/166/Fixtures/England-Huddersfield","2 : 1","https://www.whoscored.com/Matches/1190226/Live/England-Premier-League-2017-2018-Huddersfield-Manchester-United","0Formation Set  4231  4231 7Tommy Smith recieves a yellow card 8Christopher Schindler recieves a yellow card 27GOAL! Aaron Mooy scores  (Low to the right, 18-yard box, Big Chance, Left footed, Fast break) 32GOAL! Laurent Depoitre scores , Assisted by Jonas Lössl (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 32Jonas Lössl assists a goal (Long Ball, Key pass, Open play) 38Elias Kachunga is substituted off 38Rajiv van La Parra is substituted on 65Aaron Mooy recieves a yellow card 69Laurent Depoitre is substituted off 69Steve Mounie is substituted on 78Danny Williams recieves a yellow card 80Formation Change  4141  4141 80Formation Change  4141  4141 92Tom Ince is substituted off 92Scott Malone is substituted on","0Formation Set  4231  4231 7Anthony Martial recieves a yellow card 22Victor Lindelöf is substituted on 22Phil Jones is substituted off 22Formation Change  4231  4231 27Juan Mata commits an error (Leading to goal) 32Victor Lindelöf commits an error (Leading to goal) 45Henrikh Mkhitaryan is substituted on 45Marcus Rashford is substituted on 45Juan Mata is substituted off 45Formation Change  352  352 45Anthony Martial is substituted off 59Ashley Young recieves a yellow card 65Formation Change  4231  4231 77Romelu Lukaku assists a goal (Off the ground, Cross, Key pass, Open play) 77GOAL! Marcus Rashford scores , Assisted by Romelu Lukaku (Low to the left, 18-yard box, Big Chance, Head, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190226/LiveStatistics/England-Premier-League-2017-2018-Huddersfield-Manchester-United","Huddersfield2 : 1Manchester UnitedElapsed:FTHalf time:2 : 0Full time:2 : 1Kick off:15:00Date:Sat, 21-Oct-17","5Shots93Shots on target354%Pass Success %87%50%Aerial Duel Success50%11Dribbles won1327Tackles13Possession22%78%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	David de Gea  27,  GK     0	29	89.7	0	0	8	5	0	0	6.12  2 	Antonio Valencia  32,  DR     0	67	94	3	0	6	4	0	0	6.58  3 	Phil Jones (22′) 26,  DC     0	19	94.7	0	0	4	4	0	0	6.65  4 	Chris Smalling  28,  DC     0	68	85.3	0	0	2	2	0	0	6.59  5 	Ashley Young  32,  DL     2	70	80	12	3	9	3	0	0	7.29   6 	Nemanja Matic  29,  DMC     1	118	88.1	1	0	10	7	1	0	6.48  7 	Ander Herrera  28,  DMC     0	119	91.6	2	0	6	3	0	0	6.68  8 	Juan Mata (45′) 29,  AMR     0	21	90.5	2	0	2	2	0	0	5.03   9 	Jesse Lingard  25,  AMC     1	69	88.4	5	1	1	1	0	0	6.51  10 	Anthony Martial (45′) 22,  AML     0	26	80.8	0	0	2	1	0	0	6.10   11 	Romelu Lukaku  24,  FW     1	23	73.9	2	1	0	0	0	0	6.88   12 	Henrikh Mkhitaryan (45′) 29,  Sub     0	36	83.3	1	0	3	2	0	0	6.26  13 	Victor Lindelöf (22′) 23,  Sub     0	62	88.7	0	0	1	1	0	0	5.42   14 	Marcus Rashford (45′) 20,  Sub     0	14	42.9	2	0	1	1	1	0	7.32   15 	Sergio Romero  31,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Matteo Darmian  28,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Daley Blind  28,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Scott McTominay  21,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520694006-2810","https://www.whoscored.com/Teams/166/Fixtures/England-Huddersfield","2 : 0","https://www.whoscored.com/Matches/1190238/Live/England-Premier-League-2017-2018-West-Ham-Huddersfield","0Formation Set  343  343 12Chicharito hits the woodwork (High, 18-yard box, Right footed, Open play) 48Pablo Zabaleta recieves a yellow card 63Chicharito is substituted off 63André Ayew is substituted on 71André Ayew assists a goal (Key pass, Open play) 71GOAL! Pedro Obiang scores , Assisted by André Ayew (High to the right, Out of box, Left footed, Open play) 76GOAL! André Ayew scores  (Low to the centre, 6-yard box, Big Chance, Left footed, From corner) 81Andy Carroll is substituted off 81Diafra Sakho is substituted on 92Pedro Obiang is substituted off 92Declan Rice is substituted on","0Formation Set  4231  4231 24Zanka recieves a yellow card 44Philip Billing recieves a yellow card 62Chris Löwe is substituted off 62Scott Malone is substituted on 74Elias Kachunga is substituted off 74Abdelhamid Sabiri is substituted on 82Philip Billing is substituted off 82Laurent Depoitre is substituted on 82Formation Change  4312  4312","Player Statistics","https://www.whoscored.com/Matches/1190238/LiveStatistics/England-Premier-League-2017-2018-West-Ham-Huddersfield","West Ham2 : 0HuddersfieldElapsed:FTHalf time:0 : 0Full time:2 : 0Kick off:20:00Date:Mon, 11-Sep-17","19Shots103Shots on target269%Pass Success %78%57%Aerial Duel Success43%4Dribbles won821Tackles19Possession43%57%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Jonas Lössl  29,  GK     0	41	58.5	0	0	24	7	0	0	5.85  2 	Tommy Smith  25,  DR     0	33	66.7	3	0	4	0	0	0	5.81  3 	Zanka  27,  DC     0	51	92.2	0	0	4	1	0	0	6.92   4 	Christopher Schindler  27,  DC     1	43	79.1	0	0	3	1	0	0	7.86  5 	Chris Löwe (62′) 28,  DL     0	23	69.6	2	0	9	3	0	0	6.65  6 	Aaron Mooy  27,  DMC     3	66	84.9	5	2	6	3	0	0	6.67  7 	Philip Billing (82′) 21,  DMC     1	45	77.8	1	0	6	1	0	0	6.01   8 	Elias Kachunga (74′) 25,  AMR     0	22	77.3	2	0	0	0	0	0	5.81  9 	Tom Ince  26,  AMC     2	25	84	2	0	1	0	0	0	6.61  10 	Rajiv van La Parra  26,  AML     1	31	83.9	2	1	0	0	0	0	6.02  11 	Steve Mounie  23,  FW     1	21	76.2	0	0	0	0	0	0	6.51  12 	Laurent Depoitre (82′) 29,  Sub     0	1	100	0	0	0	0	0	0	6.03  13 	Abdelhamid Sabiri (74′) 21,  Sub     0	7	57.1	0	0	1	0	0	0	6.07  14 	Scott Malone (62′) 26,  Sub     0	17	64.7	2	0	1	0	0	0	6.55  15 	Michael Hefele  27,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Florent Hadergjonaj  23,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Danny Williams  29,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Joel Coleman  22,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520693670-2581","https://www.whoscored.com/Teams/166/Fixtures/England-Huddersfield","1 : 4","https://www.whoscored.com/Matches/1190524/Live/England-Premier-League-2017-2018-Watford-Huddersfield","0Formation Set  3421  3421 5Christian Kabasele blocks a shot (Last line) 0Formation Change  352  352 22Adrian Mariappa commits an error (Leading to goal) 28Adrian Mariappa is substituted off 28Formation Change  4231  4231 28Roberto Pereyra is substituted on 32Troy Deeney recieves a red card 32Formation Change  4231  4231 40Abdoulaye Doucouré recieves a yellow card 49José Holebas commits an error (Leading to goal) 63Formation Change  4231  4231 63Etienne Capoue is substituted off 63Andre Gray is substituted on 67GOAL! Abdoulaye Doucouré scores  (Low to the right, Out of box, Right footed, Set piece) 81José Holebas is substituted off 81Stefano Okaka is substituted on 88Daryl Janmaat recieves a yellow card 93Abdoulaye Doucouré blocks a shot (Last line)","0Formation Set  442  442 5Laurent Depoitre is caught offside 5GOAL! Elias Kachunga scores , Assisted by Laurent Depoitre (Low to the left, 6-yard box, Big Chance, Right footed, From corner) 18Tom Ince is substituted on 18Elias Kachunga is substituted off 18Formation Change  4231  4231 22Collin Quaner assists a goal (Cross, Off the ground, Key pass, Open play) 22GOAL! Aaron Mooy scores , Assisted by Collin Quaner (Low to the left, 6-yard box, Big Chance, Left footed, Open play) 36Jonathan Hogg recieves a yellow card 44Chris Löwe is substituted off 44Scott Malone is substituted on 49GOAL! Laurent Depoitre scores  (Low to the left, 18-yard box, Right footed, Open play) 60Jonathan Hogg recieves a red card after receiving second yellow card 61Formation Change  4231  4231 63Rajiv van La Parra is substituted off 63Danny Williams is substituted on 63Formation Change  4411  4411 68Laurent Depoitre recieves a yellow card 88GOAL! Aaron Mooy scores  (Low to the left, 18-yard box, Penalty, Big Chance, Right footed) 89Aaron Mooy recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190524/LiveStatistics/England-Premier-League-2017-2018-Watford-Huddersfield","Watford1 : 4HuddersfieldElapsed:FTHalf time:0 : 2Full time:1 : 4Kick off:15:00Date:Sat, 16-Dec-17","13Shots153Shots on target979%Pass Success %72%47%Aerial Duel Success53%10Dribbles won718Tackles24Possession59%41%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Jonas Lössl  29,  GK     0	0	0	0	0	0	0	0	6.46  2 	Florent Hadergjonaj  23,  DR     0	0	0	0	0	1	0	0	6.99  3 	Zanka  27,  DC     0	0	0	0	1	1	0	0	7.02  4 	Christopher Schindler  27,  DC     1	0	0	0	0	0	0	0	7.28  5 	Chris Löwe (44′) 28,  DL     1	0	0	1	1	0	0	0	6.80  6 	Collin Quaner  26,  MR     3	2	1	1	3	0	3	1	8.24   7 	Aaron Mooy  27,  MC     3	2	3	0	0	0	2	0	8.27     8 	Jonathan Hogg  29,  MC     0	0	0	0	0	0	1	0	5.72    9 	Rajiv van La Parra (63′) 26,  ML     1	1	1	3	2	0	2	4	7.49  10 	Laurent Depoitre  29,  FW     2	1	1	0	2	1	4	3	8.32     11 	Elias Kachunga (18′) 25,  FW     1	1	0	0	0	0	0	1	6.93   12 	Danny Williams (63′) 29,  Sub     0	0	1	0	0	0	0	2	6.13  13 	Scott Malone (44′) 26,  Sub     0	0	1	1	1	0	0	3	6.91  14 	Tom Ince (18′) 26,  Sub     3	2	2	1	1	0	0	5	7.00  15 	Steve Mounie  23,  Sub     0	0	0	0	0	0	0	0	-  16 	Dean Whitehead  36,  Sub     0	0	0	0	0	0	0	0	-  17 	Martin Cranie  31,  Sub     0	0	0	0	0	0	0	0	-  18 	Joel Coleman  22,  Sub     0	0	0	0	0	0	0	0	-"
"1520693432-2427","https://www.whoscored.com/Teams/166/Fixtures/England-Huddersfield","1 : 4*","https://www.whoscored.com/Matches/1267318/Live/England-FA-Cup-2017-2018-Birmingham-Huddersfield","null","null","Player Statistics","https://www.whoscored.com/Matches/1267318/Live/England-FA-Cup-2017-2018-Birmingham-Huddersfield#","Birmingham1 : 4*HuddersfieldElapsed:AETHalf time:0 : 0Full time:1 : 1Extra time:1 : 4Kick off:19:45Date:Tue, 06-Feb-18","null","",""
"1520693573-2516","https://www.whoscored.com/Teams/166/Fixtures/England-Huddersfield","3 : 0","https://www.whoscored.com/Matches/1190436/Live/England-Premier-League-2017-2018-Leicester-Huddersfield","0Formation Set  442  442 23Wes Morgan recieves a yellow card 27Wes Morgan is substituted off 27Formation Change  442  442 27Aleksandar Dragovic is substituted on 52Marc Albrighton assists a goal (Off the ground, Key pass, Open play) 52GOAL! Riyad Mahrez scores , Assisted by Marc Albrighton (Low to the left, 18-yard box, Left footed, Open play) 59GOAL! Islam Slimani scores , Assisted by Riyad Mahrez (Low to the centre, Out of box, Big Chance, Right footed, Fast break) 59Riyad Mahrez assists a goal (Through Ball, Key pass, Fast break) 76Demarai Gray is substituted on 76Riyad Mahrez is substituted off 82Wilfred Ndidi hits the woodwork (High, 18-yard box, Head, From corner) 85Matty James is substituted off 85Adrien Silva is substituted on 91GOAL! Marc Albrighton scores  (Low to the left, 6-yard box, Big Chance, Right footed, Open play)","0Formation Set  4231  4231 57Formation Change  4231  4231 58Collin Quaner is substituted on 58Joe Lolley is substituted off 75Chris Löwe is substituted off 75Scott Malone is substituted on 81Tommy Smith is substituted off 81Formation Change  4231  4231 81Laurent Depoitre is substituted on 82Formation Change  3412  3412 83Scott Malone recieves a yellow card 90Formation Change  3412  3412","Player Statistics","https://www.whoscored.com/Matches/1190436/LiveStatistics/England-Premier-League-2017-2018-Leicester-Huddersfield","Leicester3 : 0HuddersfieldElapsed:FTHalf time:0 : 0Full time:3 : 0Kick off:15:00Date:Mon, 01-Jan-18","11Shots65Shots on target179%Pass Success %81%49%Aerial Duel Success51%16Dribbles won1114Tackles29Possession51%49%","","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Jonas Lössl  29,  GK     0	0	3	0	0	6.22  2 	Tommy Smith (81′) 25,  DR     5	0	3	0	1	6.62  3 	Zanka  27,  DC     1	1	14	0	1	6.07  4 	Christopher Schindler  27,  DC     3	7	12	0	0	7.61  5 	Chris Löwe (75′) 28,  DL     6	0	4	0	0	6.82  6 	Aaron Mooy  27,  DMC     5	1	1	0	0	6.62  7 	Danny Williams  29,  DMC     2	3	3	0	0	6.33  8 	Rajiv van La Parra  26,  AMR     3	0	1	0	1	6.78  9 	Tom Ince  26,  AMC     1	0	0	0	1	6.00  10 	Joe Lolley (58′) 25,  AML     0	1	0	0	2	5.82  11 	Steve Mounie  23,  FW     0	2	1	0	1	6.67  12 	Laurent Depoitre (81′) 29,  Sub     0	0	0	0	0	5.94  13 	Collin Quaner (58′) 26,  Sub     2	0	0	0	0	6.03  14 	Scott Malone (75′) 26,  Sub     1	1	1	0	2	6.07   15 	Florent Hadergjonaj  23,  Sub     0	0	0	0	0	-  16 	Joel Coleman  22,  Sub     0	0	0	0	0	-  17 	Jonathan Hogg  29,  Sub     0	0	0	0	0	-  18 	Martin Cranie  31,  Sub     0	0	0	0	0	-"
"1520693624-2543","https://www.whoscored.com/Teams/166/Fixtures/England-Huddersfield","1 : 1","https://www.whoscored.com/Matches/1190352/Live/England-Premier-League-2017-2018-Huddersfield-Stoke","0Formation Set  4231  4231 9Collin Quaner assists a goal (Key pass, Open play) 9GOAL! Tom Ince scores , Assisted by Collin Quaner (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 26Chris Löwe blocks a shot (Last line) 26Jonathan Hogg blocks a shot (Last line) 58Christopher Schindler recieves a yellow card 61Joe Lolley is substituted on 61Steve Mounie is substituted off 61Laurent Depoitre is substituted on 61Rajiv van La Parra is substituted off 82Scott Malone is substituted on 82Chris Löwe is substituted off 84Zanka recieves a yellow card","0Formation Set  4231  4231 31Ryan Shawcross is substituted off 31Formation Change  4231  4231 31Ramadan Sobhi is substituted on 59GOAL! Ramadan Sobhi scores , Assisted by Joe Allen (Low to the centre, 6-yard box, Big Chance, Right footed, Open play) 59Ramadan Sobhi recieves a yellow card 59Joe Allen assists a goal (Cross, Key pass, Open play) 64Xherdan Shaqiri is substituted off 64Mame Biram Diouf is substituted on 68Geoff Cameron recieves a yellow card 71Kurt Zouma recieves a yellow card 75Mame Biram Diouf recieves a yellow card 75Darren Fletcher is substituted off 75Charlie Adam is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190352/LiveStatistics/England-Premier-League-2017-2018-Huddersfield-Stoke","Huddersfield1 : 1StokeElapsed:FTHalf time:1 : 0Full time:1 : 1Kick off:15:00Date:Tue, 26-Dec-17","18Shots157Shots on target783%Pass Success %73%31%Aerial Duel Success69%8Dribbles won1017Tackles31Possession58%42%","",""
"1520693573-2513","https://www.whoscored.com/Teams/166/Fixtures/England-Huddersfield","3 : 0","https://www.whoscored.com/Matches/1190436/Live/England-Premier-League-2017-2018-Leicester-Huddersfield","0Formation Set  442  442 23Wes Morgan recieves a yellow card 27Wes Morgan is substituted off 27Formation Change  442  442 27Aleksandar Dragovic is substituted on 52Marc Albrighton assists a goal (Off the ground, Key pass, Open play) 52GOAL! Riyad Mahrez scores , Assisted by Marc Albrighton (Low to the left, 18-yard box, Left footed, Open play) 59GOAL! Islam Slimani scores , Assisted by Riyad Mahrez (Low to the centre, Out of box, Big Chance, Right footed, Fast break) 59Riyad Mahrez assists a goal (Through Ball, Key pass, Fast break) 76Demarai Gray is substituted on 76Riyad Mahrez is substituted off 82Wilfred Ndidi hits the woodwork (High, 18-yard box, Head, From corner) 85Matty James is substituted off 85Adrien Silva is substituted on 91GOAL! Marc Albrighton scores  (Low to the left, 6-yard box, Big Chance, Right footed, Open play)","0Formation Set  4231  4231 57Formation Change  4231  4231 58Collin Quaner is substituted on 58Joe Lolley is substituted off 75Chris Löwe is substituted off 75Scott Malone is substituted on 81Tommy Smith is substituted off 81Formation Change  4231  4231 81Laurent Depoitre is substituted on 82Formation Change  3412  3412 83Scott Malone recieves a yellow card 90Formation Change  3412  3412","Player Statistics","https://www.whoscored.com/Matches/1190436/LiveStatistics/England-Premier-League-2017-2018-Leicester-Huddersfield","Leicester3 : 0HuddersfieldElapsed:FTHalf time:0 : 0Full time:3 : 0Kick off:15:00Date:Mon, 01-Jan-18","11Shots65Shots on target179%Pass Success %81%49%Aerial Duel Success51%16Dribbles won1114Tackles29Possession51%49%","",""
"1520693601-2526","https://www.whoscored.com/Teams/166/Fixtures/England-Huddersfield","0 : 0","https://www.whoscored.com/Matches/1190392/Live/England-Premier-League-2017-2018-Huddersfield-Burnley","0Formation Set  4231  4231 11Zanka recieves a yellow card 45Florent Hadergjonaj is substituted off 45Tommy Smith is substituted on 54Tom Ince is substituted off 54Joe Lolley is substituted on 81Collin Quaner is substituted off 81Danny Williams is substituted on 81Formation Change  4231  4231 92Joe Lolley recieves a yellow card","0Formation Set  4411  4411 72Jeff Hendrick is substituted off 72Sam Vokes is substituted on 72Formation Change  442  442 75Ben Mee recieves a yellow card 80Ashley Barnes is substituted off 80Nahki Wells is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190392/LiveStatistics/England-Premier-League-2017-2018-Huddersfield-Burnley","Huddersfield0 : 0BurnleyElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:15:00Date:Sat, 30-Dec-17","3Shots111Shots on target474%Pass Success %60%56%Aerial Duel Success44%10Dribbles won816Tackles17Possession57%43%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Jonas Lössl  29,  GK     0	39	59	0	0	27	11	0	0	7.81  2 	Florent Hadergjonaj (45′) 23,  DR     0	14	64.3	2	0	4	0	0	0	6.52  3 	Zanka  27,  DC     1	53	79.3	0	0	11	6	0	0	7.84   4 	Christopher Schindler  27,  DC     1	41	78.1	0	0	8	5	0	0	8.18  5 	Scott Malone  26,  DL     0	27	85.2	5	1	4	4	0	0	7.59  6 	Aaron Mooy  27,  DMC     0	47	74.5	8	1	4	1	0	0	6.59  7 	Jonathan Hogg  29,  DMC     0	56	82.1	1	0	8	4	1	0	6.82  8 	Collin Quaner (81′) 26,  AMR     0	22	72.7	1	0	1	0	0	0	6.64  9 	Tom Ince (54′) 26,  AMC     0	9	77.8	2	0	1	1	0	0	6.02  10 	Rajiv van La Parra  26,  AML     0	23	78.3	2	0	2	1	1	0	7.22  11 	Laurent Depoitre  29,  FW     0	22	50	0	0	1	0	0	0	6.31  12 	Danny Williams (81′) 29,  Sub     0	2	50	0	0	1	0	0	0	6.07  13 	Joe Lolley (54′) 25,  Sub     0	12	83.3	1	0	0	0	0	0	6.10   14 	Tommy Smith (45′) 25,  Sub     0	17	64.7	0	0	2	0	0	0	6.44  15 	Steve Mounie  23,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Michael Hefele  27,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Joel Coleman  22,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Martin Cranie  31,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520693647-2555","https://www.whoscored.com/Teams/166/Fixtures/England-Huddersfield","1 : 1","https://www.whoscored.com/Matches/1190543/Live/England-Premier-League-2017-2018-Southampton-Huddersfield","0Formation Set  4231  4231 23Wesley Hoedt misses attempt (To the left, 18-yard box, Key pass, Head, From corner) 23GOAL! Charlie Austin scores , Assisted by Wesley Hoedt (Low to the left, 6-yard box, Big Chance, Head, From corner) 53Wesley Hoedt recieves a yellow card 71Steven Davis is substituted off 71Pierre-Emile Højbjerg is substituted on 71Dusan Tadic is substituted off 71Formation Change  4231  4231 71Sofiane Boufal is substituted on 78Charlie Austin is substituted off 78Manolo Gabbiadini is substituted on 90Maya Yoshida hits the woodwork (To the right, 18-yard box, Big Chance, Head, Set piece) 96Nathan Redmond recieves a yellow card","0Formation Set  4231  4231 14Christopher Schindler hits the woodwork (High, 18-yard box, Head, Set piece) 60Joe Lolley is substituted on 60Florent Hadergjonaj is substituted off 60Tommy Smith is substituted on 60Rajiv van La Parra is substituted off 63GOAL! Laurent Depoitre scores , Assisted by Tommy Smith (Low to the left, 6-yard box, Big Chance, Head, Open play) 63Tommy Smith assists a goal (Off the ground, Cross, Key pass, Open play) 81Laurent Depoitre is substituted off 81Steve Mounie is substituted on 96Collin Quaner recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190543/LiveStatistics/England-Premier-League-2017-2018-Southampton-Huddersfield","Southampton1 : 1HuddersfieldElapsed:FTHalf time:1 : 0Full time:1 : 1Kick off:15:00Date:Sat, 23-Dec-17","12Shots106Shots on target270%Pass Success %64%54%Aerial Duel Success46%8Dribbles won1014Tackles17Possession53%47%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Fraser Forster  29,  GK     0	0	0	21.4	0	31	5.88  2 	Jack Stephens  24,  DR     0	0	0	50	2	55	6.47  3 	Maya Yoshida  29,  DC     3	0	0	74.1	5	47	7.38   4 	Wesley Hoedt  24,  DC     1	0	1	80	5	54	7.24    5 	Matt Targett  22,  DL     0	0	1	69.1	1	76	7.11  6 	Mario Lemina  24,  DMC     0	0	0	87.2	5	58	7.74  7 	Steven Davis (71′) 33,  DMC     1	0	0	72.2	1	45	6.33  8 	James Ward-Prowse  23,  AMR     1	1	4	78.6	1	51	6.74  9 	Dusan Tadic (71′) 29,  AMC     1	1	1	70.4	1	45	6.17  10 	Nathan Redmond  24,  AML     1	1	3	79.5	0	55	6.74   11 	Charlie Austin (78′) 28,  FW     4	3	0	63.2	1	33	7.18   12 	Pierre-Emile Højbjerg (71′) 22,  Sub     0	0	0	88.2	0	19	6.00  13 	Manolo Gabbiadini (78′) 26,  Sub     0	0	0	25	0	5	5.96  14 	Sofiane Boufal (71′) 24,  Sub     0	0	0	84.6	0	24	6.27  15 	Shane Long  31,  Sub     0	0	0	0	0	0	-  16 	Oriol Romeu  26,  Sub     0	0	0	0	0	0	-  17 	Alex McCarthy  28,  Sub     0	0	0	0	0	0	-  18 	Sam McQueen  23,  Sub     0	0	0	0	0	0	-",""
