web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520699284-2989","https://www.whoscored.com/Teams/23/Fixtures/England-Newcastle-United","3 : 0","https://www.whoscored.com/Matches/1260753/Live/England-FA-Cup-2017-2018-Chelsea-Newcastle-United","0Formation Set  3421  3421 30Marcos Alonso assists a goal (Key pass, Open play) 30GOAL! Michy Batshuayi scores , Assisted by Marcos Alonso (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 43GOAL! Michy Batshuayi scores , Assisted by Eden Hazard (Low to the left, 18-yard box, Right footed, Fast break) 43Eden Hazard assists a goal (Key pass, Fast break) 71GOAL! Marcos Alonso scores  (High to the right, Out of box, Left footed, Free kick) 72Eden Hazard is substituted off 72Ross Barkley is substituted on 77N'Golo Kanté is substituted off 77Ethan Ampadu is substituted on 80Pedro is substituted off 80Callum Hudson-Odoi is substituted on","0Formation Set  532  532 16Chancel Mbemba recieves a yellow card 63Dwight Gayle is substituted off 63Joselu is substituted on 76Javier Manquillo is substituted off 76Jacob Murphy is substituted on 82Isaac Hayden is substituted off 82Christian Atsu is substituted on","Player Statistics","https://www.whoscored.com/Matches/1260753/LiveStatistics/England-FA-Cup-2017-2018-Chelsea-Newcastle-United","Chelsea3 : 0Newcastle UnitedElapsed:FTHalf time:2 : 0Full time:3 : 0Kick off:13:30Date:Sun, 28-Jan-18","18Shots98Shots on target685%Pass Success %75%28%Aerial Duel Success72%18Dribbles won810Tackles21Possession61%39%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Karl Darlow  27,  GK     0	0	0	0	0	0	0	0	6.75  2 	Javier Manquillo (76′) 23,  DR     0	0	0	1	0	1	2	0	6.16  3 	Chancel Mbemba  23,  DC     1	1	0	1	1	0	0	0	6.29   4 	Ciaran Clark  28,  DC     1	0	0	1	1	0	0	1	6.47  5 	Jamaal Lascelles  24,  DC     0	0	0	0	0	0	0	0	6.40  6 	Massadio Haidara  25,  DL     0	0	2	1	2	0	0	2	6.80  7 	Henri Saivet  27,  MC     1	0	1	2	0	0	0	1	6.18  8 	Jonjo Shelvey  26,  MC     4	3	1	0	0	0	1	1	6.51  9 	Isaac Hayden (82′) 22,  MC     0	0	2	0	0	0	3	4	6.18  10 	Dwight Gayle (63′) 27,  FW     1	1	0	1	1	1	0	2	6.18  11 	Matt Ritchie  28,  FW     0	0	0	1	0	0	0	2	6.16  12 	Christian Atsu (82′) 26,  Sub     0	0	0	0	0	0	0	0	5.98  13 	Joselu (63′) 27,  Sub     0	0	0	0	0	0	0	0	6.35  14 	Jacob Murphy (76′) 23,  Sub     1	1	0	0	0	0	0	0	6.31  15 	Mohamed Diamé  30,  Sub     0	0	0	0	0	0	0	0	-  16 	DeAndre Yedlin  24,  Sub     0	0	0	0	0	0	0	0	-  17 	Freddy Woodman  21,  Sub     0	0	0	0	0	0	0	0	-  18 	Paul Dummett  26,  Sub     0	0	0	0	0	0	0	0	-"
"1520699984-3331","https://www.whoscored.com/Teams/23/Fixtures/England-Newcastle-United","3 : 0","https://www.whoscored.com/Matches/1190199/Live/England-Premier-League-2017-2018-Newcastle-United-West-Ham","0Formation Set  4231  4231 35Christian Atsu assists a goal (Key pass, Open play) 35GOAL! Joselu scores , Assisted by Christian Atsu (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 71Aleksandar Mitrovic is substituted on 71GOAL! Ciaran Clark scores , Assisted by Matt Ritchie (Low to the left, 18-yard box, Big Chance, Head, Open play) 71Joselu is substituted off 71Matt Ritchie assists a goal (Cross, Off the ground, Key pass, Open play) 81Mohamed Diamé is substituted on 81Isaac Hayden is substituted off 82Mikel Merino recieves a yellow card 85Ayoze Pérez assists a goal (Through Ball, Key pass, Open play) 85GOAL! Aleksandar Mitrovic scores , Assisted by Ayoze Pérez (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 87Jacob Murphy is substituted on 87Matt Ritchie is substituted off","0Formation Set  4231  4231 16Chicharito recieves a yellow card 45Manuel Lanzini is substituted on 45Formation Change  4231  4231 45Declan Rice is substituted off 64Edimilson Fernandes recieves a yellow card 69André Ayew is substituted off 69Diafra Sakho is substituted on 70Mark Noble is substituted off 70Cheikhou Kouyaté is substituted on 72Formation Change  4231  4231 77Diafra Sakho recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190199/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-West-Ham","Newcastle United3 : 0West HamElapsed:FTHalf time:1 : 0Full time:3 : 0Kick off:15:00Date:Sat, 26-Aug-17","17Shots88Shots on target361%Pass Success %76%61%Aerial Duel Success39%8Dribbles won814Tackles17Possession37%63%","",""
"1520699170-2911","https://www.whoscored.com/Teams/23/Fixtures/England-Newcastle-United","2 : 2","https://www.whoscored.com/Matches/1190423/Live/England-Premier-League-2017-2018-Bournemouth-Newcastle-United","0Formation Set  4411  4411 45Asmir Begovic commits an error (Leading to goal) 45Adam Smith is substituted on 45Charlie Daniels is substituted off 51Nathan Aké recieves a yellow card 62Ryan Fraser is substituted off 62Lys Mousset is substituted on 62Formation Change  442  442 72Callum Wilson is substituted off 72Jermain Defoe is substituted on 79Lewis Cook assists a goal (Key pass, Open play) 79GOAL! Adam Smith scores , Assisted by Lewis Cook (High to the centre, 18-yard box, Right footed, Open play) 88Nathan Aké assists a goal (Key pass, Open play) 88GOAL! Dan Gosling scores , Assisted by Nathan Aké (High to the left, 6-yard box, Big Chance, Right footed, Open play)","0Formation Set  4411  4411 16GOAL! Dwight Gayle scores  (Low to the centre, 6-yard box, Big Chance, Right footed, Open play) 45GOAL! Dwight Gayle scores , Assisted by Ayoze Pérez (Low to the left, 6-yard box, Big Chance, Left footed, From corner) 45Ayoze Pérez assists a goal (Key pass, From corner) 52Matt Ritchie recieves a yellow card 63Kenedy is substituted off 63Christian Atsu is substituted on 77Isaac Hayden is substituted on 77Dwight Gayle is substituted off 77Formation Change  451  451 81DeAndre Yedlin recieves a yellow card 84Matt Ritchie is substituted off 84Javier Manquillo is substituted on 84Mohamed Diamé recieves a yellow card 90Ayoze Pérez recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190423/LiveStatistics/England-Premier-League-2017-2018-Bournemouth-Newcastle-United","Bournemouth2 : 2Newcastle UnitedElapsed:FTHalf time:0 : 2Full time:2 : 2Kick off:15:00Date:Sat, 24-Feb-18","18Shots155Shots on target482%Pass Success %68%44%Aerial Duel Success56%9Dribbles won716Tackles21Possession63%37%","",""
"1520700025-3366","https://www.whoscored.com/Teams/23/Fixtures/England-Newcastle-United","1 : 0","https://www.whoscored.com/Matches/1190186/Live/England-Premier-League-2017-2018-Huddersfield-Newcastle-United","0Formation Set  4231  4231 49Elias Kachunga assists a goal (Key pass, Open play) 49GOAL! Aaron Mooy scores , Assisted by Elias Kachunga (High to the right, 18-yard box, Right footed, Open play) 65Philip Billing recieves a yellow card 68Rajiv van La Parra is substituted off 68Formation Change  4231  4231 68Collin Quaner is substituted on 71Kasey Palmer is substituted on 71Formation Change  4231  4231 71Elias Kachunga is substituted off 76Kasey Palmer recieves a yellow card 87Steve Mounie recieves a yellow card 91Tom Ince is substituted off 91Michael Hefele is substituted on 91Formation Change  541  541","0Formation Set  4231  4231 40Matt Ritchie recieves a yellow card 51Joselu is substituted on 51Dwight Gayle is substituted off 52Isaac Hayden recieves a yellow card 63Joselu recieves a yellow card 75Mohamed Diamé is substituted on 75Isaac Hayden is substituted off 79Ayoze Pérez is substituted off 79Jacob Murphy is substituted on 90Jamaal Lascelles recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190186/LiveStatistics/England-Premier-League-2017-2018-Huddersfield-Newcastle-United","Huddersfield1 : 0Newcastle UnitedElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:13:30Date:Sun, 20-Aug-17","7Shots133Shots on target577%Pass Success %70%67%Aerial Duel Success33%5Dribbles won924Tackles18Possession53%47%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Robert Elliot  31,  GK     0	45	62.2	0	0	26	10	0	0	6.20  2 	Javier Manquillo  23,  DR     1	31	61.3	5	2	6	2	0	0	6.95  3 	Ciaran Clark  28,  DC     2	45	82.2	0	0	12	6	0	0	6.91  4 	Jamaal Lascelles  24,  DC     1	48	85.4	0	0	8	5	0	0	6.45   5 	Chancel Mbemba  23,  DL     0	30	66.7	1	0	2	0	0	0	7.02  6 	Mikel Merino  21,  DMC     0	55	72.7	0	0	11	5	0	0	6.84  7 	Isaac Hayden (75′) 22,  DMC     0	36	72.2	0	0	6	3	0	0	6.48   8 	Christian Atsu  26,  AMR     2	25	72	1	0	0	0	0	0	6.22  9 	Ayoze Pérez (79′) 24,  AMC     1	27	63	1	0	1	0	0	0	6.08  10 	Matt Ritchie  28,  AML     1	40	62.5	6	2	6	2	0	0	5.98   11 	Dwight Gayle (51′) 27,  FW     0	7	71.4	0	0	1	0	0	0	6.08  12 	Mohamed Diamé (75′) 30,  Sub     0	12	83.3	0	0	2	2	0	0	6.13  13 	Joselu (51′) 27,  Sub     1	11	72.7	0	0	0	0	0	0	6.58   14 	Jacob Murphy (79′) 23,  Sub     0	3	66.7	0	0	0	0	0	0	5.98  15 	Rolando Aarons  22,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Henri Saivet  27,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Aleksandar Mitrovic  23,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Karl Darlow  27,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520699984-3337","https://www.whoscored.com/Teams/23/Fixtures/England-Newcastle-United","3 : 0","https://www.whoscored.com/Matches/1190199/Live/England-Premier-League-2017-2018-Newcastle-United-West-Ham","0Formation Set  4231  4231 35Christian Atsu assists a goal (Key pass, Open play) 35GOAL! Joselu scores , Assisted by Christian Atsu (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 71Aleksandar Mitrovic is substituted on 71GOAL! Ciaran Clark scores , Assisted by Matt Ritchie (Low to the left, 18-yard box, Big Chance, Head, Open play) 71Joselu is substituted off 71Matt Ritchie assists a goal (Cross, Off the ground, Key pass, Open play) 81Mohamed Diamé is substituted on 81Isaac Hayden is substituted off 82Mikel Merino recieves a yellow card 85Ayoze Pérez assists a goal (Through Ball, Key pass, Open play) 85GOAL! Aleksandar Mitrovic scores , Assisted by Ayoze Pérez (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 87Jacob Murphy is substituted on 87Matt Ritchie is substituted off","0Formation Set  4231  4231 16Chicharito recieves a yellow card 45Manuel Lanzini is substituted on 45Formation Change  4231  4231 45Declan Rice is substituted off 64Edimilson Fernandes recieves a yellow card 69André Ayew is substituted off 69Diafra Sakho is substituted on 70Mark Noble is substituted off 70Cheikhou Kouyaté is substituted on 72Formation Change  4231  4231 77Diafra Sakho recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190199/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-West-Ham","Newcastle United3 : 0West HamElapsed:FTHalf time:1 : 0Full time:3 : 0Kick off:15:00Date:Sat, 26-Aug-17","17Shots88Shots on target361%Pass Success %76%61%Aerial Duel Success39%8Dribbles won814Tackles17Possession37%63%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Robert Elliot  31,  GK     0	0	0	0	0	0	0	0	7.85  2 	Javier Manquillo  23,  DR     0	0	1	0	0	0	0	1	6.99  3 	Ciaran Clark  28,  DC     1	1	0	0	2	0	0	1	7.87   4 	Jamaal Lascelles  24,  DC     0	0	0	0	1	0	0	0	7.13  5 	Chancel Mbemba  23,  DL     0	0	1	2	0	0	1	0	8.37  6 	Mikel Merino  21,  DMC     1	1	2	2	2	0	3	2	7.76   7 	Isaac Hayden (81′) 22,  DMC     1	0	2	0	2	0	1	0	6.96  8 	Matt Ritchie (87′) 28,  AMR     4	1	1	1	0	0	1	1	8.26   9 	Ayoze Pérez  24,  AMC     3	1	2	1	1	0	1	4	7.38   10 	Christian Atsu  26,  AML     2	1	1	1	1	0	0	0	7.78   11 	Joselu (71′) 27,  FW     2	1	2	0	0	0	2	1	7.90   12 	Mohamed Diamé (81′) 30,  Sub     0	0	1	0	0	0	0	0	6.19  13 	Aleksandar Mitrovic (71′) 23,  Sub     3	2	2	1	1	0	0	0	7.55   14 	Jacob Murphy (87′) 23,  Sub     0	0	0	0	0	0	0	0	6.02  15 	Rolando Aarons  22,  Sub     0	0	0	0	0	0	0	0	-  16 	Henri Saivet  27,  Sub     0	0	0	0	0	0	0	0	-  17 	Jesús Gámez  32,  Sub     0	0	0	0	0	0	0	0	-  18 	Freddy Woodman  21,  Sub     0	0	0	0	0	0	0	0	-",""
"1520699468-3087","https://www.whoscored.com/Teams/23/Fixtures/England-Newcastle-United","2 : 3","https://www.whoscored.com/Matches/1190336/Live/England-Premier-League-2017-2018-West-Ham-Newcastle-United","0Formation Set  3421  3421 5GOAL! Marko Arnautovic scores  (Low to the left, Out of box, Right footed, Fast break) 55André Ayew has attempt saved (Low to the right, 18-yard box, Big Chance, Penalty, Left footed)  58Andy Carroll is substituted on 58Michail Antonio is substituted off 58Formation Change  3421  3421 68GOAL! André Ayew scores  (High to the centre, 6-yard box, Big Chance, Right footed, From corner) 76Cheikhou Kouyaté recieves a yellow card 78André Ayew is substituted off 78Chicharito is substituted on","0Formation Set  442  442 5Henri Saivet commits an error (Leading to goal) 9GOAL! Henri Saivet scores  (Low to the left, Out of box, Right footed, Free kick) 16Dwight Gayle hits the woodwork (High, 18-yard box, Big Chance, Left footed, Open play) 33Matt Ritchie hits the woodwork (To the left, Out of box, Left footed, Open play) 52Christian Atsu assists a goal (Key pass, Open play) 52GOAL! Mohamed Diamé scores , Assisted by Christian Atsu (High to the right, 18-yard box, Big Chance, Right footed, Open play) 55Robert Elliot PenaltyFaced (Saved, Diving, To the left, Penalty) 60GOAL! Christian Atsu scores , Assisted by Joselu (Low to the right, 18-yard box, Big Chance, Left footed, Fast break) 60Joselu assists a goal (Key pass, Fast break) 66Christian Atsu recieves a yellow card 75Dwight Gayle is substituted off 75Ayoze Pérez is substituted on 83Henri Saivet is substituted off 83Chancel Mbemba is substituted on 90Christian Atsu is substituted off 90Jacob Murphy is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190336/LiveStatistics/England-Premier-League-2017-2018-West-Ham-Newcastle-United","West Ham2 : 3Newcastle UnitedElapsed:FTHalf time:1 : 1Full time:2 : 3Kick off:15:00Date:Sat, 23-Dec-17","19Shots116Shots on target477%Pass Success %61%54%Aerial Duel Success46%17Dribbles won416Tackles23Possession64%36%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Robert Elliot  31,  GK     0	0	0	45.5	1	42	7.73   2 	DeAndre Yedlin  24,  DR     1	0	1	47.6	0	51	6.82  3 	Ciaran Clark  28,  DC     0	0	0	54.2	5	44	6.70  4 	Jamaal Lascelles  24,  DC     0	0	0	90	6	37	7.25  5 	Javier Manquillo  23,  DL     0	0	0	78.3	0	53	6.74  6 	Matt Ritchie  28,  MR     2	0	1	58.8	0	43	6.77   7 	Mohamed Diamé  30,  MC     2	1	0	71.4	1	33	7.44   8 	Henri Saivet (83′) 27,  MC     1	1	0	62.5	2	44	7.70    9 	Christian Atsu (90′) 26,  ML     2	2	1	84.6	0	27	7.73     10 	Joselu  27,  FW     0	0	1	42.4	13	47	8.20   11 	Dwight Gayle (75′) 27,  FW     3	0	1	77.3	3	31	7.08   12 	Chancel Mbemba (83′) 23,  Sub     0	0	0	100	0	2	6.09  13 	Ayoze Pérez (75′) 24,  Sub     0	0	0	66.7	0	7	6.07  14 	Jacob Murphy (90′) 23,  Sub     0	0	0	100	0	1	5.99  15 	Rolando Aarons  22,  Sub     0	0	0	0	0	0	-  16 	Massadio Haidara  25,  Sub     0	0	0	0	0	0	-  17 	Karl Darlow  27,  Sub     0	0	0	0	0	0	-  18 	Paul Dummett  26,  Sub     0	0	0	0	0	0	-"
"1520699340-3008","https://www.whoscored.com/Teams/23/Fixtures/England-Newcastle-United","1 : 1","https://www.whoscored.com/Matches/1190362/Live/England-Premier-League-2017-2018-Newcastle-United-Swansea","0Formation Set  4231  4231 35Mohamed Diamé blocks a shot (Last line) 63Dwight Gayle is substituted off 63Joselu is substituted on 67GOAL! Joselu scores  (Low to the left, 18-yard box, Right footed, Fast break) 81Jonjo Shelvey is substituted off 81Mikel Merino is substituted on 92DeAndre Yedlin blocks a shot (Last line)","0Formation Set  442  442 9Kyle Bartley recieves a yellow card 59GOAL! Jordan Ayew scores  (High to the right, 6-yard box, Big Chance, Head, Open play) 64Mike van der Hoorn is substituted off 64Connor Roberts is substituted on 70Oliver McBurnie is substituted off 70Wilfried Bony is substituted on 82Alfie Mawson recieves a yellow card 84Nathan Dyer is substituted off 84Luciano Narsingh is substituted on 89Jordan Ayew recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190362/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-Swansea","Newcastle United1 : 1SwanseaElapsed:FTHalf time:0 : 0Full time:1 : 1Kick off:15:00Date:Sat, 13-Jan-18","12Shots84Shots on target574%Pass Success %80%36%Aerial Duel Success64%5Dribbles won722Tackles8Possession42%58%","",""
"1520699984-3341","https://www.whoscored.com/Teams/23/Fixtures/England-Newcastle-United","3 : 0","https://www.whoscored.com/Matches/1190199/Live/England-Premier-League-2017-2018-Newcastle-United-West-Ham","0Formation Set  4231  4231 35Christian Atsu assists a goal (Key pass, Open play) 35GOAL! Joselu scores , Assisted by Christian Atsu (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 71Aleksandar Mitrovic is substituted on 71GOAL! Ciaran Clark scores , Assisted by Matt Ritchie (Low to the left, 18-yard box, Big Chance, Head, Open play) 71Joselu is substituted off 71Matt Ritchie assists a goal (Cross, Off the ground, Key pass, Open play) 81Mohamed Diamé is substituted on 81Isaac Hayden is substituted off 82Mikel Merino recieves a yellow card 85Ayoze Pérez assists a goal (Through Ball, Key pass, Open play) 85GOAL! Aleksandar Mitrovic scores , Assisted by Ayoze Pérez (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 87Jacob Murphy is substituted on 87Matt Ritchie is substituted off","0Formation Set  4231  4231 16Chicharito recieves a yellow card 45Manuel Lanzini is substituted on 45Formation Change  4231  4231 45Declan Rice is substituted off 64Edimilson Fernandes recieves a yellow card 69André Ayew is substituted off 69Diafra Sakho is substituted on 70Mark Noble is substituted off 70Cheikhou Kouyaté is substituted on 72Formation Change  4231  4231 77Diafra Sakho recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190199/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-West-Ham","Newcastle United3 : 0West HamElapsed:FTHalf time:1 : 0Full time:3 : 0Kick off:15:00Date:Sat, 26-Aug-17","17Shots88Shots on target361%Pass Success %76%61%Aerial Duel Success39%8Dribbles won814Tackles17Possession37%63%","",""
"1520699406-3056","https://www.whoscored.com/Teams/23/Fixtures/England-Newcastle-United","0 : 0","https://www.whoscored.com/Matches/1190404/Live/England-Premier-League-2017-2018-Newcastle-United-Brighton","0Formation Set  442  442 60DeAndre Yedlin recieves a yellow card 71Matt Ritchie is substituted off 71Ayoze Pérez is substituted on 73Mikel Merino recieves a yellow card 75Mikel Merino is substituted off 75Jonjo Shelvey is substituted on 83Jacob Murphy is substituted on 83Joselu is substituted off 83Formation Change  4411  4411","0Formation Set  4411  4411 61Glenn Murray is substituted off 61Tomer Hemed is substituted on 72Anthony Knockaert recieves a yellow card 90Lewis Dunk recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190404/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-Brighton","Newcastle United0 : 0BrightonElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:15:00Date:Sat, 30-Dec-17","11Shots102Shots on target370%Pass Success %78%47%Aerial Duel Success53%12Dribbles won1012Tackles13Possession45%55%","","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Mat Ryan  25,  GK     0	1	0	0	0	7.47  2 	Bruno  37,  DR     2	2	9	0	0	7.55  3 	Shane Duffy  26,  DC     0	0	7	1	1	7.51  4 	Lewis Dunk  26,  DC     3	1	10	3	2	8.19   5 	Gaëtan Bong  29,  DL     4	3	6	0	0	7.83  6 	Anthony Knockaert  26,  MR     0	0	0	0	1	6.45   7 	Davy Pröpper  26,  MC     1	2	1	0	0	6.79  8 	Dale Stephens  28,  MC     0	1	3	0	1	6.57  9 	Solly March  23,  ML     1	0	0	0	3	6.81  10 	Pascal Groß  26,  AMC     0	0	0	0	2	6.89  11 	Glenn Murray (61′) 34,  FW     2	0	0	0	0	6.30  12 	Tomer Hemed (61′) 30,  Sub     0	0	1	0	0	6.25  13 	José Izquierdo  25,  Sub     0	0	0	0	0	-  14 	Beram Kayal  29,  Sub     0	0	0	0	0	-  15 	Ezequiel Schelotto  28,  Sub     0	0	0	0	0	-  16 	Tim Krul  29,  Sub     0	0	0	0	0	-  17 	Connor Goldson  25,  Sub     0	0	0	0	0	-  18 	Sam Baldock  28,  Sub     0	0	0	0	0	-"
"1520699885-3291","https://www.whoscored.com/Teams/23/Fixtures/England-Newcastle-United","1 : 0","https://www.whoscored.com/Matches/1190213/Live/England-Premier-League-2017-2018-Brighton-Newcastle-United","0Formation Set  4411  4411 12Anthony Knockaert recieves a yellow card 50Dale Stephens assists a goal (Headed, Key pass, Set piece) 50GOAL! Tomer Hemed scores , Assisted by Dale Stephens (High to the centre, 6-yard box, Right footed, Set piece) 76Shane Duffy recieves a yellow card 80Anthony Knockaert is substituted off 80Jamie Murphy is substituted on","0Formation Set  4231  4231 67Isaac Hayden is substituted off 67Jonjo Shelvey is substituted on 67Formation Change  4231  4231 70Joselu is substituted off 70Dwight Gayle is substituted on 82Chancel Mbemba is substituted off 82Jesús Gámez is substituted on 92Jamaal Lascelles recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190213/LiveStatistics/England-Premier-League-2017-2018-Brighton-Newcastle-United","Brighton1 : 0Newcastle UnitedElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:16:00Date:Sun, 24-Sep-17","7Shots173Shots on target576%Pass Success %80%61%Aerial Duel Success39%6Dribbles won1116Tackles14Possession49%51%","",""
