web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520701149-3871","https://www.whoscored.com/Teams/18/Fixtures/England-Southampton","0 : 0","https://www.whoscored.com/Matches/1190193/Live/England-Premier-League-2017-2018-Huddersfield-Southampton","0Formation Set  4231  4231 55Rajiv van La Parra is substituted off 55Kasey Palmer is substituted on 55Formation Change  4231  4231 60Philip Billing is substituted off 60Danny Williams is substituted on 74Formation Change  4411  4411 87Elias Kachunga is substituted off 87Collin Quaner is substituted on 90Tommy Smith blocks a shot (Last line)","0Formation Set  4231  4231 45Oriol Romeu recieves a yellow card 63Shane Long is substituted on 63Formation Change  442  442 63Mario Lemina is substituted off 70Manolo Gabbiadini is substituted off 70Formation Change  4231  4231 70James Ward-Prowse is substituted on 73Dusan Tadic is substituted off 73Sam McQueen is substituted on 73Formation Change  4231  4231","Player Statistics","https://www.whoscored.com/Matches/1190193/LiveStatistics/England-Premier-League-2017-2018-Huddersfield-Southampton","Huddersfield0 : 0SouthamptonElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:15:00Date:Sat, 26-Aug-17","16Shots66Shots on target369%Pass Success %76%58%Aerial Duel Success42%8Dribbles won917Tackles16Possession45%55%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Fraser Forster  29,  GK     0	0	0	50	0	34	7.57  2 	Cédric Soares  26,  DR     0	0	0	70.3	2	65	6.93  3 	Maya Yoshida  29,  DC     0	0	0	80.9	5	83	6.84  4 	Jack Stephens  24,  DC     0	0	0	73.3	0	74	7.08  5 	Ryan Bertrand  28,  DL     1	1	0	77.5	2	70	6.76  6 	Mario Lemina (63′) 24,  DMC     1	0	1	95.2	1	54	6.76  7 	Oriol Romeu  26,  DMC     0	0	0	72.5	4	82	6.89   8 	Dusan Tadic (73′) 29,  AMR     0	0	0	78.8	1	43	6.43  9 	Steven Davis  33,  AMC     0	0	1	82.1	0	91	7.00  10 	Nathan Redmond  24,  AML     3	1	1	86.2	0	51	7.20  11 	Manolo Gabbiadini (70′) 26,  FW     1	1	1	40	1	22	6.66  12 	Shane Long (63′) 31,  Sub     0	0	2	83.3	2	13	6.69  13 	Sam McQueen (73′) 23,  Sub     0	0	0	50	0	6	5.88  14 	James Ward-Prowse (70′) 23,  Sub     0	0	0	58.3	0	16	6.00  15 	Sofiane Boufal  24,  Sub     0	0	0	0	0	0	-  16 	Wesley Hoedt  24,  Sub     0	0	0	0	0	0	-  17 	Charlie Austin  28,  Sub     0	0	0	0	0	0	-  18 	Alex McCarthy  28,  Sub     0	0	0	0	0	0	-"
"1520700862-3727","https://www.whoscored.com/Teams/18/Fixtures/England-Southampton","3 : 0","https://www.whoscored.com/Matches/1190284/Live/England-Premier-League-2017-2018-Liverpool-Southampton","0Formation Set  433  433 30Georginio Wijnaldum assists a goal (Key pass, Open play) 30GOAL! Mohamed Salah scores , Assisted by Georginio Wijnaldum (High to the left, Out of box, Left footed, Open play) 40GOAL! Mohamed Salah scores , Assisted by Philippe Coutinho (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 40Philippe Coutinho assists a goal (Through Ball, Key pass, Open play) 42Dejan Lovren recieves a yellow card 67GOAL! Philippe Coutinho scores  (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 68Emre Can is substituted on 68Philippe Coutinho is substituted off 73Alex Oxlade-Chamberlain is substituted on 73Sadio Mané is substituted off 79Mohamed Salah is substituted off 79James Milner is substituted on 85Formation Change  433  433","0Formation Set  4231  4231 30Dusan Tadic commits an error (Leading to goal) 54Charlie Austin is substituted on 54Dusan Tadic is substituted off 54Formation Change  4231  4231 60Oriol Romeu recieves a yellow card 68James Ward-Prowse is substituted on 68Sofiane Boufal is substituted off 78Shane Long is substituted off 78Manolo Gabbiadini is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190284/LiveStatistics/England-Premier-League-2017-2018-Liverpool-Southampton","Liverpool3 : 0SouthamptonElapsed:FTHalf time:2 : 0Full time:3 : 0Kick off:15:00Date:Sat, 18-Nov-17","21Shots58Shots on target084%Pass Success %71%38%Aerial Duel Success62%15Dribbles won311Tackles26Possession61%39%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Fraser Forster  29,  GK     0	0	0	34.5	0	37	6.26  2 	Cédric Soares  26,  DR     0	0	0	78.8	2	62	6.71  3 	Virgil van Dijk  26,  DC     1	0	0	86.4	5	63	6.63  4 	Wesley Hoedt  24,  DC     0	0	1	80.9	4	62	6.85  5 	Ryan Bertrand  28,  DL     1	0	0	66.7	2	56	6.53  6 	Oriol Romeu  26,  DMC     0	0	0	79.5	2	49	6.25   7 	Steven Davis  33,  DMC     0	0	0	76.9	0	57	6.28  8 	Dusan Tadic (54′) 29,  AMR     0	0	2	80	0	31	5.40   9 	Sofiane Boufal (68′) 24,  AMC     2	0	0	83.3	0	35	5.74  10 	Nathan Redmond  24,  AML     0	0	0	56.3	0	46	6.23  11 	Shane Long (78′) 31,  FW     0	0	0	80	1	23	6.49  12 	Manolo Gabbiadini (78′) 26,  Sub     0	0	0	50	0	4	5.99  13 	James Ward-Prowse (68′) 23,  Sub     0	0	1	16.7	0	13	6.39  14 	Charlie Austin (54′) 28,  Sub     1	0	0	72.7	2	14	5.80  15 	Pierre-Emile Højbjerg  22,  Sub     0	0	0	0	0	0	-  16 	Maya Yoshida  29,  Sub     0	0	0	0	0	0	-  17 	Matt Targett  22,  Sub     0	0	0	0	0	0	-  18 	Alex McCarthy  28,  Sub     0	0	0	0	0	0	-"
"1520701029-3807","https://www.whoscored.com/Teams/18/Fixtures/England-Southampton","2 : 1","https://www.whoscored.com/Matches/1190263/Live/England-Premier-League-2017-2018-Stoke-Southampton","0Formation Set  3421  3421 29Joe Allen recieves a yellow card 39GOAL! Mame Biram Diouf scores , Assisted by Xherdan Shaqiri (Low to the centre, 18-yard box, Big Chance, Head, From corner) 39Xherdan Shaqiri assists a goal (Cross, Off the ground, Corner, Key pass, From corner) 42Saido Berahino has attempt saved (Low to the right, 18-yard box, Big Chance, Penalty, Right footed)  45Formation Change  3421  3421 69Saido Berahino is substituted off 69Peter Crouch is substituted on 84Eric Maxim Choupo-Moting has shot blocked (6-yard box, Key pass, Right footed, Open play) 84GOAL! Peter Crouch scores , Assisted by Eric Maxim Choupo-Moting (Low to the left, 6-yard box, Big Chance, Left footed, Open play) 86Xherdan Shaqiri is substituted off 86Ibrahim Afellay is substituted on 92Mame Biram Diouf is substituted off 92Glen Johnson is substituted on","0Formation Set  4231  4231 42Fraser Forster PenaltyFaced (Diving, Saved, To the left, Penalty) 51Dusan Tadic recieves a yellow card 55Oriol Romeu recieves a yellow card 60Sofiane Boufal is substituted on 60Formation Change  4231  4231 60Steven Davis is substituted off 66Nathan Redmond is substituted off 66Manolo Gabbiadini is substituted on 66Formation Change  4222  4222 74Shane Long assists a goal (Key pass, From corner) 74GOAL! Maya Yoshida scores , Assisted by Shane Long (High to the centre, 18-yard box, Right footed, From corner) 84Cédric Soares commits an error (Leading to goal) 85Mario Lemina is substituted off 85Charlie Austin is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190263/LiveStatistics/England-Premier-League-2017-2018-Stoke-Southampton","Stoke2 : 1SouthamptonElapsed:FTHalf time:1 : 0Full time:2 : 1Kick off:15:00Date:Sat, 30-Sep-17","17Shots216Shots on target364%Pass Success %86%58%Aerial Duel Success42%4Dribbles won1514Tackles14Possession29%71%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Fraser Forster  29,  GK     0	0	0	50	0	24	7.70   2 	Cédric Soares  26,  DR     3	0	3	83.1	0	97	6.00   3 	Maya Yoshida  29,  DC     2	1	1	85.3	0	85	7.29   4 	Virgil van Dijk  26,  DC     3	0	0	86.3	11	100	7.60  5 	Ryan Bertrand  28,  DL     0	0	1	86.4	2	87	6.36  6 	Mario Lemina (85′) 24,  DMC     2	0	1	95.7	1	86	7.16  7 	Oriol Romeu  26,  DMC     0	0	2	88.9	3	125	7.06   8 	Dusan Tadic  29,  AMR     2	0	2	80.9	0	75	7.77   9 	Steven Davis (60′) 33,  AMC     0	0	0	89.3	0	34	6.04  10 	Nathan Redmond (66′) 24,  AML     2	0	1	86.1	0	46	6.33  11 	Shane Long  31,  FW     5	2	2	70	4	35	7.07   12 	Manolo Gabbiadini (66′) 26,  Sub     1	0	1	100	0	7	6.05  13 	Sofiane Boufal (60′) 24,  Sub     0	0	4	85	0	30	6.51  14 	Charlie Austin (85′) 28,  Sub     1	0	1	100	0	7	5.98  15 	Pierre-Emile Højbjerg  22,  Sub     0	0	0	0	0	0	-  16 	Wesley Hoedt  24,  Sub     0	0	0	0	0	0	-  17 	James Ward-Prowse  23,  Sub     0	0	0	0	0	0	-  18 	Alex McCarthy  28,  Sub     0	0	0	0	0	0	-"
"1520701029-3802","https://www.whoscored.com/Teams/18/Fixtures/England-Southampton","2 : 1","https://www.whoscored.com/Matches/1190263/Live/England-Premier-League-2017-2018-Stoke-Southampton","0Formation Set  3421  3421 29Joe Allen recieves a yellow card 39GOAL! Mame Biram Diouf scores , Assisted by Xherdan Shaqiri (Low to the centre, 18-yard box, Big Chance, Head, From corner) 39Xherdan Shaqiri assists a goal (Cross, Off the ground, Corner, Key pass, From corner) 42Saido Berahino has attempt saved (Low to the right, 18-yard box, Big Chance, Penalty, Right footed)  45Formation Change  3421  3421 69Saido Berahino is substituted off 69Peter Crouch is substituted on 84Eric Maxim Choupo-Moting has shot blocked (6-yard box, Key pass, Right footed, Open play) 84GOAL! Peter Crouch scores , Assisted by Eric Maxim Choupo-Moting (Low to the left, 6-yard box, Big Chance, Left footed, Open play) 86Xherdan Shaqiri is substituted off 86Ibrahim Afellay is substituted on 92Mame Biram Diouf is substituted off 92Glen Johnson is substituted on","0Formation Set  4231  4231 42Fraser Forster PenaltyFaced (Diving, Saved, To the left, Penalty) 51Dusan Tadic recieves a yellow card 55Oriol Romeu recieves a yellow card 60Sofiane Boufal is substituted on 60Formation Change  4231  4231 60Steven Davis is substituted off 66Nathan Redmond is substituted off 66Manolo Gabbiadini is substituted on 66Formation Change  4222  4222 74Shane Long assists a goal (Key pass, From corner) 74GOAL! Maya Yoshida scores , Assisted by Shane Long (High to the centre, 18-yard box, Right footed, From corner) 84Cédric Soares commits an error (Leading to goal) 85Mario Lemina is substituted off 85Charlie Austin is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190263/LiveStatistics/England-Premier-League-2017-2018-Stoke-Southampton","Stoke2 : 1SouthamptonElapsed:FTHalf time:1 : 0Full time:2 : 1Kick off:15:00Date:Sat, 30-Sep-17","17Shots216Shots on target364%Pass Success %86%58%Aerial Duel Success42%4Dribbles won1514Tackles14Possession29%71%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Jack Butland  25,  GK     0	31	32.3	0	0	28	8	0	0	6.67  2 	Kevin Wimmer  25,  DC     0	17	76.5	0	0	3	2	0	0	6.26  3 	Kurt Zouma  23,  DC     0	13	76.9	0	0	1	1	0	0	7.58  4 	Geoff Cameron  32,  DC     1	28	67.9	0	0	7	2	0	0	7.80  5 	Mame Biram Diouf (92′) 30,  DMR     0	20	60	0	0	0	0	0	0	8.05   6 	Erik Pieters  29,  DML     1	25	64	3	1	4	2	0	0	7.12  7 	Darren Fletcher  34,  MC     1	25	64	0	0	7	5	0	0	6.76  8 	Joe Allen  27,  MC     0	32	81.3	0	0	2	2	0	0	6.98   9 	Eric Maxim Choupo-Moting  28,  AMC     1	22	72.7	0	0	2	0	0	0	7.15   10 	Xherdan Shaqiri (86′) 26,  AMC     5	29	75.9	7	2	2	1	0	0	7.39   11 	Saido Berahino (69′) 24,  FW     0	12	66.7	0	0	0	0	0	0	5.98   12 	Ibrahim Afellay (86′) 31,  Sub     0	2	0	0	0	1	0	0	0	5.99  13 	Peter Crouch (69′) 37,  Sub     0	6	50	0	0	0	0	0	0	6.56   14 	Glen Johnson (92′) 33,  Sub     0	0	0	0	0	0	0	0	0	5.97  15 	Ramadan Sobhi  21,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Josh Tymon  18,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Lee Grant  35,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Charlie Adam  32,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520700516-3561","https://www.whoscored.com/Teams/18/Fixtures/England-Southampton","1 : 2","https://www.whoscored.com/Matches/1190444/Live/England-Premier-League-2017-2018-Southampton-Crystal-Palace","0Formation Set  4231  4231 16Jérémy Pied assists a goal (Key pass, Open play) 16GOAL! Shane Long scores , Assisted by Jérémy Pied (Low to the right, 18-yard box, Right footed, Open play) 69Steven Davis is substituted on 69Formation Change  4231  4231 69James Ward-Prowse is substituted off 74Manolo Gabbiadini is substituted on 74Pierre-Emile Højbjerg is substituted off 78Nathan Redmond is substituted on 78Dusan Tadic is substituted off 79Formation Change  442  442","0Formation Set  4231  4231 45Yohan Cabaye is substituted off 45Formation Change  442  442 45Patrick van Aanholt is substituted on 56Timothy Fosu-Mensah recieves a yellow card 63Jeffrey Schlupp is substituted off 63Bakary Sako is substituted on 63Formation Change  442  442 68Christian Benteke assists a goal (Headed, Key pass, Set piece) 68GOAL! James McArthur scores , Assisted by Christian Benteke (High to the centre, 6-yard box, Big Chance, Left footed, Set piece) 79Andros Townsend assists a goal (Key pass, Open play) 79GOAL! Luka Milivojevic scores , Assisted by Andros Townsend (Low to the left, Out of box, Right footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190444/LiveStatistics/England-Premier-League-2017-2018-Southampton-Crystal-Palace","Southampton1 : 2Crystal PalaceElapsed:FTHalf time:1 : 0Full time:1 : 2Kick off:19:45Date:Tue, 02-Jan-18","10Shots113Shots on target479%Pass Success %69%41%Aerial Duel Success59%9Dribbles won1526Tackles15Possession61%39%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Alex McCarthy  28,  GK     0	0	0	0	0	0	0	0	6.12  2 	Jérémy Pied  29,  DR     0	0	1	0	2	0	0	1	7.20   3 	Maya Yoshida  29,  DC     0	0	0	1	0	0	0	0	6.65  4 	Jack Stephens  24,  DC     0	0	0	1	0	0	0	0	5.88  5 	Ryan Bertrand  28,  DL     0	0	1	2	2	0	0	2	7.10  6 	Pierre-Emile Højbjerg (74′) 22,  DMC     1	1	0	1	0	0	2	0	6.86  7 	Oriol Romeu  26,  DMC     2	0	1	1	2	0	0	1	7.19  8 	James Ward-Prowse (69′) 23,  AMR     0	0	0	0	0	0	0	2	6.58  9 	Dusan Tadic (78′) 29,  AMC     2	0	2	1	2	0	2	3	6.67  10 	Sofiane Boufal  24,  AML     2	1	2	2	1	1	3	3	6.84  11 	Shane Long  31,  FW     3	1	0	0	2	0	3	6	7.49   12 	Manolo Gabbiadini (74′) 26,  Sub     0	0	0	0	0	0	0	0	5.84  13 	Nathan Redmond (78′) 24,  Sub     0	0	0	0	0	0	0	0	5.90  14 	Steven Davis (69′) 33,  Sub     0	0	0	0	0	0	1	1	5.87  15 	Mario Lemina  24,  Sub     0	0	0	0	0	0	0	0	-  16 	Jan Bednarek  21,  Sub     0	0	0	0	0	0	0	0	-  17 	Matt Targett  22,  Sub     0	0	0	0	0	0	0	0	-  18 	Fraser Forster  29,  Sub     0	0	0	0	0	0	0	0	-",""
"1520700830-3700","https://www.whoscored.com/Teams/18/Fixtures/England-Southampton","4 : 1","https://www.whoscored.com/Matches/1190322/Live/England-Premier-League-2017-2018-Southampton-Everton","0Formation Set  4231  4231 10Charlie Austin hits the woodwork (To the right, 18-yard box, Big Chance, Right footed, Open play) 17GOAL! Dusan Tadic scores , Assisted by Ryan Bertrand (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 17Ryan Bertrand assists a goal (Through Ball, Key pass, Open play) 51GOAL! Charlie Austin scores , Assisted by Ryan Bertrand (High to the centre, 6-yard box, Head, Open play) 51Ryan Bertrand assists a goal (Off the ground, Cross, Key pass, Open play) 57Dusan Tadic assists a goal (Cross, Off the ground, Key pass, Open play) 57GOAL! Charlie Austin scores , Assisted by Dusan Tadic (Low to the right, 6-yard box, Big Chance, Head, Open play) 77Mario Lemina is substituted on 77Formation Change  4231  4231 77Dusan Tadic is substituted off 79Shane Long is substituted on 79Charlie Austin is substituted off 85Sofiane Boufal is substituted off 85Maya Yoshida is substituted on 85Formation Change  541  541 86James Ward-Prowse assists a goal (Key pass, Open play) 86GOAL! Steven Davis scores , Assisted by James Ward-Prowse (Low to the left, Out of box, Right footed, Open play)","0Formation Set  442  442 26Leighton Baines is substituted off 26Ashley Williams is substituted on 29Formation Change  3421  3421 44Dominic Calvert-Lewin assists a goal (Key pass, Open play) 44GOAL! Gylfi Sigurdsson scores , Assisted by Dominic Calvert-Lewin (Low to the right, Out of box, Right footed, Open play) 63Ademola Lookman is substituted on 63Kevin Mirallas is substituted off 74Michael Keane is substituted off 74Nikola Vlasic is substituted on 74Formation Change  4411  4411","Player Statistics","https://www.whoscored.com/Matches/1190322/LiveStatistics/England-Premier-League-2017-2018-Southampton-Everton","Southampton4 : 1EvertonElapsed:FTHalf time:1 : 1Full time:4 : 1Kick off:13:30Date:Sun, 26-Nov-17","17Shots55Shots on target285%Pass Success %70%52%Aerial Duel Success48%8Dribbles won419Tackles12Possession67%33%","",""
"1520700283-3433","https://www.whoscored.com/Teams/18/Fixtures/England-Southampton","1 : 1","https://www.whoscored.com/Matches/1190431/Live/England-Premier-League-2017-2018-Burnley-Southampton","0Formation Set  4411  4411 11Ben Mee blocks a shot (Last line) 66Jeff Hendrick has shot blocked (18-yard box, Big Chance, Key pass, Head, Open play) 66GOAL! Ashley Barnes scores , Assisted by Jeff Hendrick (Low to the centre, 6-yard box, Big Chance, Head, Open play) 90Ashley Barnes recieves a yellow card","0Formation Set  4231  4231 67James Ward-Prowse is substituted off 67Josh Sims is substituted on 74Oriol Romeu is substituted off 74Sofiane Boufal is substituted on 80Manolo Gabbiadini is substituted on 80Dusan Tadic is substituted off 89Guido Carrillo assists a goal (Headed, Key pass, Open play) 89GOAL! Manolo Gabbiadini scores , Assisted by Guido Carrillo (High to the centre, 18-yard box, Left footed, Open play) 91Formation Change  41212  41212","Player Statistics","https://www.whoscored.com/Matches/1190431/LiveStatistics/England-Premier-League-2017-2018-Burnley-Southampton","Burnley1 : 1SouthamptonElapsed:FTHalf time:0 : 0Full time:1 : 1Kick off:15:00Date:Sat, 24-Feb-18","9Shots133Shots on target670%Pass Success %66%56%Aerial Duel Success44%6Dribbles won98Tackles23Possession50%50%","",""
"1520700283-3430","https://www.whoscored.com/Teams/18/Fixtures/England-Southampton","1 : 1","https://www.whoscored.com/Matches/1190431/Live/England-Premier-League-2017-2018-Burnley-Southampton","0Formation Set  4411  4411 11Ben Mee blocks a shot (Last line) 66Jeff Hendrick has shot blocked (18-yard box, Big Chance, Key pass, Head, Open play) 66GOAL! Ashley Barnes scores , Assisted by Jeff Hendrick (Low to the centre, 6-yard box, Big Chance, Head, Open play) 90Ashley Barnes recieves a yellow card","0Formation Set  4231  4231 67James Ward-Prowse is substituted off 67Josh Sims is substituted on 74Oriol Romeu is substituted off 74Sofiane Boufal is substituted on 80Manolo Gabbiadini is substituted on 80Dusan Tadic is substituted off 89Guido Carrillo assists a goal (Headed, Key pass, Open play) 89GOAL! Manolo Gabbiadini scores , Assisted by Guido Carrillo (High to the centre, 18-yard box, Left footed, Open play) 91Formation Change  41212  41212","Player Statistics","https://www.whoscored.com/Matches/1190431/LiveStatistics/England-Premier-League-2017-2018-Burnley-Southampton","Burnley1 : 1SouthamptonElapsed:FTHalf time:0 : 0Full time:1 : 1Kick off:15:00Date:Sat, 24-Feb-18","9Shots133Shots on target670%Pass Success %66%56%Aerial Duel Success44%6Dribbles won98Tackles23Possession50%50%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Nick Pope  25,  GK     1	27	63	0	0	26	16	0	0	6.91  2 	Matthew Lowton  28,  DR     0	41	68.3	2	1	13	6	0	0	6.76  3 	Kevin Long  27,  DC     0	35	68.6	0	0	9	6	0	0	7.38  4 	Ben Mee  28,  DC     0	47	68.1	0	0	19	10	0	0	7.36   5 	Stephen Ward  32,  DL     1	36	69.4	4	1	13	3	0	0	7.08  6 	Johann Berg Gudmundsson  27,  MR     0	28	64.3	12	0	5	2	1	0	6.76  7 	Ashley Westwood  27,  MC     1	47	83	3	1	9	3	0	0	6.51  8 	Jack Cork  28,  MC     0	37	70.3	1	0	3	1	0	0	6.71  9 	Aaron Lennon  30,  ML     1	19	63.2	3	1	1	0	0	0	6.22  10 	Jeff Hendrick  26,  AMC     2	32	75	0	0	2	0	0	0	6.82   11 	Ashley Barnes  28,  FW     1	22	59.1	1	0	0	0	0	0	6.90    12 	Anders Lindegaard  33,  Sub     0	0	0	0	0	0	0	0	0	-  13 	Georges-Kévin Nkoudou  23,  Sub     0	0	0	0	0	0	0	0	0	-  14 	Chris Wood  26,  Sub     0	0	0	0	0	0	0	0	0	-  15 	Charlie Taylor  24,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Dean Marney  34,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Phil Bardsley  32,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Sam Vokes  28,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520700435-3509","https://www.whoscored.com/Teams/18/Fixtures/England-Southampton","1 : 1","https://www.whoscored.com/Matches/1190402/Live/England-Premier-League-2017-2018-Southampton-Tottenham","0Formation Set  4231  4231 14Davinson Sánchez scores an OWN GOAL!  (Low to the left, 6-yard box, Right footed, Open play) 47Jack Stephens recieves a yellow card 59Oriol Romeu recieves a yellow card 64Sofiane Boufal is substituted on 64Pierre-Emile Højbjerg is substituted off 70Formation Change  4231  4231 79Mario Lemina is substituted off 79Steven Davis is substituted on 81Manolo Gabbiadini is substituted off 81Michael Obafemi is substituted on 83Jack Stephens tackles but does not win possession (Last line)","0Formation Set  4231  4231 16Eric Dier hits the woodwork (To the right, 18-yard box, Right footed, From corner) 17GOAL! Harry Kane scores , Assisted by Ben Davies (Low to the centre, 6-yard box, Big Chance, Head, From corner) 17Ben Davies assists a goal (Corner, Long Ball, Off the ground, Cross, Key pass, From corner) 56Moussa Sissoko recieves a yellow card 69Son Heung-Min is substituted off 69Erik Lamela is substituted on 71Serge Aurier is substituted off 71Kieran Trippier is substituted on 74Mousa Dembélé recieves a yellow card 77Kieran Trippier recieves a yellow card 84Mousa Dembélé is substituted off 84Victor Wanyama is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190402/LiveStatistics/England-Premier-League-2017-2018-Southampton-Tottenham","Southampton1 : 1TottenhamElapsed:FTHalf time:1 : 1Full time:1 : 1Kick off:16:00Date:Sun, 21-Jan-18","10Shots174Shots on target268%Pass Success %83%38%Aerial Duel Success62%10Dribbles won721Tackles16Possession41%59%","",""
"1520700606-3615","https://www.whoscored.com/Teams/18/Fixtures/England-Southampton","1 : 1","https://www.whoscored.com/Matches/1190543/Live/England-Premier-League-2017-2018-Southampton-Huddersfield","0Formation Set  4231  4231 23Wesley Hoedt misses attempt (To the left, 18-yard box, Key pass, Head, From corner) 23GOAL! Charlie Austin scores , Assisted by Wesley Hoedt (Low to the left, 6-yard box, Big Chance, Head, From corner) 53Wesley Hoedt recieves a yellow card 71Steven Davis is substituted off 71Pierre-Emile Højbjerg is substituted on 71Dusan Tadic is substituted off 71Formation Change  4231  4231 71Sofiane Boufal is substituted on 78Charlie Austin is substituted off 78Manolo Gabbiadini is substituted on 90Maya Yoshida hits the woodwork (To the right, 18-yard box, Big Chance, Head, Set piece) 96Nathan Redmond recieves a yellow card","0Formation Set  4231  4231 14Christopher Schindler hits the woodwork (High, 18-yard box, Head, Set piece) 60Joe Lolley is substituted on 60Florent Hadergjonaj is substituted off 60Tommy Smith is substituted on 60Rajiv van La Parra is substituted off 63GOAL! Laurent Depoitre scores , Assisted by Tommy Smith (Low to the left, 6-yard box, Big Chance, Head, Open play) 63Tommy Smith assists a goal (Off the ground, Cross, Key pass, Open play) 81Laurent Depoitre is substituted off 81Steve Mounie is substituted on 96Collin Quaner recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190543/LiveStatistics/England-Premier-League-2017-2018-Southampton-Huddersfield","Southampton1 : 1HuddersfieldElapsed:FTHalf time:1 : 0Full time:1 : 1Kick off:15:00Date:Sat, 23-Dec-17","12Shots106Shots on target270%Pass Success %64%54%Aerial Duel Success46%8Dribbles won1014Tackles17Possession53%47%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Jonas Lössl  29,  GK     0	0	0	45.7	1	49	6.60  2 	Florent Hadergjonaj (60′) 23,  DR     0	0	2	43.5	1	44	6.72  3 	Zanka  27,  DC     0	0	0	68	3	64	7.20  4 	Christopher Schindler  27,  DC     2	0	0	79.1	4	55	7.06   5 	Scott Malone  26,  DL     1	1	0	67.7	0	63	6.77  6 	Aaron Mooy  27,  DMC     3	0	0	70.7	0	57	6.41  7 	Danny Williams  29,  DMC     0	0	0	67.7	0	44	6.61  8 	Collin Quaner  26,  AMR     1	0	1	66.7	0	51	7.10   9 	Tom Ince  26,  AMC     0	0	0	66.7	0	27	6.03  10 	Rajiv van La Parra (60′) 26,  AML     2	0	0	50	0	22	6.12  11 	Laurent Depoitre (81′) 29,  FW     1	1	1	52	9	40	7.88   12 	Steve Mounie (81′) 23,  Sub     0	0	0	66.7	0	8	6.03  13 	Joe Lolley (60′) 25,  Sub     0	0	1	87.5	0	17	6.58  14 	Tommy Smith (60′) 25,  Sub     0	0	1	75	1	17	6.93   15 	Chris Löwe  28,  Sub     0	0	0	0	0	0	-  16 	Martin Cranie  31,  Sub     0	0	0	0	0	0	-  17 	Dean Whitehead  36,  Sub     0	0	0	0	0	0	-  18 	Joel Coleman  22,  Sub     0	0	0	0	0	0	-"
