web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520722037-4461","https://www.whoscored.com/Teams/96/Fixtures/England-Stoke","0 : 0","https://www.whoscored.com/Matches/1190357/Live/England-Premier-League-2017-2018-Southampton-Stoke","0Formation Set  4231  4231 63Dusan Tadic is substituted off 63Manolo Gabbiadini is substituted on 75Josh Sims is substituted off 75Sofiane Boufal is substituted on 78Guido Carrillo is substituted off 78Shane Long is substituted on 89Formation Change  442  442","0Formation Set  4141  4141 22Mame Biram Diouf is substituted off 22Erik Pieters is substituted on 22Formation Change  4141  4141 40Geoff Cameron recieves a yellow card 45Peter Crouch is substituted on 45Konstantinos Stafylidis is substituted off 45Formation Change  4141  4141 63Eric Maxim Choupo-Moting is substituted off 63Jesé is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190357/LiveStatistics/England-Premier-League-2017-2018-Southampton-Stoke","Southampton0 : 0StokeElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:15:00Date:Sat, 03-Mar-18","18Shots126Shots on target378%Pass Success %67%36%Aerial Duel Success64%17Dribbles won818Tackles13Possession65%35%","",""
"1520722542-4663","https://www.whoscored.com/Teams/96/Fixtures/England-Stoke","5 : 1","https://www.whoscored.com/Matches/1190321/Live/England-Premier-League-2017-2018-Tottenham-Stoke","0Formation Set  4231  4231 20Ryan Shawcross scores an OWN GOAL!  (Low to the centre, 6-yard box, Other body part, Open play) 52Dele Alli assists a goal (Through Ball, Key pass, Open play) 52GOAL! Son Heung-Min scores , Assisted by Dele Alli (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 53GOAL! Harry Kane scores , Assisted by Ben Davies (Low to the right, 18-yard box, Big Chance, Head, From corner) 53Ben Davies assists a goal (Cross, Off the ground, Key pass, From corner) 64GOAL! Harry Kane scores  (Low to the left, Out of box, Left footed, Open play) 65Mousa Dembélé recieves a yellow card 66Dele Alli is substituted off 66Erik Lamela is substituted on 73Son Heung-Min assists a goal (Through Ball, Key pass, Fast break) 73GOAL! Christian Eriksen scores , Assisted by Son Heung-Min (Low to the right, 18-yard box, Big Chance, Left footed, Fast break) 77Harry Winks is substituted off 77Moussa Sissoko is substituted on 80Hugo Lloris commits an error (Leading to goal) 84Formation Change  4231  4231 85Son Heung-Min is substituted off 85Fernando Llorente is substituted on","0Formation Set  343  343 69Thomas Edwards is substituted off 69Formation Change  343  343 69Peter Crouch is substituted on 74Geoff Cameron is substituted on 74Xherdan Shaqiri is substituted off 75Formation Change  4141  4141 79Ibrahim Afellay is substituted on 79Darren Fletcher assists a goal (Cross, Corner, Off the ground, Long Ball, Key pass, From corner) 79GOAL! Ryan Shawcross scores , Assisted by Darren Fletcher (Low to the right, 18-yard box, Big Chance, Head, From corner) 79Joe Allen is substituted off 87Formation Change  451  451","Player Statistics","https://www.whoscored.com/Matches/1190321/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Stoke","Tottenham5 : 1StokeElapsed:FTHalf time:1 : 0Full time:5 : 1Kick off:15:00Date:Sat, 09-Dec-17","20Shots411Shots on target388%Pass Success %63%47%Aerial Duel Success53%5Dribbles won618Tackles17Possession71%29%","",""
"1520723781-4815","https://www.whoscored.com/Teams/96/Fixtures/England-Stoke","2 : 1","https://www.whoscored.com/Matches/1190263/Live/England-Premier-League-2017-2018-Stoke-Southampton","0Formation Set  3421  3421 29Joe Allen recieves a yellow card 39GOAL! Mame Biram Diouf scores , Assisted by Xherdan Shaqiri (Low to the centre, 18-yard box, Big Chance, Head, From corner) 39Xherdan Shaqiri assists a goal (Cross, Off the ground, Corner, Key pass, From corner) 42Saido Berahino has attempt saved (Low to the right, 18-yard box, Big Chance, Penalty, Right footed)  45Formation Change  3421  3421 69Saido Berahino is substituted off 69Peter Crouch is substituted on 84Eric Maxim Choupo-Moting has shot blocked (6-yard box, Key pass, Right footed, Open play) 84GOAL! Peter Crouch scores , Assisted by Eric Maxim Choupo-Moting (Low to the left, 6-yard box, Big Chance, Left footed, Open play) 86Xherdan Shaqiri is substituted off 86Ibrahim Afellay is substituted on 92Mame Biram Diouf is substituted off 92Glen Johnson is substituted on","0Formation Set  4231  4231 42Fraser Forster PenaltyFaced (Diving, Saved, To the left, Penalty) 51Dusan Tadic recieves a yellow card 55Oriol Romeu recieves a yellow card 60Sofiane Boufal is substituted on 60Formation Change  4231  4231 60Steven Davis is substituted off 66Nathan Redmond is substituted off 66Manolo Gabbiadini is substituted on 66Formation Change  4222  4222 74Shane Long assists a goal (Key pass, From corner) 74GOAL! Maya Yoshida scores , Assisted by Shane Long (High to the centre, 18-yard box, Right footed, From corner) 84Cédric Soares commits an error (Leading to goal) 85Mario Lemina is substituted off 85Charlie Austin is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190263/LiveStatistics/England-Premier-League-2017-2018-Stoke-Southampton","Stoke2 : 1SouthamptonElapsed:FTHalf time:1 : 0Full time:2 : 1Kick off:15:00Date:Sat, 30-Sep-17","17Shots216Shots on target364%Pass Success %86%58%Aerial Duel Success42%4Dribbles won1514Tackles14Possession29%71%","",""
"1520723918-4831","https://www.whoscored.com/Teams/96/Fixtures/England-Stoke","0 : 4","https://www.whoscored.com/Matches/1190243/Live/England-Premier-League-2017-2018-Stoke-Chelsea","0Formation Set  343  343 29Darren Fletcher commits an error (Leading to goal) 48Xherdan Shaqiri recieves a yellow card 60Jesé is substituted off 60Peter Crouch is substituted on 75Bruno Martins Indi is substituted off 75Ibrahim Afellay is substituted on 82Formation Change  343  343 88Peter Crouch recieves a yellow card","0Formation Set  3421  3421 1César Azpilicueta assists a goal (Through Ball, Off the ground, Long Ball, Key pass, Open play) 1GOAL! Álvaro Morata scores , Assisted by César Azpilicueta (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 29GOAL! Pedro scores  (Low to the left, Out of box, Right footed, Open play) 50Marcos Alonso recieves a yellow card 56N'Golo Kanté recieves a yellow card 58Marcos Alonso is substituted off 58Gary Cahill is substituted on 67Cesc Fàbregas is substituted on 67Pedro is substituted off 71Willian is substituted off 71Formation Change  3511  3511 71Eden Hazard is substituted on 76Tiemoué Bakayoko blocks a pass (Key pass) 76GOAL! Álvaro Morata scores , Assisted by Tiemoué Bakayoko (Low to the centre, 6-yard box, Right footed, Open play) 81César Azpilicueta assists a goal (Key pass, Open play) 81GOAL! Álvaro Morata scores , Assisted by César Azpilicueta (Low to the right, 6-yard box, Big Chance, Right footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190243/LiveStatistics/England-Premier-League-2017-2018-Stoke-Chelsea","Stoke0 : 4ChelseaElapsed:FTHalf time:0 : 2Full time:0 : 4Kick off:15:00Date:Sat, 23-Sep-17","13Shots72Shots on target477%Pass Success %85%39%Aerial Duel Success61%3Dribbles won1418Tackles26Possession44%56%","",""
"1520722346-4627","https://www.whoscored.com/Teams/96/Fixtures/England-Stoke","3 : 1","https://www.whoscored.com/Matches/1190545/Live/England-Premier-League-2017-2018-Stoke-West-Bromwich-Albion","0Formation Set  4231  4231 18Peter Crouch assists a goal (Cross, Key pass, Open play) 18GOAL! Joe Allen scores , Assisted by Peter Crouch (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 45Joe Allen assists a goal (Through Ball, Key pass, Open play) 46GOAL! Eric Maxim Choupo-Moting scores , Assisted by Joe Allen (High to the centre, 18-yard box, Big Chance, Left footed, Open play) 51Kevin Wimmer tackles but does not win possession (Last line) 66Darren Fletcher is substituted off 66Mame Biram Diouf is substituted on 67Formation Change  4231  4231 78Ramadan Sobhi is substituted on 78Xherdan Shaqiri is substituted off 94Eric Maxim Choupo-Moting assists a goal (Key pass, Fast break) 94GOAL! Ramadan Sobhi scores , Assisted by Eric Maxim Choupo-Moting (Low to the centre, 18-yard box, Big Chance, Right footed, Fast break) 95Ramadan Sobhi recieves a yellow card","0Formation Set  442  442 45Nacer Chadli is substituted on 45James McClean is substituted off 50GOAL! Salomón Rondón scores , Assisted by Chris Brunt (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 50Chris Brunt assists a goal (Through Ball, Off the ground, Long Ball, Key pass, Open play) 60Nacer Chadli is substituted off 60Formation Change  442  442 60Jay Rodriguez is substituted on 80Kieran Gibbs is substituted off 80Oliver Burke is substituted on 80Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1190545/LiveStatistics/England-Premier-League-2017-2018-Stoke-West-Bromwich-Albion","Stoke3 : 1West Bromwich AlbionElapsed:FTHalf time:2 : 0Full time:3 : 1Kick off:15:00Date:Sat, 23-Dec-17","9Shots175Shots on target772%Pass Success %76%58%Aerial Duel Success42%10Dribbles won1027Tackles16Possession44%56%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Ben Foster  34,  GK     0	0	0	42.3	0	32	5.66  2 	Allan Nyom  29,  DR     0	0	0	78.1	1	83	6.42  3 	Ahmed Hegazi  27,  DC     0	0	0	67.5	4	58	6.85  4 	Jonny Evans  30,  DC     3	1	0	86.5	3	69	7.13  5 	Kieran Gibbs (80′) 28,  DL     0	0	1	75	3	53	6.07  6 	Jake Livermore  28,  MR     2	0	0	72	1	68	6.19  7 	Gareth Barry  37,  MC     1	0	1	82.8	2	67	6.50  8 	Chris Brunt  33,  MC     0	0	5	80	2	86	7.93   9 	James McClean (45′) 28,  ML     1	1	2	53.9	0	22	5.95  10 	Salomón Rondón  28,  FW     8	4	2	83.9	6	59	7.82   11 	Hal Robson-Kanu  28,  FW     0	0	0	84	1	50	6.69  12 	Nacer Chadli (60′)(45′) 28,  Sub     0	0	1	88.9	0	11	6.17  13 	Jay Rodriguez (60′) 28,  Sub     2	1	1	75	0	22	5.81  14 	Oliver Burke (80′) 20,  Sub     0	0	0	60	1	6	5.92  15 	Claudio Yacob  30,  Sub     0	0	0	0	0	0	-  16 	Craig Dawson  27,  Sub     0	0	0	0	0	0	-  17 	Boaz Myhill  35,  Sub     0	0	0	0	0	0	-  18 	Gareth McAuley  38,  Sub     0	0	0	0	0	0	-"
"1520724318-4867","https://www.whoscored.com/Teams/96/Fixtures/England-Stoke","2 : 2","https://www.whoscored.com/Matches/1190227/Live/England-Premier-League-2017-2018-Stoke-Manchester-United","0Formation Set  3421  3421 42Mame Biram Diouf assists a goal (Cross, Key pass, Open play) 42GOAL! Eric Maxim Choupo-Moting scores , Assisted by Mame Biram Diouf (High to the centre, 18-yard box, Big Chance, Right footed, Open play) 45Geoff Cameron is substituted off 45Bruno Martins Indi is substituted on 62Xherdan Shaqiri assists a goal (Off the ground, Corner, Cross, Long Ball, Key pass, From corner) 62GOAL! Eric Maxim Choupo-Moting scores , Assisted by Xherdan Shaqiri (High to the left, 6-yard box, Big Chance, Head, From corner) 67Kurt Zouma tackles but does not win possession (Last line) 74Jesé is substituted off 74Saido Berahino is substituted on","0Formation Set  433  433 45Paul Pogba has shot blocked (6-yard box, Big Chance, Key pass, Head, From corner) 45GOAL! Marcus Rashford scores , Assisted by Paul Pogba (Low to the right, 6-yard box, Head, From corner) 56GOAL! Romelu Lukaku scores  (High to the centre, 18-yard box, Big Chance, Right footed, Open play) 71Marcus Rashford is substituted off 71Juan Mata is substituted on 71Ander Herrera is substituted off 71Formation Change  4231  4231 71Anthony Martial is substituted on 83Henrikh Mkhitaryan is substituted off 83Jesse Lingard is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190227/LiveStatistics/England-Premier-League-2017-2018-Stoke-Manchester-United","Stoke2 : 2Manchester UnitedElapsed:FTHalf time:1 : 1Full time:2 : 2Kick off:17:30Date:Sat, 09-Sep-17","10Shots185Shots on target875%Pass Success %87%45%Aerial Duel Success55%9Dribbles won1019Tackles9Possession37%63%","",""
"1520722299-4594","https://www.whoscored.com/Teams/96/Fixtures/England-Stoke","5 : 0","https://www.whoscored.com/Matches/1190384/Live/England-Premier-League-2017-2018-Chelsea-Stoke","0Formation Set  343  343 2Willian assists a goal (Long Ball, Cross, Free-kick, Off the ground, Key pass, Set piece) 2GOAL! Antonio Rüdiger scores , Assisted by Willian (Low to the left, 6-yard box, Big Chance, Head, Set piece) 8GOAL! Daniel Drinkwater scores  (High to the right, Out of box, Right footed, Open play) 22Willian assists a goal (Key pass, Open play) 22GOAL! Pedro scores , Assisted by Willian (Low to the left, Out of box, Right footed, Open play) 51Pedro recieves a yellow card 56Davide Zappacosta is substituted on 56Victor Moses is substituted off 64Tiemoué Bakayoko is substituted on 64N'Golo Kanté is substituted off 70Álvaro Morata is substituted off 70Michy Batshuayi is substituted on 72GOAL! Willian scores  (Low to the left, 18-yard box, Big Chance, Penalty, Right footed) 87GOAL! Davide Zappacosta scores  (Low to the right, Out of box, Left footed, Open play)","0Formation Set  4231  4231 26Mame Biram Diouf recieves a yellow card 52Geoff Cameron tackles and wins possession (Last line) 70Ibrahim Afellay is substituted off 70Julien Ngoy is substituted on 80Charlie Adam is substituted off 80Eric Maxim Choupo-Moting is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190384/LiveStatistics/England-Premier-League-2017-2018-Chelsea-Stoke","Chelsea5 : 0StokeElapsed:FTHalf time:3 : 0Full time:5 : 0Kick off:15:00Date:Sat, 30-Dec-17","21Shots112Shots on target191%Pass Success %82%72%Aerial Duel Success28%10Dribbles won109Tackles27Possession59%41%","",""
"1520722371-4635","https://www.whoscored.com/Teams/96/Fixtures/England-Stoke","0 : 3","https://www.whoscored.com/Matches/1190522/Live/England-Premier-League-2017-2018-Stoke-West-Ham","0Formation Set  442  442 16Ryan Shawcross hits the woodwork (To the right, 18-yard box, Head, Set piece) 23Kevin Wimmer recieves a yellow card 40Formation Change  442  442 47Formation Change  442  442 49Ryan Shawcross recieves a yellow card 61Darren Fletcher is substituted off 61Saido Berahino is substituted on 61Mame Biram Diouf is substituted off 61Charlie Adam is substituted on 62Erik Pieters is substituted off 62Josh Tymon is substituted on","0Formation Set  3412  3412 18GOAL! Mark Noble scores  (Low to the right, 18-yard box, Penalty, Big Chance, Right footed) 34Declan Rice is substituted on 34Mark Noble is substituted off 34Formation Change  3412  3412 59Arthur Masuaku recieves a yellow card 66Marko Arnautovic hits the woodwork (High, 18-yard box, Left footed, Open play) 67Michail Antonio is substituted off 67Diafra Sakho is substituted on 74Manuel Lanzini assists a goal (Off the ground, Through Ball, Key pass, Open play) 74GOAL! Marko Arnautovic scores , Assisted by Manuel Lanzini (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 78Marko Arnautovic is substituted off 78Chicharito is substituted on 80Formation Change  3412  3412 85Manuel Lanzini assists a goal (Key pass, Open play) 85GOAL! Diafra Sakho scores , Assisted by Manuel Lanzini (Low to the right, 18-yard box, Big Chance, Right footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190522/LiveStatistics/England-Premier-League-2017-2018-Stoke-West-Ham","Stoke0 : 3West HamElapsed:FTHalf time:0 : 1Full time:0 : 3Kick off:16:00Date:Sat, 16-Dec-17","17Shots140Shots on target776%Pass Success %79%57%Aerial Duel Success43%7Dribbles won1925Tackles7Possession55%45%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Jack Butland  25,  GK     0	0	0	57.9	0	27	6.06  2 	Geoff Cameron  32,  DR     0	0	1	80.6	1	58	6.01  3 	Kevin Wimmer  25,  DC     0	0	0	82.9	1	50	5.85   4 	Ryan Shawcross  30,  DC     4	0	0	56.5	11	38	6.97    5 	Erik Pieters (62′) 29,  DL     0	0	0	63.3	1	51	5.91  6 	Xherdan Shaqiri  26,  MR     6	0	4	71.4	0	79	6.69  7 	Darren Fletcher (61′) 34,  MC     0	0	2	82.9	0	50	6.62  8 	Joe Allen  27,  MC     2	0	2	90.3	0	80	6.87  9 	Ramadan Sobhi  21,  ML     2	0	3	88.6	0	59	7.00  10 	Mame Biram Diouf (61′) 30,  FW     1	0	1	66.7	2	18	5.99  11 	Peter Crouch  37,  FW     0	0	0	61.8	9	38	6.29  12 	Saido Berahino (61′) 24,  Sub     1	0	0	83.3	0	15	5.75  13 	Josh Tymon (62′) 18,  Sub     0	0	0	90.9	0	22	5.80  14 	Charlie Adam (61′) 32,  Sub     1	0	2	80	0	39	6.25  15 	Julien Ngoy  20,  Sub     0	0	0	0	0	0	-  16 	Eric Maxim Choupo-Moting  28,  Sub     0	0	0	0	0	0	-  17 	Lee Grant  35,  Sub     0	0	0	0	0	0	-  18 	Thomas Edwards  19,  Sub     0	0	0	0	0	0	-",""
"1520725498-4973","https://www.whoscored.com/Teams/96/Fixtures/England-Stoke","2 : 1","https://www.whoscored.com/Matches/1185345/Live/International-Club-Friendlies-2017-Sheffield-United-Stoke","null","null","Player Statistics","https://www.whoscored.com/Matches/1185345/Live/International-Club-Friendlies-2017-Sheffield-United-Stoke#","Sheffield United2 : 1StokeElapsed:FTHalf time:1 : 1Full time:2 : 1Kick off:19:45Date:Tue, 25-Jul-17","null","",""
"1520722346-4624","https://www.whoscored.com/Teams/96/Fixtures/England-Stoke","3 : 1","https://www.whoscored.com/Matches/1190545/Live/England-Premier-League-2017-2018-Stoke-West-Bromwich-Albion","0Formation Set  4231  4231 18Peter Crouch assists a goal (Cross, Key pass, Open play) 18GOAL! Joe Allen scores , Assisted by Peter Crouch (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 45Joe Allen assists a goal (Through Ball, Key pass, Open play) 46GOAL! Eric Maxim Choupo-Moting scores , Assisted by Joe Allen (High to the centre, 18-yard box, Big Chance, Left footed, Open play) 51Kevin Wimmer tackles but does not win possession (Last line) 66Darren Fletcher is substituted off 66Mame Biram Diouf is substituted on 67Formation Change  4231  4231 78Ramadan Sobhi is substituted on 78Xherdan Shaqiri is substituted off 94Eric Maxim Choupo-Moting assists a goal (Key pass, Fast break) 94GOAL! Ramadan Sobhi scores , Assisted by Eric Maxim Choupo-Moting (Low to the centre, 18-yard box, Big Chance, Right footed, Fast break) 95Ramadan Sobhi recieves a yellow card","0Formation Set  442  442 45Nacer Chadli is substituted on 45James McClean is substituted off 50GOAL! Salomón Rondón scores , Assisted by Chris Brunt (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 50Chris Brunt assists a goal (Through Ball, Off the ground, Long Ball, Key pass, Open play) 60Nacer Chadli is substituted off 60Formation Change  442  442 60Jay Rodriguez is substituted on 80Kieran Gibbs is substituted off 80Oliver Burke is substituted on 80Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1190545/LiveStatistics/England-Premier-League-2017-2018-Stoke-West-Bromwich-Albion","Stoke3 : 1West Bromwich AlbionElapsed:FTHalf time:2 : 0Full time:3 : 1Kick off:15:00Date:Sat, 23-Dec-17","9Shots175Shots on target772%Pass Success %76%58%Aerial Duel Success42%10Dribbles won1027Tackles16Possession44%56%","",""
