web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520691690-2318","https://www.whoscored.com/Teams/29/Fixtures/England-West-Ham","3 : 2","https://www.whoscored.com/Matches/1190459/Live/England-Premier-League-2017-2018-Southampton-West-Ham","0Formation Set  4231  4231 10Nathan Redmond assists a goal (Key pass, Open play) 10GOAL! Manolo Gabbiadini scores , Assisted by Nathan Redmond (Low to the right, 18-yard box, Left footed, Open play) 14Dusan Tadic recieves a yellow card 37GOAL! Dusan Tadic scores  (Low to the centre, 18-yard box, Penalty, Big Chance, Left footed) 59Manolo Gabbiadini hits the woodwork (High, Out of box, Left footed, Open play) 64James Ward-Prowse is substituted on 64Formation Change  4231  4231 64Mario Lemina is substituted off 79Charlie Austin is substituted on 79Steven Davis is substituted off 79Shane Long is substituted on 79Manolo Gabbiadini is substituted off 92GOAL! Charlie Austin scores  (Low to the centre, 18-yard box, Big Chance, Penalty, Right footed)","0Formation Set  4231  4231 32Marko Arnautovic recieves a red card 44GOAL! Chicharito scores  (Low to the right, 6-yard box, Big Chance, Right footed, Open play) 67Michail Antonio is substituted off 67Diafra Sakho is substituted on 67André Ayew is substituted off 67Edimilson Fernandes is substituted on 68Formation Change  4231  4231 73GOAL! Chicharito scores  (High to the left, 6-yard box, Big Chance, Right footed, Open play) 75Declan Rice is substituted off 75Pedro Obiang is substituted on 90Pablo Zabaleta recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190459/LiveStatistics/England-Premier-League-2017-2018-Southampton-West-Ham","Southampton3 : 2West HamElapsed:FTHalf time:2 : 1Full time:3 : 2Kick off:15:00Date:Sat, 19-Aug-17","14Shots165Shots on target886%Pass Success %66%39%Aerial Duel Success61%3Dribbles won610Tackles12Possession66%34%","",""
"1520691324-2091","https://www.whoscored.com/Teams/29/Fixtures/England-West-Ham","4 : 0","https://www.whoscored.com/Matches/1190303/Live/England-Premier-League-2017-2018-Everton-West-Ham","0Formation Set  4141  4141 17Wayne Rooney has attempt saved (Low to the left, 18-yard box, Penalty, Big Chance, Right footed)  17GOAL! Wayne Rooney scores  (Low to the centre, 18-yard box, Big Chance, Head, Set piece) 27GOAL! Wayne Rooney scores , Assisted by Jonjoe Kenny (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 27Jonjoe Kenny misses attempt (To the left, 18-yard box, Key pass, Right footed, Open play) 34Gylfi Sigurdsson recieves a yellow card 52Tom Davies recieves a yellow card 58Jordan Pickford PenaltyFaced (Diving, Saved, To the right, Penalty) 65GOAL! Wayne Rooney scores  (Low to the centre, Out of box, Right footed, Open play) 74Formation Change  4141  4141 77GOAL! Ashley Williams scores , Assisted by Gylfi Sigurdsson (High to the left, 18-yard box, Head, From corner) 77Gylfi Sigurdsson assists a goal (Cross, Corner, Off the ground, Key pass, From corner) 84Beni Baningime is substituted on 84Formation Change  4141  4141 84Wayne Rooney is substituted off 88Aaron Lennon is substituted off 88Ademola Lookman is substituted on 90Nikola Vlasic is substituted on 90Dominic Calvert-Lewin is substituted off","0Formation Set  4141  4141 17Joe Hart PenaltyFaced (Saved, Diving, To the right, Penalty) 25Pablo Zabaleta recieves a yellow card 45Pedro Obiang is substituted off 45Formation Change  4231  4231 45Diafra Sakho is substituted on 51Aaron Cresswell hits the woodwork (High, 18-yard box, Left footed, Open play) 58Manuel Lanzini has attempt saved (Low to the left, 18-yard box, Big Chance, Penalty, Right footed)  61Marko Arnautovic is substituted off 61Michail Antonio is substituted on 65Joe Hart commits an error (Leading to goal) 76Winston Reid is substituted off 76Declan Rice is substituted on 76Formation Change  4231  4231","Player Statistics","https://www.whoscored.com/Matches/1190303/LiveStatistics/England-Premier-League-2017-2018-Everton-West-Ham","Everton4 : 0West HamElapsed:FTHalf time:2 : 0Full time:4 : 0Kick off:20:00Date:Wed, 29-Nov-17","8Shots75Shots on target378%Pass Success %80%54%Aerial Duel Success46%11Dribbles won1719Tackles11Possession44%56%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Joe Hart  30,  GK     0	0	0	40.7	0	32	4.60    2 	Pablo Zabaleta  33,  DR     0	0	0	85.1	0	78	5.29   3 	Angelo Ogbonna  29,  DC     0	0	0	86.5	2	86	6.22  4 	Winston Reid (76′) 29,  DC     0	0	0	83.6	1	62	5.95  5 	Aaron Cresswell  28,  DL     1	0	0	65.5	4	83	6.29   6 	Pedro Obiang (45′) 25,  DMC     0	0	0	86.2	1	34	6.11  7 	Marko Arnautovic (61′) 28,  MR     1	1	0	76.5	0	28	5.97  8 	Manuel Lanzini  25,  MC     2	2	4	94	0	108	6.95   9 	Cheikhou Kouyaté  28,  MC     1	0	1	82.5	5	51	6.33  10 	Arthur Masuaku  24,  ML     0	0	0	79.3	3	50	6.16  11 	André Ayew  28,  FW     0	0	0	72	2	34	5.80  12 	Diafra Sakho (45′) 28,  Sub     1	0	0	66.7	4	21	6.56  13 	Declan Rice (76′) 19,  Sub     1	0	0	87.5	0	10	5.95  14 	Michail Antonio (61′) 27,  Sub     0	0	0	40	0	26	6.62  15 	Toni Martínez  20,  Sub     0	0	0	0	0	0	-  16 	Adrián  31,  Sub     0	0	0	0	0	0	-  17 	Edimilson Fernandes  21,  Sub     0	0	0	0	0	0	-  18 	Mark Noble  30,  Sub     0	0	0	0	0	0	-"
"1520691722-2341","https://www.whoscored.com/Teams/29/Fixtures/England-West-Ham","0 : 3","https://www.whoscored.com/Matches/1191519/Live/International-Club-Friendlies-2017-West-Ham-Manchester-City","null","null","Player Statistics","https://www.whoscored.com/Matches/1191519/Live/International-Club-Friendlies-2017-West-Ham-Manchester-City#","West Ham0 : 3Manchester CityElapsed:FTHalf time:0 : 1Full time:0 : 3Kick off:15:00Date:Fri, 04-Aug-17","null","",""
"1520691324-2084","https://www.whoscored.com/Teams/29/Fixtures/England-West-Ham","4 : 0","https://www.whoscored.com/Matches/1190303/Live/England-Premier-League-2017-2018-Everton-West-Ham","0Formation Set  4141  4141 17Wayne Rooney has attempt saved (Low to the left, 18-yard box, Penalty, Big Chance, Right footed)  17GOAL! Wayne Rooney scores  (Low to the centre, 18-yard box, Big Chance, Head, Set piece) 27GOAL! Wayne Rooney scores , Assisted by Jonjoe Kenny (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 27Jonjoe Kenny misses attempt (To the left, 18-yard box, Key pass, Right footed, Open play) 34Gylfi Sigurdsson recieves a yellow card 52Tom Davies recieves a yellow card 58Jordan Pickford PenaltyFaced (Diving, Saved, To the right, Penalty) 65GOAL! Wayne Rooney scores  (Low to the centre, Out of box, Right footed, Open play) 74Formation Change  4141  4141 77GOAL! Ashley Williams scores , Assisted by Gylfi Sigurdsson (High to the left, 18-yard box, Head, From corner) 77Gylfi Sigurdsson assists a goal (Cross, Corner, Off the ground, Key pass, From corner) 84Beni Baningime is substituted on 84Formation Change  4141  4141 84Wayne Rooney is substituted off 88Aaron Lennon is substituted off 88Ademola Lookman is substituted on 90Nikola Vlasic is substituted on 90Dominic Calvert-Lewin is substituted off","0Formation Set  4141  4141 17Joe Hart PenaltyFaced (Saved, Diving, To the right, Penalty) 25Pablo Zabaleta recieves a yellow card 45Pedro Obiang is substituted off 45Formation Change  4231  4231 45Diafra Sakho is substituted on 51Aaron Cresswell hits the woodwork (High, 18-yard box, Left footed, Open play) 58Manuel Lanzini has attempt saved (Low to the left, 18-yard box, Big Chance, Penalty, Right footed)  61Marko Arnautovic is substituted off 61Michail Antonio is substituted on 65Joe Hart commits an error (Leading to goal) 76Winston Reid is substituted off 76Declan Rice is substituted on 76Formation Change  4231  4231","Player Statistics","https://www.whoscored.com/Matches/1190303/LiveStatistics/England-Premier-League-2017-2018-Everton-West-Ham","Everton4 : 0West HamElapsed:FTHalf time:2 : 0Full time:4 : 0Kick off:20:00Date:Wed, 29-Nov-17","8Shots75Shots on target378%Pass Success %80%54%Aerial Duel Success46%11Dribbles won1719Tackles11Possession44%56%","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Jordan Pickford  24,  GK     0	0	0	0	0	8.27   2 	Jonjoe Kenny  20,  DR     2	2	9	0	0	8.36   3 	Mason Holgate  21,  DC     1	1	9	0	0	7.57  4 	Ashley Williams  33,  DC     1	3	6	0	2	8.40   5 	Cuco Martina  28,  DL     4	0	15	0	2	7.98  6 	Idrissa Gueye  28,  DMC     3	4	2	0	0	8.05  7 	Aaron Lennon (88′) 30,  MR     3	1	0	0	3	7.17  8 	Tom Davies  19,  MC     1	3	1	0	2	6.97   9 	Wayne Rooney (84′) 32,  MC     2	1	4	0	1	9.25      10 	Gylfi Sigurdsson  28,  ML     2	0	2	0	2	7.93    11 	Dominic Calvert-Lewin (90′) 20,  FW     0	0	1	0	4	7.58  12 	Beni Baningime (84′) 19,  Sub     0	0	0	0	0	6.04  13 	Nikola Vlasic (90′) 20,  Sub     0	0	0	0	0	6.12  14 	Ademola Lookman (88′) 20,  Sub     0	0	0	0	0	6.21  15 	Muhamed Besic  25,  Sub     0	0	0	0	0	-  16 	Morgan Schneiderlin  28,  Sub     0	0	0	0	0	-  17 	Sandro Ramírez  22,  Sub     0	0	0	0	0	-  18 	Joel Robles  27,  Sub     0	0	0	0	0	-",""
"1520691270-2059","https://www.whoscored.com/Teams/29/Fixtures/England-West-Ham","1 : 0","https://www.whoscored.com/Matches/1190325/Live/England-Premier-League-2017-2018-West-Ham-Chelsea","0Formation Set  3421  3421 5Manuel Lanzini assists a goal (Key pass, Open play) 5GOAL! Marko Arnautovic scores , Assisted by Manuel Lanzini (Low to the left, 18-yard box, Left footed, Open play) 6Marko Arnautovic recieves a yellow card 57Adrián recieves a yellow card 66Winston Reid recieves a yellow card 67Aaron Cresswell recieves a yellow card 68Diafra Sakho is substituted on 68Marko Arnautovic is substituted off 69Pedro Obiang recieves a yellow card 69Formation Change  3421  3421 78Michail Antonio is substituted off 78André Ayew is substituted on 86Arthur Masuaku recieves a yellow card","0Formation Set  3511  3511 17Marcos Alonso recieves a yellow card 45Tiemoué Bakayoko is substituted off 45Pedro is substituted on 54Marcos Alonso is substituted off 54Victor Moses is substituted on 54Formation Change  3511  3511 63Willian is substituted on 63Davide Zappacosta is substituted off 63Formation Change  3421  3421","Player Statistics","https://www.whoscored.com/Matches/1190325/LiveStatistics/England-Premier-League-2017-2018-West-Ham-Chelsea","West Ham1 : 0ChelseaElapsed:FTHalf time:1 : 0Full time:1 : 0Kick off:12:30Date:Sat, 09-Dec-17","5Shots192Shots on target272%Pass Success %86%44%Aerial Duel Success56%22Dribbles won1522Tackles24Possession31%69%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Thibaut Courtois  25,  GK     0	0	0	92	0	36	6.13  2 	Andreas Christensen  21,  DC     1	0	0	88.3	5	92	7.22  3 	César Azpilicueta  28,  DC     1	0	1	88.5	2	102	6.74  4 	Gary Cahill  32,  DC     1	0	0	87.5	1	77	6.02  5 	Davide Zappacosta (63′) 25,  DMR     2	1	2	80.8	1	60	6.78  6 	Marcos Alonso (54′) 27,  DML     1	0	1	90	1	55	6.22   7 	N'Golo Kanté  26,  MC     1	1	2	91.3	1	114	7.39  8 	Tiemoué Bakayoko (45′) 23,  MC     2	0	0	90.9	2	30	6.30  9 	Cesc Fàbregas  30,  MC     2	0	2	80.5	1	107	7.20  10 	Eden Hazard  27,  AMC     3	0	1	89.1	0	81	6.89  11 	Álvaro Morata  25,  FW     4	0	4	67.7	3	55	6.53  12 	Willian (63′) 29,  Sub     0	0	0	78.6	0	20	6.10  13 	Victor Moses (54′) 27,  Sub     0	0	0	57.9	1	35	6.35  14 	Pedro (45′) 30,  Sub     1	0	0	91.7	0	31	6.06  15 	Willy Caballero  36,  Sub     0	0	0	0	0	0	-  16 	Michy Batshuayi  24,  Sub     0	0	0	0	0	0	-  17 	Antonio Rüdiger  25,  Sub     0	0	0	0	0	0	-  18 	Ethan Ampadu  17,  Sub     0	0	0	0	0	0	-"
"1520691590-2249","https://www.whoscored.com/Teams/29/Fixtures/England-West-Ham","0 : 0","https://www.whoscored.com/Matches/1190207/Live/England-Premier-League-2017-2018-West-Bromwich-Albion-West-Ham","0Formation Set  4231  4231 65Ben Foster recieves a yellow card 71Chris Brunt is substituted off 71Hal Robson-Kanu is substituted on 74Formation Change  4231  4231 75Matt Phillips is substituted off 75James McClean is substituted on 82James McClean recieves a yellow card 84Kieran Gibbs is substituted off 84Allan Nyom is substituted on","0Formation Set  343  343 8Pablo Zabaleta recieves a yellow card 27Pedro Obiang hits the woodwork (High, Out of box, Right footed, Open play) 57James Collins is substituted off 57Marko Arnautovic is substituted on 57Formation Change  343  343 75André Ayew is substituted on 75Chicharito is substituted off 81Andy Carroll is substituted off 81Diafra Sakho is substituted on 95Michail Antonio recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190207/LiveStatistics/England-Premier-League-2017-2018-West-Bromwich-Albion-West-Ham","West Bromwich Albion0 : 0West HamElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:15:00Date:Sat, 16-Sep-17","6Shots91Shots on target172%Pass Success %85%29%Aerial Duel Success71%9Dribbles won57Tackles11Possession37%63%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Ben Foster  34,  GK     0	0	0	0	0	0	0	0	6.49   2 	Craig Dawson  27,  DR     0	0	0	0	0	0	0	1	6.68  3 	Ahmed Hegazi  27,  DC     0	0	0	0	0	0	0	0	6.75  4 	Jonny Evans  30,  DC     0	0	0	0	2	0	0	0	6.74  5 	Kieran Gibbs (84′) 28,  DL     1	0	0	2	0	0	0	2	6.92  6 	Grzegorz Krychowiak  28,  DMC     0	0	0	1	1	0	0	0	7.18  7 	Gareth Barry  37,  DMC     1	0	0	1	0	0	1	1	6.46  8 	Chris Brunt (71′) 33,  AMR     0	0	0	2	0	0	0	0	6.73  9 	James Morrison  31,  AMC     1	0	2	0	1	0	1	1	6.25  10 	Matt Phillips (75′) 26,  AML     1	0	2	1	0	0	4	1	7.00  11 	Jay Rodriguez  28,  FW     1	0	0	0	2	2	1	2	6.13  12 	Allan Nyom (84′) 29,  Sub     0	0	0	0	1	0	0	0	6.25  13 	James McClean (75′) 28,  Sub     0	0	1	1	0	1	0	0	6.45   14 	Hal Robson-Kanu (71′) 28,  Sub     1	1	0	1	0	0	0	3	6.28  15 	Claudio Yacob  30,  Sub     0	0	0	0	0	0	0	0	-  16 	Salomón Rondón  28,  Sub     0	0	0	0	0	0	0	0	-  17 	Boaz Myhill  35,  Sub     0	0	0	0	0	0	0	0	-  18 	Gareth McAuley  38,  Sub     0	0	0	0	0	0	0	0	-",""
"1520691690-2320","https://www.whoscored.com/Teams/29/Fixtures/England-West-Ham","3 : 2","https://www.whoscored.com/Matches/1190459/Live/England-Premier-League-2017-2018-Southampton-West-Ham","0Formation Set  4231  4231 10Nathan Redmond assists a goal (Key pass, Open play) 10GOAL! Manolo Gabbiadini scores , Assisted by Nathan Redmond (Low to the right, 18-yard box, Left footed, Open play) 14Dusan Tadic recieves a yellow card 37GOAL! Dusan Tadic scores  (Low to the centre, 18-yard box, Penalty, Big Chance, Left footed) 59Manolo Gabbiadini hits the woodwork (High, Out of box, Left footed, Open play) 64James Ward-Prowse is substituted on 64Formation Change  4231  4231 64Mario Lemina is substituted off 79Charlie Austin is substituted on 79Steven Davis is substituted off 79Shane Long is substituted on 79Manolo Gabbiadini is substituted off 92GOAL! Charlie Austin scores  (Low to the centre, 18-yard box, Big Chance, Penalty, Right footed)","0Formation Set  4231  4231 32Marko Arnautovic recieves a red card 44GOAL! Chicharito scores  (Low to the right, 6-yard box, Big Chance, Right footed, Open play) 67Michail Antonio is substituted off 67Diafra Sakho is substituted on 67André Ayew is substituted off 67Edimilson Fernandes is substituted on 68Formation Change  4231  4231 73GOAL! Chicharito scores  (High to the left, 6-yard box, Big Chance, Right footed, Open play) 75Declan Rice is substituted off 75Pedro Obiang is substituted on 90Pablo Zabaleta recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190459/LiveStatistics/England-Premier-League-2017-2018-Southampton-West-Ham","Southampton3 : 2West HamElapsed:FTHalf time:2 : 1Full time:3 : 2Kick off:15:00Date:Sat, 19-Aug-17","14Shots165Shots on target886%Pass Success %66%39%Aerial Duel Success61%3Dribbles won610Tackles12Possession66%34%","","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Joe Hart  30,  GK     0	0	2	0	0	5.97  2 	Pablo Zabaleta  33,  DR     2	4	7	0	2	6.63   3 	Angelo Ogbonna  29,  DC     0	1	10	0	0	6.31  4 	José Fonte  34,  DC     0	0	11	2	2	6.31  5 	Aaron Cresswell  28,  DL     1	0	5	0	0	6.65  6 	Declan Rice (75′) 19,  DMC     0	3	0	1	0	6.50  7 	Mark Noble  30,  DMC     2	1	0	0	0	6.60  8 	Michail Antonio (67′) 27,  AMR     1	0	0	0	1	7.85  9 	André Ayew (67′) 28,  AMC     2	1	0	0	2	6.54  10 	Marko Arnautovic  28,  AML     0	1	0	0	2	5.36   11 	Chicharito  29,  FW     0	1	1	0	1	8.44    12 	Diafra Sakho (67′) 28,  Sub     0	0	1	0	0	6.50  13 	Pedro Obiang (75′) 25,  Sub     3	0	1	0	0	6.48  14 	Edimilson Fernandes (67′) 21,  Sub     1	0	0	0	0	6.08  15 	Arthur Masuaku  24,  Sub     0	0	0	0	0	-  16 	Adrián  31,  Sub     0	0	0	0	0	-  17 	Sam Byram  24,  Sub     0	0	0	0	0	-"
"1520691057-1920","https://www.whoscored.com/Teams/29/Fixtures/England-West-Ham","0 : 0","https://www.whoscored.com/Matches/1250106/Live/England-FA-Cup-2017-2018-Shrewsbury-West-Ham","0Formation Set  4141  4141 75Alex Rodman is substituted off 75Max Lowe is substituted on 81Carlton Morris is substituted off 81Stefan Payne is substituted on 87Shaun Whalley is substituted off 87Arthur Gnahoua is substituted on","0Formation Set  352  352 70Chicharito is substituted off 70Toni Martínez is substituted on 85Winston Reid is substituted off 85Domingos Quina is substituted on 87Formation Change  352  352","Player Statistics","https://www.whoscored.com/Matches/1250106/LiveStatistics/England-FA-Cup-2017-2018-Shrewsbury-West-Ham","Shrewsbury0 : 0West HamElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:14:00Date:Sun, 07-Jan-18","9Shots43Shots on target264%Pass Success %54%56%Aerial Duel Success44%11Dribbles won1023Tackles27Possession55%45%","",""
"1520691246-2039","https://www.whoscored.com/Teams/29/Fixtures/England-West-Ham","0 : 0","https://www.whoscored.com/Matches/1190525/Live/England-Premier-League-2017-2018-West-Ham-Arsenal","0Formation Set  532  532 40Manuel Lanzini recieves a yellow card 81Michail Antonio is substituted off 81Chicharito is substituted on 89Chicharito hits the woodwork (High, 18-yard box, Right footed, Open play) 92Winston Reid recieves a yellow card","0Formation Set  433  433 28Alex Iwobi hits the woodwork (To the right, 18-yard box, Left footed, Open play) 69Alex Iwobi is substituted off 69Danny Welbeck is substituted on 81Alexis Sánchez is substituted off 81Alexandre Lacazette is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190525/LiveStatistics/England-Premier-League-2017-2018-West-Ham-Arsenal","West Ham0 : 0ArsenalElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:20:00Date:Wed, 13-Dec-17","6Shots220Shots on target370%Pass Success %86%51%Aerial Duel Success49%15Dribbles won1511Tackles17Possession30%70%","",""
"1520691246-2043","https://www.whoscored.com/Teams/29/Fixtures/England-West-Ham","0 : 0","https://www.whoscored.com/Matches/1190525/Live/England-Premier-League-2017-2018-West-Ham-Arsenal","0Formation Set  532  532 40Manuel Lanzini recieves a yellow card 81Michail Antonio is substituted off 81Chicharito is substituted on 89Chicharito hits the woodwork (High, 18-yard box, Right footed, Open play) 92Winston Reid recieves a yellow card","0Formation Set  433  433 28Alex Iwobi hits the woodwork (To the right, 18-yard box, Left footed, Open play) 69Alex Iwobi is substituted off 69Danny Welbeck is substituted on 81Alexis Sánchez is substituted off 81Alexandre Lacazette is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190525/LiveStatistics/England-Premier-League-2017-2018-West-Ham-Arsenal","West Ham0 : 0ArsenalElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:20:00Date:Wed, 13-Dec-17","6Shots220Shots on target370%Pass Success %86%51%Aerial Duel Success49%15Dribbles won1511Tackles17Possession30%70%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Petr Cech  35,  GK     0	0	0	70.6	0	27	6.68  2 	Héctor Bellerín  22,  DR     2	0	1	87.9	0	91	6.96  3 	Laurent Koscielny  32,  DC     0	0	1	91.7	4	87	7.65  4 	Nacho Monreal  32,  DC     0	0	0	91.7	4	69	7.75  5 	Ainsley Maitland-Niles  20,  DL     1	0	2	87.3	1	103	7.12  6 	Mesut Özil  29,  MC     2	0	3	89.4	0	119	7.16  7 	Granit Xhaka  25,  MC     3	1	0	85.6	3	120	7.55  8 	Jack Wilshere  26,  MC     3	0	1	90.3	1	80	7.87  9 	Alex Iwobi (69′) 21,  FWR     3	0	1	83	0	67	7.31   10 	Olivier Giroud  31,  FW     2	0	1	72.7	6	45	6.65  11 	Alexis Sánchez (81′) 29,  FWL     6	2	4	78.6	0	77	6.90  12 	Alexandre Lacazette (81′) 26,  Sub     0	0	0	40	0	8	6.05  13 	Danny Welbeck (69′) 27,  Sub     0	0	0	100	0	19	6.10  14 	Sead Kolasinac  24,  Sub     0	0	0	0	0	0	-  15 	David Ospina  29,  Sub     0	0	0	0	0	0	-  16 	Mohamed Elneny  25,  Sub     0	0	0	0	0	0	-  17 	Francis Coquelin  26,  Sub     0	0	0	0	0	0	-  18 	Calum Chambers  23,  Sub     0	0	0	0	0	0	-"
