web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520638201-3161","https://www.whoscored.com/Teams/15/Fixtures/England-Chelsea","3 : 1","https://www.whoscored.com/Matches/1190327/Live/England-Premier-League-2017-2018-Chelsea-Newcastle-United","0Formation Set  3511  3511 11Marcos Alonso commits an error (Leading to goal) 19Andreas Christensen hits the woodwork (To the right, 18-yard box, Head, From corner) 20GOAL! Eden Hazard scores  (Low to the left, 18-yard box, Right footed, Open play) 32GOAL! Álvaro Morata scores , Assisted by Victor Moses (Low to the centre, 6-yard box, Big Chance, Head, Open play) 32Victor Moses assists a goal (Off the ground, Cross, Key pass, Open play) 73GOAL! Eden Hazard scores  (Low to the centre, 18-yard box, Penalty, Big Chance, Right footed) 77Tiemoué Bakayoko is substituted on 77Cesc Fàbregas is substituted off 77Eden Hazard is substituted off 77Willian is substituted on 79Andreas Christensen is substituted off 79Gary Cahill is substituted on 80Formation Change  3511  3511 91Formation Change  3511  3511","0Formation Set  3421  3421 11GOAL! Dwight Gayle scores  (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 32Matt Ritchie commits an error (Leading to goal) 45Ciaran Clark recieves a yellow card 61Ayoze Pérez is substituted off 61Isaac Hayden is substituted on 70Formation Change  3421  3421 74Jonjo Shelvey is substituted on 74Mohamed Diamé is substituted off 84Mikel Merino is substituted off 84DeAndre Yedlin is substituted on 84Formation Change  3421  3421","Player Statistics","https://www.whoscored.com/Matches/1190327/LiveStatistics/England-Premier-League-2017-2018-Chelsea-Newcastle-United","Chelsea3 : 1Newcastle UnitedElapsed:FTHalf time:2 : 1Full time:3 : 1Kick off:12:30Date:Sat, 02-Dec-17","23Shots89Shots on target287%Pass Success %76%67%Aerial Duel Success33%18Dribbles won617Tackles17Possession66%34%","",""
"1520638622-3461","https://www.whoscored.com/Teams/15/Fixtures/England-Chelsea","1 : 2","https://www.whoscored.com/Matches/1190209/Live/England-Premier-League-2017-2018-Tottenham-Chelsea","0Formation Set  4321  4321 30Eric Dier recieves a yellow card 41Harry Kane hits the woodwork (To the right, 18-yard box, Right footed, Open play) 50Jan Vertonghen recieves a yellow card 67Eric Dier is substituted off 67Son Heung-Min is substituted on 79Ben Davies is substituted off 79Moussa Sissoko is substituted on 81Michy Batshuayi scores an OWN GOAL!  (Low to the left, 18-yard box, Head, Set piece) 82Toby Alderweireld recieves a yellow card 84Formation Change  3421  3421 87Harry Kane recieves a yellow card 88Hugo Lloris commits an error (Leading to goal) 90Kieran Trippier is substituted off 90Vincent Janssen is substituted on","0Formation Set  3511  3511 23GOAL! Marcos Alonso scores  (High to the right, Out of box, Left footed, Free kick) 29Antonio Rüdiger recieves a yellow card 37David Luiz recieves a yellow card 72Willian hits the woodwork (To the left, Out of box, Right footed, Open play) 77Willian is substituted off 77Pedro is substituted on 78Michy Batshuayi is substituted on 78Álvaro Morata is substituted off 86Marcos Alonso recieves a yellow card 87Pedro assists a goal (Key pass, Open play) 87GOAL! Marcos Alonso scores , Assisted by Pedro (Low to the right, 18-yard box, Left footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190209/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Chelsea","Tottenham1 : 2ChelseaElapsed:FTHalf time:0 : 1Full time:1 : 2Kick off:16:00Date:Sun, 20-Aug-17","18Shots96Shots on target285%Pass Success %69%43%Aerial Duel Success57%16Dribbles won914Tackles31Possession68%32%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Hugo Lloris  31,  GK     0	0	0	75	0	30	4.73   2 	Kieran Trippier (90′) 27,  DR     0	0	1	79.3	1	80	6.23  3 	Toby Alderweireld  29,  DC     1	0	0	90.8	1	85	6.08   4 	Jan Vertonghen  30,  DC     1	0	0	80.7	1	99	6.58   5 	Ben Davies (79′) 24,  DL     3	1	2	81	1	75	6.85  6 	Mousa Dembélé  30,  MC     1	1	1	92.3	0	76	7.54  7 	Victor Wanyama  26,  MC     2	1	2	89.7	4	80	7.24  8 	Eric Dier (67′) 24,  MC     0	0	1	90.5	1	79	6.40   9 	Christian Eriksen  26,  AMC     1	0	2	85.3	0	85	6.43  10 	Dele Alli  21,  AMC     1	0	3	87.2	3	65	6.74  11 	Harry Kane  24,  FW     8	3	2	57.9	0	45	7.08    12 	Moussa Sissoko (79′) 28,  Sub     0	0	0	66.7	0	5	5.92  13 	Vincent Janssen (90′) 23,  Sub     0	0	0	0	0	0	5.97  14 	Son Heung-Min (67′) 25,  Sub     0	0	0	72.7	0	16	6.04  15 	Kevin Wimmer  25,  Sub     0	0	0	0	0	0	-  16 	Michel Vorm  34,  Sub     0	0	0	0	0	0	-  17 	Kyle Walker-Peters  20,  Sub     0	0	0	0	0	0	-  18 	Harry Winks  22,  Sub     0	0	0	0	0	0	-",""
"1520638389-3294","https://www.whoscored.com/Teams/15/Fixtures/England-Chelsea","4 : 2","https://www.whoscored.com/Matches/1190540/Live/England-Premier-League-2017-2018-Chelsea-Watford","0Formation Set  343  343 10Eden Hazard assists a goal (Key pass, From corner) 11GOAL! Pedro scores , Assisted by Eden Hazard (High to the left, Out of box, Right footed, From corner) 22Antonio Rüdiger recieves a yellow card 55Álvaro Morata recieves a yellow card 60Álvaro Morata is substituted off 60Michy Batshuayi is substituted on 67Willian is substituted on 67Formation Change  343  343 67Marcos Alonso is substituted off 70GOAL! Michy Batshuayi scores , Assisted by Pedro (Low to the left, 18-yard box, Head, Set piece) 70Pedro assists a goal (Cross, Off the ground, Key pass, Set piece) 85Pedro is substituted off 85Davide Zappacosta is substituted on 86GOAL! César Azpilicueta scores  (Low to the left, 6-yard box, Big Chance, Head, Open play) 94Tiemoué Bakayoko assists a goal (Headed, Key pass, Open play) 94GOAL! Michy Batshuayi scores , Assisted by Tiemoué Bakayoko (Low to the centre, 18-yard box, Big Chance, Right footed, Open play)","0Formation Set  343  343 11José Holebas recieves a yellow card 18Adrian Mariappa recieves a yellow card 46GOAL! Abdoulaye Doucouré scores  (Low to the right, 18-yard box, Right footed, Throw-in) 48GOAL! Roberto Pereyra scores , Assisted by Richarlison (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 48Richarlison assists a goal (Key pass, Open play) 64Roberto Pereyra is substituted off 64André Carrillo is substituted on 77Kiko Femenía recieves a yellow card 79Formation Change  343  343 79Ben Watson is substituted on 79Formation Change  541  541 79Troy Deeney is substituted off 89Adrian Mariappa is substituted off 89Andre Gray is substituted on 89Formation Change  442  442 94Miguel Britos commits an error (Leading to goal)","Player Statistics","https://www.whoscored.com/Matches/1190540/LiveStatistics/England-Premier-League-2017-2018-Chelsea-Watford","Chelsea4 : 2WatfordElapsed:FTHalf time:1 : 1Full time:4 : 2Kick off:12:30Date:Sat, 21-Oct-17","14Shots168Shots on target582%Pass Success %79%60%Aerial Duel Success40%13Dribbles won522Tackles17Possession53%47%","",""
"1520638456-3348","https://www.whoscored.com/Teams/15/Fixtures/England-Chelsea","0 : 1","https://www.whoscored.com/Matches/1190253/Live/England-Premier-League-2017-2018-Chelsea-Manchester-City","0Formation Set  3511  3511 34Álvaro Morata is substituted off 34Willian is substituted on 34Formation Change  3412  3412 71Eden Hazard is substituted off 71Pedro is substituted on 72Tiemoué Bakayoko is substituted off 72Michy Batshuayi is substituted on 72Formation Change  3421  3421 83Antonio Rüdiger blocks a shot (Last line)","0Formation Set  433  433 60Fernandinho recieves a yellow card 66GOAL! Kevin De Bruyne scores , Assisted by Gabriel Jesus (Low to the right, Out of box, Left footed, Open play) 66Gabriel Jesus assists a goal (Lay-off, Key pass, Open play) 75Bernardo Silva is substituted on 75Formation Change  4141  4141 75David Silva is substituted off 83Ilkay Gündogan is substituted on 83Leroy Sané is substituted off 83Formation Change  451  451 88Nicolás Otamendi recieves a yellow card 92Kevin De Bruyne is substituted off 92Danilo is substituted on 92Formation Change  4141  4141","Player Statistics","https://www.whoscored.com/Matches/1190253/LiveStatistics/England-Premier-League-2017-2018-Chelsea-Manchester-City","Chelsea0 : 1Manchester CityElapsed:FTHalf time:0 : 0Full time:0 : 1Kick off:17:30Date:Sat, 30-Sep-17","4Shots172Shots on target678%Pass Success %89%28%Aerial Duel Success72%10Dribbles won819Tackles19Possession38%62%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Thibaut Courtois  25,  GK     0	27	48.2	0	0	19	5	0	0	6.61  2 	Andreas Christensen  21,  DC     0	30	83.3	0	0	4	2	0	0	6.91  3 	Antonio Rüdiger  25,  DC     0	51	88.2	1	0	6	3	0	0	6.91   4 	Gary Cahill  32,  DC     0	28	78.6	0	0	2	2	0	0	6.32  5 	César Azpilicueta  28,  DMR     0	36	80.6	4	0	4	0	0	0	6.90  6 	Marcos Alonso  27,  DML     0	35	68.6	2	1	3	0	0	0	6.56  7 	Tiemoué Bakayoko (72′) 23,  MC     0	19	89.5	1	0	2	2	0	0	6.42  8 	N'Golo Kanté  26,  MC     2	39	79.5	1	1	4	2	0	0	7.17  9 	Cesc Fàbregas  30,  MC     2	59	84.8	4	1	6	3	0	0	6.51  10 	Eden Hazard (71′) 27,  AMC     0	28	89.3	0	0	4	4	0	0	6.34  11 	Álvaro Morata (34′) 25,  FW     0	5	60	0	0	0	0	0	0	6.15  12 	Michy Batshuayi (72′) 24,  Sub     0	5	60	0	0	0	0	0	0	5.90  13 	Willian (34′) 29,  Sub     0	22	77.3	1	0	3	2	0	0	6.35  14 	Pedro (71′) 30,  Sub     0	11	63.6	0	0	1	1	0	0	5.92  15 	Willy Caballero  36,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Kenedy  22,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Davide Zappacosta  25,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Victor Moses  27,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520638179-3152","https://www.whoscored.com/Teams/15/Fixtures/England-Chelsea","1 : 1","https://www.whoscored.com/Matches/1238336/Live/Europe-UEFA-Champions-League-2017-2018-Chelsea-Atletico-Madrid","0Formation Set  3511  3511 51Davide Zappacosta recieves a yellow card 63Tiemoué Bakayoko is substituted off 63Pedro is substituted on 72Davide Zappacosta is substituted off 72Willian is substituted on 74Stefan Savic scores an OWN GOAL!  (High to the left, 6-yard box, Right footed, From corner) 80Álvaro Morata is substituted off 80Michy Batshuayi is substituted on","0Formation Set  442  442 15Lucas Hernández recieves a yellow card 52Filipe Luis hits the woodwork (To the right, Out of box, Left footed, Open play) 55Fernando Torres assists a goal (Headed, Key pass, From corner) 55GOAL! Saúl Ñíguez scores , Assisted by Fernando Torres (High to the left, 6-yard box, Big Chance, Head, From corner) 56Fernando Torres is substituted off 56Yannick Carrasco is substituted on 77Gabi is substituted off 77Ángel Correa is substituted on 78José Giménez is substituted off 78Luciano Vietto is substituted on 79Formation Change  442  442 80Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1238336/LiveStatistics/Europe-UEFA-Champions-League-2017-2018-Chelsea-Atletico-Madrid","Chelsea1 : 1Atletico MadridElapsed:FTHalf time:0 : 0Full time:1 : 1Kick off:19:45Date:Tue, 05-Dec-17","17Shots127Shots on target385%Pass Success %81%43%Aerial Duel Success57%22Dribbles won59Tackles23Possession50%50%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Thibaut Courtois  25,  GK     0	30	63.3	0	0	18	7	0	0	6.38  2 	Andreas Christensen  21,  DC     1	67	95.5	0	0	4	3	0	0	7.09  3 	César Azpilicueta  28,  DC     1	93	91.4	1	0	10	6	0	0	6.74  4 	Gary Cahill  32,  DC     0	61	90.2	0	0	7	5	0	0	6.25  5 	Victor Moses  27,  DMR     2	42	83.3	1	1	4	3	0	0	6.77  6 	Davide Zappacosta (72′) 25,  DML     2	25	80	3	1	3	1	0	0	6.57   7 	Tiemoué Bakayoko (63′) 23,  MC     1	24	83.3	1	0	1	0	0	0	6.51  8 	N'Golo Kanté  26,  MC     0	50	86	0	0	3	2	0	0	7.18  9 	Cesc Fàbregas  30,  MC     6	65	89.2	8	1	6	5	1	0	7.18  10 	Eden Hazard  27,  AMC     2	42	73.8	2	1	2	2	0	0	7.55  11 	Álvaro Morata (80′) 25,  FW     0	24	70.8	0	0	2	2	0	0	7.39  12 	Michy Batshuayi (80′) 24,  Sub     0	4	100	0	0	0	0	0	0	5.96  13 	Willian (72′) 29,  Sub     0	12	66.7	0	0	0	0	0	0	6.23  14 	Pedro (63′) 30,  Sub     1	15	66.7	1	0	1	1	0	0	7.05  15 	Willy Caballero  36,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Antonio Rüdiger  25,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Marcos Alonso  27,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Daniel Drinkwater  28,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520637841-2905","https://www.whoscored.com/Teams/15/Fixtures/England-Chelsea","3 : 0","https://www.whoscored.com/Matches/1260753/Live/England-FA-Cup-2017-2018-Chelsea-Newcastle-United","0Formation Set  3421  3421 30Marcos Alonso assists a goal (Key pass, Open play) 30GOAL! Michy Batshuayi scores , Assisted by Marcos Alonso (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 43GOAL! Michy Batshuayi scores , Assisted by Eden Hazard (Low to the left, 18-yard box, Right footed, Fast break) 43Eden Hazard assists a goal (Key pass, Fast break) 71GOAL! Marcos Alonso scores  (High to the right, Out of box, Left footed, Free kick) 72Eden Hazard is substituted off 72Ross Barkley is substituted on 77N'Golo Kanté is substituted off 77Ethan Ampadu is substituted on 80Pedro is substituted off 80Callum Hudson-Odoi is substituted on","0Formation Set  532  532 16Chancel Mbemba recieves a yellow card 63Dwight Gayle is substituted off 63Joselu is substituted on 76Javier Manquillo is substituted off 76Jacob Murphy is substituted on 82Isaac Hayden is substituted off 82Christian Atsu is substituted on","Player Statistics","https://www.whoscored.com/Matches/1260753/LiveStatistics/England-FA-Cup-2017-2018-Chelsea-Newcastle-United","Chelsea3 : 0Newcastle UnitedElapsed:FTHalf time:2 : 0Full time:3 : 0Kick off:13:30Date:Sun, 28-Jan-18","18Shots98Shots on target685%Pass Success %75%28%Aerial Duel Success72%18Dribbles won810Tackles21Possession61%39%","",""
"1520638088-3085","https://www.whoscored.com/Teams/15/Fixtures/England-Chelsea","2 : 1","https://www.whoscored.com/Matches/1246856/Live/England-League-Cup-2017-2018-Chelsea-Bournemouth","0Formation Set  343  343 1Ethan Ampadu recieves a yellow card 12GOAL! Willian scores , Assisted by Cesc Fàbregas (High to the right, 18-yard box, Big Chance, Left footed, Open play) 12Cesc Fàbregas assists a goal (Key pass, Open play) 38Cesc Fàbregas recieves a yellow card 60Willian is substituted off 60Eden Hazard is substituted on 60Pedro is substituted off 60Tiemoué Bakayoko is substituted on 61Formation Change  3511  3511 62Davide Zappacosta recieves a yellow card 72Michy Batshuayi is substituted off 72Álvaro Morata is substituted on 90Eden Hazard assists a goal (Key pass, Open play) 90GOAL! Álvaro Morata scores , Assisted by Eden Hazard (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 92Álvaro Morata recieves a yellow card","0Formation Set  532  532 16Jermain Defoe is substituted off 16Jordon Ibe is substituted on 70Lys Mousset is substituted off 70Callum Wilson is substituted on 71Jack Simpson recieves a yellow card 73Harry Arter is substituted off 73Lewis Cook is substituted on 75Simon Francis recieves a yellow card 81Adam Smith recieves a yellow card 89Jordon Ibe assists a goal (Key pass, Throw-in) 89GOAL! Dan Gosling scores , Assisted by Jordon Ibe (Low to the right, Out of box, Right footed, Throw-in) 90Dan Gosling recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1246856/LiveStatistics/England-League-Cup-2017-2018-Chelsea-Bournemouth","Chelsea2 : 1BournemouthElapsed:FTHalf time:1 : 0Full time:2 : 1Kick off:19:45Date:Wed, 20-Dec-17","7Shots122Shots on target286%Pass Success %84%57%Aerial Duel Success43%9Dribbles won1623Tackles17Possession50%50%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Willy Caballero  36,  GK     0	0	0	72.7	1	40	6.23  2 	Antonio Rüdiger  25,  DC     0	0	0	85.7	3	93	6.68  3 	Gary Cahill  32,  DC     1	0	0	88.6	3	94	6.70  4 	Ethan Ampadu  17,  DC     0	0	0	98.9	1	105	7.20   5 	Davide Zappacosta  25,  DMR     1	0	0	90.6	1	61	6.76   6 	Kenedy  22,  DML     1	0	0	82.6	1	57	6.94  7 	Cesc Fàbregas  30,  MC     1	0	1	77.4	0	81	7.35    8 	Daniel Drinkwater  28,  MC     0	0	0	87.8	1	57	6.99  9 	Willian (60′) 29,  FWR     1	1	0	75	0	42	7.19   10 	Michy Batshuayi (72′) 24,  FW     1	0	0	81.8	1	19	6.57  11 	Pedro (60′) 30,  FWL     0	0	1	76.5	0	26	6.26  12 	Eden Hazard (60′) 27,  Sub     0	0	2	88.2	0	24	7.16   13 	Tiemoué Bakayoko (60′) 23,  Sub     0	0	0	90.9	0	16	6.26  14 	Álvaro Morata (72′) 25,  Sub     1	1	0	66.7	4	9	7.04    15 	Eduardo  35,  Sub     0	0	0	0	0	0	-  16 	Dujon Sterling  18,  Sub     0	0	0	0	0	0	-  17 	Callum Hudson-Odoi  17,  Sub     0	0	0	0	0	0	-  18 	Jake Clarke-Salter  20,  Sub     0	0	0	0	0	0	-",""
"1520638179-3145","https://www.whoscored.com/Teams/15/Fixtures/England-Chelsea","1 : 1","https://www.whoscored.com/Matches/1238336/Live/Europe-UEFA-Champions-League-2017-2018-Chelsea-Atletico-Madrid","0Formation Set  3511  3511 51Davide Zappacosta recieves a yellow card 63Tiemoué Bakayoko is substituted off 63Pedro is substituted on 72Davide Zappacosta is substituted off 72Willian is substituted on 74Stefan Savic scores an OWN GOAL!  (High to the left, 6-yard box, Right footed, From corner) 80Álvaro Morata is substituted off 80Michy Batshuayi is substituted on","0Formation Set  442  442 15Lucas Hernández recieves a yellow card 52Filipe Luis hits the woodwork (To the right, Out of box, Left footed, Open play) 55Fernando Torres assists a goal (Headed, Key pass, From corner) 55GOAL! Saúl Ñíguez scores , Assisted by Fernando Torres (High to the left, 6-yard box, Big Chance, Head, From corner) 56Fernando Torres is substituted off 56Yannick Carrasco is substituted on 77Gabi is substituted off 77Ángel Correa is substituted on 78José Giménez is substituted off 78Luciano Vietto is substituted on 79Formation Change  442  442 80Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1238336/LiveStatistics/Europe-UEFA-Champions-League-2017-2018-Chelsea-Atletico-Madrid","Chelsea1 : 1Atletico MadridElapsed:FTHalf time:0 : 0Full time:1 : 1Kick off:19:45Date:Tue, 05-Dec-17","17Shots127Shots on target385%Pass Success %81%43%Aerial Duel Success57%22Dribbles won59Tackles23Possession50%50%","",""
"1520637932-2977","https://www.whoscored.com/Teams/15/Fixtures/England-Chelsea","0 : 0","https://www.whoscored.com/Matches/1190342/Live/England-Premier-League-2017-2018-Chelsea-Leicester","0Formation Set  3511  3511 32Gary Cahill is substituted off 32Formation Change  3511  3511 32Andreas Christensen is substituted on 55N'Golo Kanté recieves a yellow card 57Pedro is substituted on 57Cesc Fàbregas is substituted off 57Willian is substituted on 57Formation Change  343  343 57Eden Hazard is substituted off 86Álvaro Morata recieves a yellow card","0Formation Set  4411  4411 17Matty James recieves a yellow card 60Shinji Okazaki recieves a yellow card 62Ben Chilwell recieves a yellow card 67Ben Chilwell recieves a red card after receiving second yellow card 69Formation Change  4411  4411 72Christian Fuchs is substituted on 72Formation Change  4411  4411 72Shinji Okazaki is substituted off 81Demarai Gray is substituted on 81Formation Change  4411  4411 81Jamie Vardy is substituted off 89Vicente Iborra is substituted on 89Matty James is substituted off 89Formation Change  4411  4411","Player Statistics","https://www.whoscored.com/Matches/1190342/LiveStatistics/England-Premier-League-2017-2018-Chelsea-Leicester","Chelsea0 : 0LeicesterElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:15:00Date:Sat, 13-Jan-18","17Shots147Shots on target184%Pass Success %78%39%Aerial Duel Success61%16Dribbles won2113Tackles14Possession56%44%","",""
"1520637704-2824","https://www.whoscored.com/Teams/15/Fixtures/England-Chelsea","2 : 1","https://www.whoscored.com/Matches/1190446/Live/England-Premier-League-2017-2018-Manchester-United-Chelsea","0Formation Set  433  433 38Anthony Martial assists a goal (Key pass, Open play) 38GOAL! Romelu Lukaku scores , Assisted by Anthony Martial (Low to the left, 18-yard box, Big Chance, Left footed, Open play) 63Jesse Lingard is substituted on 63Anthony Martial is substituted off 67Antonio Valencia recieves a yellow card 74Romelu Lukaku assists a goal (Cross, Off the ground, Key pass, Open play) 74GOAL! Jesse Lingard scores , Assisted by Romelu Lukaku (Low to the right, 18-yard box, Big Chance, Head, Open play) 80Alexis Sánchez is substituted off 80Eric Bailly is substituted on 80Formation Change  541  541 84Nemanja Matic recieves a yellow card","0Formation Set  3421  3421 3Álvaro Morata hits the woodwork (High, 18-yard box, Big Chance, Right footed, Open play) 29N'Golo Kanté recieves a yellow card 31Eden Hazard assists a goal (Through Ball, Key pass, Fast break) 31GOAL! Willian scores , Assisted by Eden Hazard (Low to the right, 18-yard box, Big Chance, Right footed, Fast break) 72Pedro is substituted on 72Eden Hazard is substituted off 77Victor Moses is substituted off 77Olivier Giroud is substituted on 80Daniel Drinkwater is substituted off 80Cesc Fàbregas is substituted on 80Formation Change  442  442 87Álvaro Morata recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190446/LiveStatistics/England-Premier-League-2017-2018-Manchester-United-Chelsea","Manchester United2 : 1ChelseaElapsed:FTHalf time:1 : 1Full time:2 : 1Kick off:14:05Date:Sun, 25-Feb-18","10Shots145Shots on target781%Pass Success %86%59%Aerial Duel Success41%13Dribbles won1520Tackles22Possession44%56%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Thibaut Courtois  25,  GK     0	30	86.7	0	0	6	2	0	0	6.37  2 	Andreas Christensen  21,  DC     1	70	91.4	0	0	4	2	0	0	6.54  3 	Antonio Rüdiger  25,  DC     0	36	86.1	1	0	6	3	0	0	5.94  4 	César Azpilicueta  28,  DC     0	69	87	0	0	9	3	1	1	6.68  5 	Victor Moses (77′) 27,  DMR     0	31	64.5	3	0	2	0	0	0	6.85  6 	Marcos Alonso  27,  DML     2	35	91.4	2	2	2	2	0	0	6.49  7 	N'Golo Kanté  26,  MC     1	55	94.6	0	0	3	3	0	0	6.65   8 	Daniel Drinkwater (80′) 28,  MC     0	59	81.4	0	0	7	4	0	0	6.87  9 	Eden Hazard (72′) 27,  AMC     4	52	92.3	1	0	3	3	1	1	7.81   10 	Willian  29,  AMC     1	58	81	5	0	1	1	0	0	8.51   11 	Álvaro Morata  25,  FW     2	25	84	0	0	4	2	0	0	6.44    12 	Olivier Giroud (77′) 31,  Sub     0	7	71.4	0	0	0	0	0	0	6.15  13 	Pedro (72′) 30,  Sub     0	7	71.4	1	0	1	0	0	0	5.81  14 	Cesc Fàbregas (80′) 30,  Sub     0	18	88.9	1	0	4	3	0	0	6.05  15 	Willy Caballero  36,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Emerson  23,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Davide Zappacosta  25,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Gary Cahill  32,  Sub     0	0	0	0	0	0	0	0	0	-"
