web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520642509-4918","https://www.whoscored.com/Teams/14/Fixtures/England-Leicester","2 : 0","https://www.whoscored.com/Matches/1190394/Live/England-Premier-League-2017-2018-Leicester-Watford","0Formation Set  4411  4411 38GOAL! Jamie Vardy scores  (Low to the right, 18-yard box, Penalty, Big Chance, Right footed) 64Shinji Okazaki is substituted off 64Demarai Gray is substituted on 88Jamie Vardy is substituted off 88Adrien Silva is substituted on 88Formation Change  4141  4141 90Adrien Silva assists a goal (Key pass, Fast break) 90GOAL! Riyad Mahrez scores , Assisted by Adrien Silva (Low to the centre, 18-yard box, Left footed, Fast break)","0Formation Set  4231  4231 59Roberto Pereyra is substituted off 59Andre Gray is substituted on 60Molla Wagué is substituted off 60Sebastian Prödl is substituted on 64Formation Change  442  442 80Daryl Janmaat is substituted off 80Stefano Okaka is substituted on 80Formation Change  343  343","Player Statistics","https://www.whoscored.com/Matches/1190394/LiveStatistics/England-Premier-League-2017-2018-Leicester-Watford","Leicester2 : 0WatfordElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:15:00Date:Sat, 20-Jan-18","9Shots115Shots on target378%Pass Success %70%39%Aerial Duel Success61%19Dribbles won915Tackles27Possession53%47%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Kasper Schmeichel  31,  GK     0	32	62.5	0	0	22	10	0	0	7.71  2 	Daniel Amartey  23,  DR     0	42	76.2	0	0	5	1	0	0	7.18  3 	Aleksandar Dragovic  27,  DC     0	45	75.6	0	0	4	1	0	0	7.54  4 	Harry Maguire  25,  DC     1	51	82.4	0	0	9	5	0	0	7.32  5 	Ben Chilwell  21,  DL     0	43	76.7	1	0	5	2	0	0	6.97  6 	Riyad Mahrez  27,  MR     2	34	88.2	6	2	8	8	0	0	7.66   7 	Wilfred Ndidi  21,  MC     0	48	79.2	0	0	7	3	1	1	7.99  8 	Matty James  26,  MC     0	44	93.2	1	0	4	2	0	0	7.19  9 	Marc Albrighton  28,  ML     0	32	71.9	3	0	5	4	0	0	7.28  10 	Shinji Okazaki (64′) 31,  AMC     1	20	80	1	0	1	1	0	0	6.57  11 	Jamie Vardy (88′) 31,  FW     1	18	61.1	0	0	1	0	0	0	7.69   12 	Adrien Silva (88′) 28,  Sub     1	2	100	0	0	0	0	0	0	6.36   13 	Demarai Gray (64′) 21,  Sub     0	11	81.8	0	0	1	0	0	0	6.41  14 	Christian Fuchs  31,  Sub     0	0	0	0	0	0	0	0	0	-  15 	Yohan Benalouane  30,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Fousseni Diabaté  22,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Kelechi Iheanacho  21,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Ben Hamer  30,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520643153-5386","https://www.whoscored.com/Teams/14/Fixtures/England-Leicester","2 : 1","https://www.whoscored.com/Matches/1184973/Live/International-Club-Friendlies-2017-Burton-Leicester","null","null","Player Statistics","https://www.whoscored.com/Matches/1184973/Live/International-Club-Friendlies-2017-Burton-Leicester#","Burton2 : 1LeicesterElapsed:FTHalf time:2 : 0Full time:2 : 1Kick off:19:45Date:Tue, 01-Aug-17","null","",""
"1520643139-5368","https://www.whoscored.com/Teams/14/Fixtures/England-Leicester","4 : 3","https://www.whoscored.com/Matches/1190174/Live/England-Premier-League-2017-2018-Arsenal-Leicester","0Formation Set  3421  3421 1Mohamed Elneny assists a goal (Off the ground, Key pass, Open play) 1GOAL! Alexandre Lacazette scores , Assisted by Mohamed Elneny (Low to the left, 18-yard box, Head, Open play) 28Granit Xhaka commits an error (Leading to goal) 46Sead Kolasinac assists a goal (Key pass, Open play) 46GOAL! Danny Welbeck scores , Assisted by Sead Kolasinac (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 66Aaron Ramsey is substituted on 66Rob Holding is substituted off 66Olivier Giroud is substituted on 66Formation Change  442  442 66Mohamed Elneny is substituted off 74Theo Walcott is substituted on 74Formation Change  4231  4231 74Danny Welbeck is substituted off 82Granit Xhaka assists a goal (Off the ground, Key pass, From corner) 82GOAL! Aaron Ramsey scores , Assisted by Granit Xhaka (Low to the left, 18-yard box, Right footed, From corner) 84Granit Xhaka assists a goal (Long Ball, Off the ground, Cross, Corner, Key pass, From corner) 84GOAL! Olivier Giroud scores , Assisted by Granit Xhaka (High to the left, 18-yard box, Head, From corner)","0Formation Set  4411  4411 4Harry Maguire assists a goal (Headed, Key pass, From corner) 4GOAL! Shinji Okazaki scores , Assisted by Harry Maguire (High to the centre, 6-yard box, Big Chance, Head, From corner) 28GOAL! Jamie Vardy scores , Assisted by Marc Albrighton (High to the centre, 6-yard box, Big Chance, Right footed, Open play) 28Marc Albrighton assists a goal (Cross, Key pass, Open play) 55GOAL! Jamie Vardy scores , Assisted by Riyad Mahrez (Low to the left, 6-yard box, Head, From corner) 55Riyad Mahrez assists a goal (Cross, Off the ground, Corner, Key pass, From corner) 71Daniel Amartey is substituted on 71Formation Change  4141  4141 71Shinji Okazaki is substituted off 81Kelechi Iheanacho is substituted on 81Formation Change  4411  4411 81Matty James is substituted off 87Marc Albrighton is substituted off 87Demarai Gray is substituted on 93Wes Morgan recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190174/LiveStatistics/England-Premier-League-2017-2018-Arsenal-Leicester","Arsenal4 : 3LeicesterElapsed:FTHalf time:2 : 2Full time:4 : 3Kick off:19:45Date:Fri, 11-Aug-17","27Shots610Shots on target385%Pass Success %63%50%Aerial Duel Success50%16Dribbles won523Tackles17Possession70%30%","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Petr Cech  35,  GK     1	0	0	0	0	5.78  2 	Sead Kolasinac  24,  DC     4	1	3	0	1	7.55   3 	Nacho Monreal  32,  DC     2	5	7	0	0	7.30  4 	Rob Holding (66′) 22,  DC     1	1	10	0	2	6.53  5 	Héctor Bellerín  22,  DMR     3	0	1	0	1	7.01  6 	Alex Oxlade-Chamberlain  24,  DML     3	3	4	0	1	9.23  7 	Mohamed Elneny (66′) 25,  MC     4	0	1	0	0	6.89   8 	Granit Xhaka  25,  MC     1	1	1	0	1	7.48     9 	Mesut Özil  29,  AMC     1	0	1	0	0	7.24  10 	Danny Welbeck (74′) 27,  AMC     1	1	1	0	1	7.70   11 	Alexandre Lacazette  26,  FW     2	0	1	0	2	8.47   12 	Olivier Giroud (66′) 31,  Sub     0	0	0	0	0	7.53   13 	Theo Walcott (74′) 28,  Sub     0	1	0	0	0	6.28  14 	Aaron Ramsey (66′) 27,  Sub     0	0	0	0	0	7.31   15 	David Ospina  29,  Sub     0	0	0	0	0	-  16 	Francis Coquelin  26,  Sub     0	0	0	0	0	-  17 	Shkodran Mustafi  25,  Sub     0	0	0	0	0	-  18 	Alex Iwobi  21,  Sub     0	0	0	0	0	-",""
"1520642865-5181","https://www.whoscored.com/Teams/14/Fixtures/England-Leicester","2 : 2","https://www.whoscored.com/Matches/1190304/Live/England-Premier-League-2017-2018-Stoke-Leicester","0Formation Set  3421  3421 38Eric Maxim Choupo-Moting assists a goal (Through Ball, Key pass, Open play) 38GOAL! Xherdan Shaqiri scores , Assisted by Eric Maxim Choupo-Moting (Low to the left, 18-yard box, Big Chance, Left footed, Open play) 68Ramadan Sobhi is substituted off 68Peter Crouch is substituted on 68Formation Change  4411  4411 72Xherdan Shaqiri assists a goal (Cross, Corner, Off the ground, Key pass, From corner) 72GOAL! Peter Crouch scores , Assisted by Xherdan Shaqiri (Low to the left, 18-yard box, Big Chance, Head, From corner) 85Mame Biram Diouf is substituted off 85Saido Berahino is substituted on","0Formation Set  4411  4411 32Harry Maguire assists a goal (Headed, Key pass, From corner) 32GOAL! Vicente Iborra scores , Assisted by Harry Maguire (High to the right, 18-yard box, Left footed, From corner) 57Kelechi Iheanacho is substituted on 57Shinji Okazaki is substituted off 59Wilfred Ndidi assists a goal (Long Ball, Key pass, Open play) 59GOAL! Riyad Mahrez scores , Assisted by Wilfred Ndidi (Low to the centre, 18-yard box, Left footed, Open play) 65Vicente Iborra is substituted off 65Formation Change  4411  4411 65Andy King is substituted on 79Demarai Gray is substituted off 79Marc Albrighton is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190304/LiveStatistics/England-Premier-League-2017-2018-Stoke-Leicester","Stoke2 : 2LeicesterElapsed:FTHalf time:1 : 1Full time:2 : 2Kick off:12:30Date:Sat, 04-Nov-17","11Shots147Shots on target474%Pass Success %80%51%Aerial Duel Success49%6Dribbles won615Tackles14Possession47%53%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Kasper Schmeichel  31,  GK     0	0	1	0	0	0	0	0	7.38  2 	Danny Simpson  31,  DR     0	0	0	0	0	0	1	0	6.61  3 	Wes Morgan  34,  DC     0	0	0	0	1	0	0	0	6.11  4 	Harry Maguire  25,  DC     0	0	2	0	1	0	0	1	6.65   5 	Christian Fuchs  31,  DL     0	0	0	1	1	0	0	0	6.71  6 	Riyad Mahrez  27,  MR     6	2	1	2	1	0	4	3	7.95   7 	Wilfred Ndidi  21,  MC     0	0	1	0	3	0	2	0	7.41   8 	Vicente Iborra (65′) 30,  MC     3	1	1	0	0	0	0	0	7.65   9 	Demarai Gray (79′) 21,  ML     0	0	3	0	2	0	1	4	6.78  10 	Shinji Okazaki (57′) 31,  AMC     1	1	0	1	2	2	2	1	6.20  11 	Jamie Vardy  31,  FW     2	0	1	2	0	1	1	1	7.20  12 	Kelechi Iheanacho (57′) 21,  Sub     1	0	1	0	1	2	1	2	6.01  13 	Marc Albrighton (79′) 28,  Sub     0	0	0	0	0	0	0	0	6.00  14 	Andy King (65′) 29,  Sub     1	0	0	0	0	0	0	0	6.09  15 	Islam Slimani  29,  Sub     0	0	0	0	0	0	0	0	-  16 	Aleksandar Dragovic  27,  Sub     0	0	0	0	0	0	0	0	-  17 	Daniel Amartey  23,  Sub     0	0	0	0	0	0	0	0	-  18 	Ben Hamer  30,  Sub     0	0	0	0	0	0	0	0	-"
"1520642916-5218","https://www.whoscored.com/Teams/14/Fixtures/England-Leicester","1 : 2","https://www.whoscored.com/Matches/1190233/Live/England-Premier-League-2017-2018-Swansea-Leicester","0Formation Set  433  433 45Leon Britton is substituted off 45Ki Sung-yueng is substituted on 45Formation Change  433  433 55Jordan Ayew assists a goal (Key pass, From corner) 55GOAL! Alfie Mawson scores , Assisted by Jordan Ayew (Low to the right, 18-yard box, Right footed, From corner) 55Luciano Narsingh is substituted off 55Nathan Dyer is substituted on 77Renato Sanches is substituted off 77Wayne Routledge is substituted on","0Formation Set  4411  4411 14Christian Fuchs recieves a yellow card 24Federico Fernández scores an OWN GOAL!  (High to the right, 6-yard box, Head, Open play) 48Riyad Mahrez assists a goal (Key pass, Fast break) 48GOAL! Shinji Okazaki scores , Assisted by Riyad Mahrez (Low to the centre, 6-yard box, Big Chance, Right footed, Fast break) 67Shinji Okazaki is substituted off 67Andy King is substituted on 72Formation Change  4141  4141 86Riyad Mahrez is substituted off 86Demarai Gray is substituted on 87Formation Change  4141  4141","Player Statistics","https://www.whoscored.com/Matches/1190233/LiveStatistics/England-Premier-League-2017-2018-Swansea-Leicester","Swansea1 : 2LeicesterElapsed:FTHalf time:0 : 1Full time:1 : 2Kick off:15:00Date:Sat, 21-Oct-17","19Shots114Shots on target682%Pass Success %71%47%Aerial Duel Success53%5Dribbles won1317Tackles23Possession56%44%","","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Kasper Schmeichel  31,  GK     0	34	50	0	0	30	13	0	0	6.74  2 	Danny Simpson  31,  DR     0	29	79.3	1	1	7	3	0	0	6.63  3 	Wes Morgan  34,  DC     0	25	76	0	0	2	0	0	0	7.06  4 	Harry Maguire  25,  DC     1	36	66.7	1	0	9	2	0	0	7.09  5 	Christian Fuchs  31,  DL     1	42	57.1	1	0	12	4	0	0	7.22   6 	Riyad Mahrez (86′) 27,  MR     2	29	86.2	4	1	4	3	1	1	7.96   7 	Wilfred Ndidi  21,  MC     0	39	74.4	0	0	3	1	0	0	7.00  8 	Vicente Iborra  30,  MC     0	65	83.1	0	0	7	3	0	0	7.80  9 	Marc Albrighton  28,  ML     1	33	75.8	5	1	5	1	0	0	6.96  10 	Shinji Okazaki (67′) 31,  AMC     2	22	72.7	2	0	3	3	0	0	7.71   11 	Jamie Vardy  31,  FW     2	12	75	3	1	2	1	0	0	7.23  12 	Demarai Gray (86′) 21,  Sub     0	1	100	0	0	0	0	0	0	6.18  13 	Andy King (67′) 29,  Sub     0	14	71.4	0	0	2	0	0	0	6.36  14 	Islam Slimani  29,  Sub     0	0	0	0	0	0	0	0	0	-  15 	Daniel Amartey  23,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Kelechi Iheanacho  21,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Ben Hamer  30,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Ben Chilwell  21,  Sub     0	0	0	0	0	0	0	0	0	-"
"1520642710-5069","https://www.whoscored.com/Teams/14/Fixtures/England-Leicester","0 : 3","https://www.whoscored.com/Matches/1190518/Live/England-Premier-League-2017-2018-Leicester-Crystal-Palace","0Formation Set  4231  4231 51Wilfred Ndidi recieves a yellow card 55Harry Maguire recieves a yellow card 60Wilfred Ndidi recieves a red card after receiving second yellow card 76Vicente Iborra is substituted off 76Shinji Okazaki is substituted on 76Marc Albrighton is substituted off 76Formation Change  3511  3511 76Andy King is substituted on 84Jamie Vardy is substituted off 84Leonardo Ulloa is substituted on 85Danny Simpson recieves a yellow card","0Formation Set  442  442 18Andros Townsend assists a goal (Cross, Off the ground, Long Ball, Key pass, Open play) 18GOAL! Christian Benteke scores , Assisted by Andros Townsend (Low to the right, 18-yard box, Big Chance, Head, Open play) 39GOAL! Wilfried Zaha scores , Assisted by Christian Benteke (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 39Christian Benteke assists a goal (Key pass, Open play) 50Christian Benteke recieves a yellow card 67Jeffrey Schlupp recieves a yellow card 84Jairo Riedewald is substituted on 84Yohan Cabaye is substituted off 87Christian Benteke is substituted off 87Bakary Sako is substituted on 93Ruben Loftus-Cheek assists a goal (Key pass, Fast break) 93GOAL! Bakary Sako scores , Assisted by Ruben Loftus-Cheek (High to the left, Out of box, Left footed, Fast break)","Player Statistics","https://www.whoscored.com/Matches/1190518/LiveStatistics/England-Premier-League-2017-2018-Leicester-Crystal-Palace","Leicester0 : 3Crystal PalaceElapsed:FTHalf time:0 : 2Full time:0 : 3Kick off:12:30Date:Sat, 16-Dec-17","11Shots132Shots on target679%Pass Success %74%51%Aerial Duel Success49%21Dribbles won2016Tackles25Possession56%44%","","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Julian Speroni  38,  GK     0	0	0	0	0	0	0	0	7.20  2 	Martin Kelly  27,  DR     0	0	0	0	0	0	0	1	7.29  3 	James Tomkins  28,  DC     0	0	0	0	2	0	0	0	7.54  4 	Scott Dann  31,  DC     0	0	0	0	0	0	0	0	7.29  5 	Jeffrey Schlupp  25,  DL     1	0	1	3	0	0	0	0	8.47   6 	Andros Townsend  26,  MR     1	0	3	4	1	0	3	1	8.83   7 	Yohan Cabaye (84′) 32,  MC     1	0	0	0	0	0	1	0	7.50  8 	James McArthur  30,  MC     0	0	0	3	0	0	2	1	7.55  9 	Ruben Loftus-Cheek  22,  ML     2	1	2	3	3	0	1	2	8.26   10 	Christian Benteke (87′) 27,  FW     4	2	2	1	2	0	0	3	8.58     11 	Wilfried Zaha  25,  FW     3	2	3	5	3	0	1	2	8.60   12 	Bakary Sako (87′) 29,  Sub     1	1	0	1	0	0	1	0	7.25   13 	Jairo Riedewald (84′) 21,  Sub     0	0	0	0	0	0	0	0	6.18  14 	Patrick van Aanholt  27,  Sub     0	0	0	0	0	0	0	0	-  15 	Pape Souaré  27,  Sub     0	0	0	0	0	0	0	0	-  16 	Wayne Hennessey  31,  Sub     0	0	0	0	0	0	0	0	-  17 	Lee Chung-yong  29,  Sub     0	0	0	0	0	0	0	0	-  18 	Aaron Wan-Bissaka  20,  Sub     0	0	0	0	0	0	0	0	-"
"1520643117-5350","https://www.whoscored.com/Teams/14/Fixtures/England-Leicester","2 : 0","https://www.whoscored.com/Matches/1190187/Live/England-Premier-League-2017-2018-Leicester-Brighton","0GOAL! Shinji Okazaki scores  (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 0Formation Set  4411  4411 49Wes Morgan recieves a yellow card 53Riyad Mahrez assists a goal (Cross, Off the ground, Corner, Long Ball, Key pass, From corner) 53GOAL! Harry Maguire scores , Assisted by Riyad Mahrez (High to the left, 6-yard box, Head, From corner) 75Shinji Okazaki is substituted off 75Islam Slimani is substituted on 75Formation Change  442  442 92Jamie Vardy is substituted off 92Demarai Gray is substituted on","0Mat Ryan commits an error (Leading to goal) 0Formation Set  4411  4411 61Pascal Groß is substituted off 61Anthony Knockaert is substituted on 64Formation Change  4411  4411 65Glenn Murray is substituted off 65Tomer Hemed is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190187/LiveStatistics/England-Premier-League-2017-2018-Leicester-Brighton","Leicester2 : 0BrightonElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:15:00Date:Sat, 19-Aug-17","14Shots54Shots on target277%Pass Success %83%52%Aerial Duel Success48%8Dribbles won511Tackles11Possession45%55%","",""
"1520642487-4895","https://www.whoscored.com/Teams/14/Fixtures/England-Leicester","1 : 5","https://www.whoscored.com/Matches/1260371/Live/England-FA-Cup-2017-2018-Peterborough-Leicester","0Formation Set  4231  4231 11Chris Forrester commits an error (Leading to goal) 57Steven Taylor is caught offside 57GOAL! Andrew Hughes scores , Assisted by Steven Taylor (Low to the centre, 18-yard box, Left footed, From corner) 60Leonardo Da Silva Lopes is substituted off 60Junior Morias is substituted on 79Idris Kanu is substituted on 79Danny Lloyd is substituted off 88Marcus Maddison is substituted off 88Andrea Borg is substituted on","0Formation Set  4231  4231 8Adrien Silva assists a goal (Key pass, Open play) 8GOAL! Fousseni Diabaté scores , Assisted by Adrien Silva (Low to the left, 18-yard box, Left footed, Open play) 11GOAL! Kelechi Iheanacho scores  (Low to the left, Out of box, Left footed, Open play) 13Vicente Iborra recieves a yellow card 28GOAL! Kelechi Iheanacho scores , Assisted by Christian Fuchs (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 28Christian Fuchs assists a goal (Cross, Off the ground, Long Ball, Key pass, Open play) 63Harvey Barnes is substituted off 63Wilfred Ndidi is substituted on 64Marc Albrighton is substituted on 64Vicente Iborra is substituted off 64Formation Change  4231  4231 79Kelechi Iheanacho is substituted off 79Ben Chilwell is substituted on 79Formation Change  4231  4231 86GOAL! Fousseni Diabaté scores  (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 91GOAL! Wilfred Ndidi scores  (Low to the left, 18-yard box, Big Chance, Left footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1260371/LiveStatistics/England-FA-Cup-2017-2018-Peterborough-Leicester","Peterborough1 : 5LeicesterElapsed:FTHalf time:0 : 3Full time:1 : 5Kick off:12:30Date:Sat, 27-Jan-18","6Shots243Shots on target1167%Pass Success %74%66%Aerial Duel Success34%17Dribbles won1119Tackles18Possession42%58%","",""
"1520643027-5288","https://www.whoscored.com/Teams/14/Fixtures/England-Leicester","1 : 1","https://www.whoscored.com/Matches/1190194/Live/England-Premier-League-2017-2018-Huddersfield-Leicester","0Formation Set  4231  4231 39Christopher Schindler recieves a yellow card 45GOAL! Laurent Depoitre scores , Assisted by Abdelhamid Sabiri (Low to the left, 18-yard box, Right footed, Open play) 45Abdelhamid Sabiri assists a goal (Key pass, Open play) 73Elias Kachunga is substituted off 73Collin Quaner is substituted on 81Abdelhamid Sabiri is substituted off 81Formation Change  4231  4231 81Jonathan Hogg is substituted on 91Laurent Depoitre is substituted off 91Rajiv van La Parra is substituted on 91Formation Change  4231  4231","0Formation Set  4411  4411 49GOAL! Jamie Vardy scores  (Low to the centre, 18-yard box, Penalty, Big Chance, Right footed) 64Marc Albrighton is substituted off 64Demarai Gray is substituted on 68Kelechi Iheanacho is substituted off 68Shinji Okazaki is substituted on 79Shinji Okazaki recieves a yellow card 81Jamie Vardy is substituted off 81Islam Slimani is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190194/LiveStatistics/England-Premier-League-2017-2018-Huddersfield-Leicester","Huddersfield1 : 1LeicesterElapsed:FTHalf time:0 : 0Full time:1 : 1Kick off:15:00Date:Sat, 16-Sep-17","15Shots103Shots on target179%Pass Success %71%47%Aerial Duel Success53%8Dribbles won1316Tackles8Possession60%40%","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Jonas Lössl  29,  GK     0	0	1	0	0	5.67  2 	Tommy Smith  25,  DR     2	3	3	1	0	7.26  3 	Zanka  27,  DC     0	0	5	1	1	6.44  4 	Christopher Schindler  27,  DC     1	0	9	1	1	7.05   5 	Chris Löwe  28,  DL     2	2	5	0	1	6.35  6 	Aaron Mooy  27,  DMC     6	0	1	1	0	7.48  7 	Danny Williams  29,  DMC     2	4	3	0	1	7.21  8 	Elias Kachunga (73′) 25,  AMR     1	0	0	0	0	6.59  9 	Abdelhamid Sabiri (81′) 21,  AMC     0	1	2	0	1	6.58   10 	Tom Ince  26,  AML     1	0	0	0	0	6.28  11 	Laurent Depoitre (91′) 29,  FW     0	0	1	1	1	8.02   12 	Collin Quaner (73′) 26,  Sub     0	0	0	0	0	5.94  13 	Rajiv van La Parra (91′) 26,  Sub     0	0	0	0	0	6.00  14 	Jonathan Hogg (81′) 29,  Sub     1	0	1	0	0	6.20  15 	Philip Billing  21,  Sub     0	0	0	0	0	-  16 	Michael Hefele  27,  Sub     0	0	0	0	0	-  17 	Scott Malone  26,  Sub     0	0	0	0	0	-  18 	Joel Coleman  22,  Sub     0	0	0	0	0	-",""
"1520642733-5080","https://www.whoscored.com/Teams/14/Fixtures/England-Leicester","1 : 4","https://www.whoscored.com/Matches/1190533/Live/England-Premier-League-2017-2018-Southampton-Leicester","0Formation Set  4231  4231 23Mario Lemina blocks a shot (Last line) 30Steven Davis blocks a shot (Last line) 31Fraser Forster commits an error (Leading to goal) 45Manolo Gabbiadini is substituted on 45Formation Change  4231  4231 45Oriol Romeu is substituted off 51Charlie Austin recieves a yellow card 60Ryan Bertrand assists a goal (Off the ground, Corner, Long Ball, Cross, Key pass, From corner) 60GOAL! Maya Yoshida scores , Assisted by Ryan Bertrand (Low to the right, 18-yard box, Head, From corner) 61Sofiane Boufal is substituted off 61Nathan Redmond is substituted on 68Cédric Soares commits an error (Leading to goal) 82Dusan Tadic is substituted off 82James Ward-Prowse is substituted on","0Formation Set  4231  4231 10Shinji Okazaki assists a goal (Key pass, Open play) 10GOAL! Riyad Mahrez scores , Assisted by Shinji Okazaki (Low to the right, Out of box, Left footed, Open play) 31GOAL! Shinji Okazaki scores  (Low to the centre, 6-yard box, Big Chance, Right footed, From corner) 37Harry Maguire assists a goal (Cross, Key pass, Set piece) 37GOAL! Andy King scores , Assisted by Harry Maguire (Low to the centre, 6-yard box, Big Chance, Left footed, Set piece) 68Jamie Vardy assists a goal (Off the ground, Cross, Key pass, Open play) 68GOAL! Shinji Okazaki scores , Assisted by Jamie Vardy (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 71Marc Albrighton is substituted on 71Jamie Vardy is substituted off 71Riyad Mahrez is substituted off 71Demarai Gray is substituted on 73Formation Change  4231  4231 73Formation Change  4231  4231 82Ben Chilwell is substituted off 82Leonardo Ulloa is substituted on 82Formation Change  4231  4231","Player Statistics","https://www.whoscored.com/Matches/1190533/LiveStatistics/England-Premier-League-2017-2018-Southampton-Leicester","Southampton1 : 4LeicesterElapsed:FTHalf time:0 : 3Full time:1 : 4Kick off:19:45Date:Wed, 13-Dec-17","11Shots164Shots on target1181%Pass Success %74%57%Aerial Duel Success43%9Dribbles won919Tackles23Possession53%47%","",""
