web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520632430-974","https://www.whoscored.com/Teams/26/Fixtures/England-Liverpool","0 : 4","https://www.whoscored.com/Matches/1190544/Live/England-Premier-League-2017-2018-Bournemouth-Liverpool","0Formation Set  4411  4411 9Nathan Aké recieves a yellow card 30Junior Stanislas is substituted on 30Formation Change  4231  4231 30Joshua King is substituted off 38Jermain Defoe hits the woodwork (To the left, 18-yard box, Big Chance, Right footed, Open play) 45Marc Pugh is substituted off 45Ryan Fraser is substituted on 48Nathan Aké tackles and wins possession (Last line) 55Charlie Daniels is substituted off 55Steve Cook is substituted on 55Formation Change  4231  4231","0Formation Set  433  433 10Philippe Coutinho hits the woodwork (To the right, Out of box, Right footed, Free kick) 19GOAL! Philippe Coutinho scores , Assisted by Andrew Robertson (Low to the left, 18-yard box, Right footed, Open play) 19Andrew Robertson assists a goal (Key pass, Open play) 25GOAL! Dejan Lovren scores , Assisted by Roberto Firmino (Low to the centre, 6-yard box, Big Chance, Head, From corner) 25Roberto Firmino assists a goal (Key pass, From corner) 43Alex Oxlade-Chamberlain assists a goal (Long Ball, Key pass, Open play) 43GOAL! Mohamed Salah scores , Assisted by Alex Oxlade-Chamberlain (Low to the left, 18-yard box, Left footed, Open play) 58Alex Oxlade-Chamberlain hits the woodwork (To the left, 18-yard box, Left footed, Open play) 65Philippe Coutinho assists a goal (Off the ground, Cross, Key pass, Open play) 65GOAL! Roberto Firmino scores , Assisted by Philippe Coutinho (Low to the left, 18-yard box, Big Chance, Head, Open play) 70Adam Lallana is substituted on 70Formation Change  433  433 70Mohamed Salah is substituted off 72Adam Lallana recieves a yellow card 76Roberto Firmino is substituted off 76Dominic Solanke is substituted on 86Philippe Coutinho is substituted off 86Danny Ings is substituted on 86Formation Change  442  442","Player Statistics","https://www.whoscored.com/Matches/1190544/LiveStatistics/England-Premier-League-2017-2018-Bournemouth-Liverpool","Bournemouth0 : 4LiverpoolElapsed:FTHalf time:0 : 3Full time:0 : 4Kick off:16:30Date:Sun, 17-Dec-17","6Shots212Shots on target780%Pass Success %88%53%Aerial Duel Success47%6Dribbles won79Tackles12Possession44%56%","","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Simon Mignolet  30,  GK     0	0	1	0	0	7.11  2 	Joseph Gomez  20,  DR     1	4	0	0	1	7.27  3 	Dejan Lovren  28,  DC     1	1	3	0	1	8.05   4 	Ragnar Klavan  32,  DC     0	3	5	1	0	7.51  5 	Andrew Robertson  23,  DL     1	4	7	1	0	7.88   6 	Georginio Wijnaldum  27,  MC     1	2	2	0	1	7.14  7 	Jordan Henderson  27,  MC     2	1	0	0	2	7.52  8 	Alex Oxlade-Chamberlain  24,  MC     4	3	0	0	1	8.85    9 	Mohamed Salah (70′) 25,  FWR     0	0	0	0	0	8.36   10 	Roberto Firmino (76′) 26,  FW     1	0	0	0	2	8.43    11 	Philippe Coutinho (86′) 25,  FWL     1	2	0	0	0	9.80     12 	Adam Lallana (70′) 29,  Sub     0	1	0	0	1	6.19   13 	Dominic Solanke (76′) 20,  Sub     0	0	0	0	1	6.14  14 	Danny Ings (86′) 25,  Sub     0	0	0	0	0	6.06  15 	Loris Karius  24,  Sub     0	0	0	0	0	-  16 	Sadio Mané  25,  Sub     0	0	0	0	0	-  17 	James Milner  32,  Sub     0	0	0	0	0	-  18 	Trent Alexander-Arnold  19,  Sub     0	0	0	0	0	-"
"1520632770-1211","https://www.whoscored.com/Teams/26/Fixtures/England-Liverpool","1 : 1","https://www.whoscored.com/Matches/1190261/Live/England-Premier-League-2017-2018-Newcastle-United-Liverpool","0Formation Set  4231  4231 35GOAL! Joselu scores  (Low to the right, 18-yard box, Left footed, Open play) 54Ayoze Pérez recieves a yellow card 73Mikel Merino is substituted off 73Isaac Hayden is substituted on 73Formation Change  4231  4231 78Joselu is substituted off 78Dwight Gayle is substituted on 90Ayoze Pérez is substituted off 90Mohamed Diamé is substituted on","0Formation Set  433  433 28GOAL! Philippe Coutinho scores  (High to the left, Out of box, Right footed, Open play) 57Joseph Gomez recieves a yellow card 73Daniel Sturridge is substituted off 73Roberto Firmino is substituted on 73Sadio Mané is substituted off 73Dominic Solanke is substituted on 83Mohamed Salah is substituted off 83Alex Oxlade-Chamberlain is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190261/LiveStatistics/England-Premier-League-2017-2018-Newcastle-United-Liverpool","Newcastle United1 : 1LiverpoolElapsed:FTHalf time:1 : 1Full time:1 : 1Kick off:16:30Date:Sun, 01-Oct-17","8Shots175Shots on target265%Pass Success %84%46%Aerial Duel Success54%3Dribbles won1014Tackles16Possession32%68%","",""
"1520632113-737","https://www.whoscored.com/Teams/26/Fixtures/England-Liverpool","2 : 0","https://www.whoscored.com/Matches/1190349/Live/England-Premier-League-2017-2018-Liverpool-Newcastle-United","0Formation Set  433  433 39Alex Oxlade-Chamberlain assists a goal (Key pass, Open play) 39GOAL! Mohamed Salah scores , Assisted by Alex Oxlade-Chamberlain (High to the centre, 18-yard box, Big Chance, Left footed, Open play) 54GOAL! Sadio Mané scores , Assisted by Roberto Firmino (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 54Roberto Firmino assists a goal (Key pass, Open play) 73Sadio Mané is substituted off 73Adam Lallana is substituted on 73Formation Change  433  433 78Alex Oxlade-Chamberlain is substituted off 78James Milner is substituted on 87Roberto Firmino is substituted off 87Joel Matip is substituted on","0Formation Set  3421  3421 65Dwight Gayle is substituted off 65Joselu is substituted on 72Mikel Merino is substituted off 72Isaac Hayden is substituted on 72Formation Change  4231  4231 83Jacob Murphy is substituted off 83Ayoze Pérez is substituted on 83Formation Change  4411  4411","Player Statistics","https://www.whoscored.com/Matches/1190349/LiveStatistics/England-Premier-League-2017-2018-Liverpool-Newcastle-United","Liverpool2 : 0Newcastle UnitedElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:17:30Date:Sat, 03-Mar-18","14Shots73Shots on target285%Pass Success %65%58%Aerial Duel Success42%8Dribbles won2326Tackles12Possession71%29%","",""
"1520632971-1351","https://www.whoscored.com/Teams/26/Fixtures/England-Liverpool","1 : 0","https://www.whoscored.com/Matches/1190188/Live/England-Premier-League-2017-2018-Liverpool-Crystal-Palace","0Formation Set  433  433 60Daniel Sturridge is substituted off 60Formation Change  433  433 60Mohamed Salah is substituted on 68Jordan Henderson recieves a yellow card 70Georginio Wijnaldum is substituted off 70Dominic Solanke is substituted on 70Formation Change  4231  4231 72GOAL! Sadio Mané scores  (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 89Roberto Firmino is substituted off 89Dejan Lovren is substituted on 89Formation Change  541  541","0Formation Set  352  352 14Jason Puncheon recieves a yellow card 62Patrick van Aanholt recieves a yellow card 72Luka Milivojevic commits an error (Leading to goal) 73Jason Puncheon is substituted off 73James McArthur is substituted on 73Formation Change  3421  3421 76Sullay Kaikai is substituted on 76Luka Milivojevic is substituted off 83Patrick van Aanholt is substituted off 83Jeffrey Schlupp is substituted on 91Christian Benteke recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190188/LiveStatistics/England-Premier-League-2017-2018-Liverpool-Crystal-Palace","Liverpool1 : 0Crystal PalaceElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:15:00Date:Sat, 19-Aug-17","23Shots413Shots on target185%Pass Success %65%61%Aerial Duel Success39%13Dribbles won1024Tackles21Possession72%28%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Simon Mignolet  30,  GK     0	0	0	0	0	0	0	0	6.78  2 	Joseph Gomez  20,  DR     0	0	2	1	1	0	3	0	7.41  3 	Joel Matip  26,  DC     1	0	1	0	6	0	0	0	7.59  4 	Ragnar Klavan  32,  DC     0	0	1	3	2	0	0	0	7.87  5 	Andrew Robertson  23,  DL     2	1	3	0	0	0	2	1	7.34  6 	Georginio Wijnaldum (70′) 27,  MC     2	1	0	1	2	0	0	1	6.63  7 	Jordan Henderson  27,  MC     1	1	1	0	0	0	1	1	7.49   8 	James Milner  32,  MC     2	1	0	1	0	0	1	1	7.56  9 	Sadio Mané  25,  FWR     5	4	1	2	0	0	2	7	7.66   10 	Daniel Sturridge (60′) 28,  FW     2	0	1	4	2	0	1	4	6.73  11 	Roberto Firmino (89′) 26,  FWL     5	2	2	0	0	1	3	0	7.04  12 	Dejan Lovren (89′) 28,  Sub     0	0	0	0	0	0	0	0	6.03  13 	Mohamed Salah (60′) 25,  Sub     2	2	1	1	0	1	3	1	6.78  14 	Dominic Solanke (70′) 20,  Sub     1	1	1	0	0	0	1	0	6.55  15 	Divock Origi  22,  Sub     0	0	0	0	0	0	0	0	-  16 	Loris Karius  24,  Sub     0	0	0	0	0	0	0	0	-  17 	Emre Can  24,  Sub     0	0	0	0	0	0	0	0	-  18 	Jon Flanagan  25,  Sub     0	0	0	0	0	0	0	0	-",""
"1520633044-1405","https://www.whoscored.com/Teams/26/Fixtures/England-Liverpool","0 : 4","https://www.whoscored.com/Matches/1191525/Live/International-Club-Friendlies-2017-Tranmere-Liverpool","null","null","Player Statistics","https://www.whoscored.com/Matches/1191525/Live/International-Club-Friendlies-2017-Tranmere-Liverpool#","Tranmere0 : 4LiverpoolElapsed:FTHalf time:0 : 2Full time:0 : 4Kick off:19:45Date:Wed, 12-Jul-17","null","",""
"1520632135-754","https://www.whoscored.com/Teams/26/Fixtures/England-Liverpool","4 : 1","https://www.whoscored.com/Matches/1190443/Live/England-Premier-League-2017-2018-Liverpool-West-Ham","0Formation Set  433  433 28Mohamed Salah assists a goal (Off the ground, Cross, Long Ball, Corner, Key pass, From corner) 28GOAL! Emre Can scores , Assisted by Mohamed Salah (Low to the left, 6-yard box, Head, From corner) 50GOAL! Mohamed Salah scores , Assisted by Alex Oxlade-Chamberlain (Low to the right, 18-yard box, Left footed, Open play) 50Alex Oxlade-Chamberlain assists a goal (Key pass, Open play) 56GOAL! Roberto Firmino scores , Assisted by Emre Can (Low to the right, 18-yard box, Big Chance, Right footed, Open play) 56Emre Can assists a goal (Off the ground, Through Ball, Key pass, Open play) 72Sadio Mané hits the woodwork (To the left, 18-yard box, Big Chance, Left footed, Open play) 76GOAL! Sadio Mané scores , Assisted by Andrew Robertson (Low to the left, 6-yard box, Big Chance, Right footed, Open play) 76Andrew Robertson assists a goal (Key pass, Open play) 81Roberto Firmino is substituted off 81Adam Lallana is substituted on 86Sadio Mané is substituted off 86Alberto Moreno is substituted on 86Mohamed Salah is substituted off 86Dominic Solanke is substituted on 86Formation Change  433  433","0Formation Set  3421  3421 42James Collins recieves a yellow card 46Cheikhou Kouyaté recieves a yellow card 57Manuel Lanzini is substituted off 57Michail Antonio is substituted on 58Cheikhou Kouyaté assists a goal (Through Ball, Key pass, Fast break) 58GOAL! Michail Antonio scores , Assisted by Cheikhou Kouyaté (Low to the left, 18-yard box, Right footed, Fast break) 59Formation Change  541  541 82Marko Arnautovic is substituted off 82Chicharito is substituted on 82João Mário is substituted off 82Declan Rice is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190443/LiveStatistics/England-Premier-League-2017-2018-Liverpool-West-Ham","Liverpool4 : 1West HamElapsed:FTHalf time:1 : 0Full time:4 : 1Kick off:15:00Date:Sat, 24-Feb-18","21Shots712Shots on target486%Pass Success %69%53%Aerial Duel Success47%11Dribbles won927Tackles19Possession68%32%","",""
"1520632316-894","https://www.whoscored.com/Teams/26/Fixtures/England-Liverpool","2 : 1","https://www.whoscored.com/Matches/1250094/Live/England-FA-Cup-2017-2018-Liverpool-Everton","0Formation Set  4231  4231 34GOAL! James Milner scores  (Low to the centre, 18-yard box, Penalty, Big Chance, Right footed) 69Georginio Wijnaldum is substituted on 69Adam Lallana is substituted off 76Trent Alexander-Arnold is substituted on 76Joseph Gomez is substituted off 76Dominic Solanke is substituted on 76Formation Change  4231  4231 76James Milner is substituted off 83GOAL! Virgil van Dijk scores , Assisted by Alex Oxlade-Chamberlain (Low to the left, 18-yard box, Head, From corner) 83Alex Oxlade-Chamberlain assists a goal (Cross, Long Ball, Corner, Off the ground, Key pass, From corner) 85Formation Change  4231  4231 87Dominic Solanke recieves a yellow card 92Formation Change  442  442","0Formation Set  4231  4231 6Wayne Rooney recieves a yellow card 51Ademola Lookman is substituted on 51Wayne Rooney is substituted off 52Formation Change  4231  4231 59James McCarthy recieves a yellow card 66Phil Jagielka assists a goal (Key pass, Fast break) 66GOAL! Gylfi Sigurdsson scores , Assisted by Phil Jagielka (Low to the right, Out of box, Right footed, Fast break) 81Dominic Calvert-Lewin is substituted off 81Oumar Niasse is substituted on 85James McCarthy is substituted off 85Tom Davies is substituted on","Player Statistics","https://www.whoscored.com/Matches/1250094/LiveStatistics/England-FA-Cup-2017-2018-Liverpool-Everton","Liverpool2 : 1EvertonElapsed:FTHalf time:1 : 0Full time:2 : 1Kick off:19:55Date:Fri, 05-Jan-18","14Shots44Shots on target179%Pass Success %69%49%Aerial Duel Success51%13Dribbles won1417Tackles13Possession61%39%","","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Jordan Pickford  24,  GK     0	0	1	0	0	6.17  2 	Jonjoe Kenny  20,  DR     1	3	4	0	1	6.75  3 	Phil Jagielka  35,  DC     1	3	12	1	0	7.81   4 	Mason Holgate  21,  DC     3	2	6	0	1	6.37  5 	Cuco Martina  28,  DL     1	3	1	0	2	6.29  6 	Morgan Schneiderlin  28,  DMC     3	2	1	0	1	7.05  7 	James McCarthy (85′) 27,  DMC     1	1	3	0	4	6.16   8 	Yannick Bolasie  28,  AMR     0	0	0	0	0	6.42  9 	Wayne Rooney (51′) 32,  AMC     1	0	0	0	3	5.91   10 	Gylfi Sigurdsson  28,  AML     1	2	3	0	1	7.27   11 	Dominic Calvert-Lewin (81′) 20,  FW     1	0	1	0	3	6.35  12 	Oumar Niasse (81′) 27,  Sub     0	0	0	0	0	5.83  13 	Ademola Lookman (51′) 20,  Sub     0	1	1	0	0	7.06  14 	Tom Davies (85′) 19,  Sub     0	0	0	0	0	5.91  15 	Beni Baningime  19,  Sub     0	0	0	0	0	-  16 	Nikola Vlasic  20,  Sub     0	0	0	0	0	-  17 	Joel Robles  27,  Sub     0	0	0	0	0	-  18 	Ashley Williams  33,  Sub     0	0	0	0	0	-"
"1520632701-1153","https://www.whoscored.com/Teams/26/Fixtures/England-Liverpool","4 : 1","https://www.whoscored.com/Matches/1190234/Live/England-Premier-League-2017-2018-Tottenham-Liverpool","0Formation Set  352  352 3Kieran Trippier assists a goal (Through Ball, Off the ground, Long Ball, Key pass, Open play) 3GOAL! Harry Kane scores , Assisted by Kieran Trippier (Low to the centre, 18-yard box, Big Chance, Left footed, Open play) 11GOAL! Son Heung-Min scores , Assisted by Harry Kane (Low to the left, 18-yard box, Big Chance, Left footed, Fast break) 11Harry Kane assists a goal (Key pass, Fast break) 15Son Heung-Min hits the woodwork (High, 18-yard box, Right footed, Open play) 47GOAL! Dele Alli scores  (Low to the left, 18-yard box, Right footed, Set piece) 55GOAL! Harry Kane scores  (Low to the right, 18-yard box, Big Chance, Right footed, Set piece) 68Moussa Sissoko is substituted on 68Son Heung-Min is substituted off 71Formation Change  532  532 80Christian Eriksen is substituted off 80Eric Dier is substituted on 81Formation Change  532  532 87Harry Kane is substituted off 87Fernando Llorente is substituted on","0Formation Set  433  433 11Dejan Lovren commits an error (Leading to goal) 23GOAL! Mohamed Salah scores , Assisted by Jordan Henderson (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 23Jordan Henderson assists a goal (Long Ball, Off the ground, Key pass, Open play) 31Alex Oxlade-Chamberlain is substituted on 31Dejan Lovren is substituted off 38Formation Change  433  433 46Emre Can recieves a yellow card 55Simon Mignolet commits an error (Leading to goal) 55Roberto Firmino blocks a shot (Last line) 76Roberto Firmino is substituted off 76Daniel Sturridge is substituted on 82Emre Can is substituted off 82Marko Grujic is substituted on 88Formation Change  433  433","Player Statistics","https://www.whoscored.com/Matches/1190234/LiveStatistics/England-Premier-League-2017-2018-Tottenham-Liverpool","Tottenham4 : 1LiverpoolElapsed:FTHalf time:3 : 1Full time:4 : 1Kick off:16:00Date:Sun, 22-Oct-17","14Shots126Shots on target775%Pass Success %87%56%Aerial Duel Success44%6Dribbles won1022Tackles26Possession36%64%","",""
"1520632859-1272","https://www.whoscored.com/Teams/26/Fixtures/England-Liverpool","1 : 1","https://www.whoscored.com/Matches/1190196/Live/England-Premier-League-2017-2018-Liverpool-Burnley","0Formation Set  433  433 29Emre Can assists a goal (Off the ground, Long Ball, Key pass, Open play) 29GOAL! Mohamed Salah scores , Assisted by Emre Can (Low to the left, 18-yard box, Left footed, Open play) 78Philippe Coutinho is substituted off 78Dominic Solanke is substituted on 78Roberto Firmino is substituted off 78Alex Oxlade-Chamberlain is substituted on 79Joel Matip blocks a shot (Last line) 85Dominic Solanke hits the woodwork (High, 6-yard box, Big Chance, Right footed, Open play) 92Emre Can recieves a yellow card","0Formation Set  4411  4411 26GOAL! Scott Arfield scores  (Low to the left, 18-yard box, Right footed, Open play) 54Nick Pope recieves a yellow card 59Johann Berg Gudmundsson is substituted off 59Ashley Barnes is substituted on 59Formation Change  4411  4411 86Sam Vokes is substituted on 86Ashley Westwood is substituted on 86Steven Defour is substituted off 86Chris Wood is substituted off 92Jack Cork recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190196/LiveStatistics/England-Premier-League-2017-2018-Liverpool-Burnley","Liverpool1 : 1BurnleyElapsed:FTHalf time:1 : 1Full time:1 : 1Kick off:15:00Date:Sat, 16-Sep-17","35Shots59Shots on target486%Pass Success %65%35%Aerial Duel Success65%14Dribbles won36Tackles11Possession71%29%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Simon Mignolet  30,  GK     0	25	80	0	0	7	2	0	0	6.36  2 	Trent Alexander-Arnold  19,  DR     7	45	77.8	10	2	7	5	0	0	7.20  3 	Joel Matip  26,  DC     0	85	90.6	0	0	6	5	0	0	7.14   4 	Ragnar Klavan  32,  DC     1	102	91.2	0	0	7	2	0	0	6.74  5 	Andrew Robertson  23,  DL     1	66	90.9	4	0	6	3	0	0	6.22  6 	Philippe Coutinho (78′) 25,  MC     5	73	82.2	3	1	6	2	1	0	7.43  7 	Emre Can  24,  MC     2	79	86.1	0	0	9	4	0	0	7.36    8 	James Milner  32,  MC     6	69	85.5	10	2	3	1	0	0	7.19  9 	Mohamed Salah  25,  FWR     3	41	80.5	5	0	1	1	0	0	8.00   10 	Daniel Sturridge  28,  FW     4	31	90.3	1	1	1	1	0	0	7.52  11 	Roberto Firmino (78′) 26,  FWL     5	43	79.1	1	0	2	1	0	0	6.62  12 	Alex Oxlade-Chamberlain (78′) 24,  Sub     0	9	88.9	0	0	0	0	0	0	6.07  13 	Dominic Solanke (78′) 20,  Sub     0	8	75	0	0	0	0	0	0	6.34   14 	Dejan Lovren  28,  Sub     0	0	0	0	0	0	0	0	0	-  15 	Loris Karius  24,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Georginio Wijnaldum  27,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Alberto Moreno  25,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Jordan Henderson  27,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520632814-1233","https://www.whoscored.com/Teams/26/Fixtures/England-Liverpool","2 : 3","https://www.whoscored.com/Matches/1190222/Live/England-Premier-League-2017-2018-Leicester-Liverpool","0Formation Set  4411  4411 16Marc Albrighton recieves a yellow card 21Wilfred Ndidi recieves a yellow card 47Harry Maguire is caught offside 47GOAL! Shinji Okazaki scores , Assisted by Harry Maguire (Low to the left, 6-yard box, Big Chance, Right footed, From corner) 60Riyad Mahrez is substituted off 60Demarai Gray is substituted on 68GOAL! Jamie Vardy scores  (Low to the centre, 6-yard box, Big Chance, Head, Open play) 72Jamie Vardy has attempt saved (High to the centre, 18-yard box, Big Chance, Penalty, Right footed)  73Kelechi Iheanacho is substituted on 73Shinji Okazaki is substituted off 79Marc Albrighton is substituted off 79Islam Slimani is substituted on 81Formation Change  442  442 91Jamie Vardy recieves a yellow card","0Formation Set  433  433 12Emre Can hits the woodwork (To the left, Out of box, Right footed, Open play) 14GOAL! Mohamed Salah scores , Assisted by Philippe Coutinho (High to the right, 6-yard box, Head, Open play) 14Philippe Coutinho assists a goal (Off the ground, Cross, Key pass, Open play) 22GOAL! Philippe Coutinho scores  (Low to the left, Out of box, Right footed, Free kick) 46Joel Matip recieves a yellow card 55Dejan Lovren recieves a yellow card 63Roberto Firmino is substituted off 63Daniel Sturridge is substituted on 67Daniel Sturridge assists a goal (Key pass, Fast break) 67GOAL! Jordan Henderson scores , Assisted by Daniel Sturridge (Low to the left, 18-yard box, Big Chance, Right footed, Fast break) 71Simon Mignolet recieves a yellow card 72Simon Mignolet PenaltyFaced (Saved, Diving, To the right, Penalty) 73Emre Can is substituted off 73James Milner is substituted on 78Philippe Coutinho is substituted off 78Alex Oxlade-Chamberlain is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190222/LiveStatistics/England-Premier-League-2017-2018-Leicester-Liverpool","Leicester2 : 3LiverpoolElapsed:FTHalf time:1 : 2Full time:2 : 3Kick off:17:30Date:Sat, 23-Sep-17","12Shots237Shots on target665%Pass Success %72%44%Aerial Duel Success56%10Dribbles won1215Tackles14Possession43%57%","",""
