web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520631151-518","https://www.whoscored.com/Teams/167/Fixtures/England-Manchester-City","3 : 0","https://www.whoscored.com/Matches/1190228/Live/England-Premier-League-2017-2018-Manchester-City-Burnley","0Formation Set  433  433 28Leroy Sané recieves a yellow card 29GOAL! Sergio Agüero scores  (Low to the right, 18-yard box, Big Chance, Penalty, Right footed) 43Fernandinho recieves a yellow card 72GOAL! Nicolás Otamendi scores , Assisted by Leroy Sané (Low to the right, 18-yard box, Head, From corner) 72Leroy Sané assists a goal (Off the ground, Long Ball, Cross, Corner, Key pass, From corner) 74Kevin De Bruyne assists a goal (Key pass, Open play) 74GOAL! Leroy Sané scores , Assisted by Kevin De Bruyne (Low to the right, 18-yard box, Big Chance, Left footed, Open play) 75Sergio Agüero is substituted off 75Gabriel Jesus is substituted on 77Yaya Touré is substituted on 77Fernandinho is substituted off 79Kevin De Bruyne is substituted off 79Ilkay Gündogan is substituted on","0Formation Set  4411  4411 19Chris Wood is substituted off 19Ashley Barnes is substituted on 28James Tarkowski recieves a yellow card 51Jack Cork recieves a yellow card 56Ashley Barnes recieves a yellow card 70Jeff Hendrick is substituted off 70Johann Berg Gudmundsson is substituted on 83Ashley Westwood is substituted on 83Steven Defour is substituted off","Player Statistics","https://www.whoscored.com/Matches/1190228/LiveStatistics/England-Premier-League-2017-2018-Manchester-City-Burnley","Manchester City3 : 0BurnleyElapsed:FTHalf time:1 : 0Full time:3 : 0Kick off:15:00Date:Sat, 21-Oct-17","15Shots610Shots on target090%Pass Success %65%68%Aerial Duel Success32%17Dribbles won69Tackles14Possession77%23%","",""
"1520630757-241","https://www.whoscored.com/Teams/167/Fixtures/England-Manchester-City","3 : 1","https://www.whoscored.com/Matches/1190440/Live/England-Premier-League-2017-2018-Manchester-City-Watford","0Leroy Sané assists a goal (Off the ground, Cross, Key pass, Open play) 0Formation Set  433  433 0GOAL! Raheem Sterling scores , Assisted by Leroy Sané (Low to the right, 6-yard box, Big Chance, Left footed, Open play) 12Christian Kabasele scores an OWN GOAL!  (Low to the left, 18-yard box, Right footed, Open play) 23David Silva recieves a yellow card 62GOAL! Sergio Agüero scores  (Low to the left, 6-yard box, Big Chance, Right footed, From corner) 66John Stones is substituted off 66Danilo is substituted on 70Yaya Touré is substituted on 70Fernandinho is substituted off 78Kevin De Bruyne is substituted off 78Bernardo Silva is substituted on","0Formation Set  4231  4231 60Etienne Capoue is substituted off 60Ben Watson is substituted off 60Roberto Pereyra is substituted on 60Tom Cleverley is substituted on 61Formation Change  4141  4141 62Heurelho Gomes commits an error (Leading to goal) 81GOAL! Andre Gray scores , Assisted by André Carrillo (Low to the centre, 6-yard box, Big Chance, Right footed, Open play) 81Richarlison is substituted off 81Jerome Sinclair is substituted on 81André Carrillo assists a goal (Key pass, Open play) 82Roberto Pereyra recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190440/LiveStatistics/England-Premier-League-2017-2018-Manchester-City-Watford","Manchester City3 : 1WatfordElapsed:FTHalf time:2 : 0Full time:3 : 1Kick off:20:00Date:Tue, 02-Jan-18","18Shots77Shots on target492%Pass Success %69%55%Aerial Duel Success45%16Dribbles won814Tackles25Possession77%23%","",""
"1520631242-588","https://www.whoscored.com/Teams/167/Fixtures/England-Manchester-City","2 : 0","https://www.whoscored.com/Matches/1238341/Live/Europe-UEFA-Champions-League-2017-2018-Manchester-City-Shakhtar-Donetsk","0Formation Set  433  433 11Fernandinho tackles and wins possession (Last line) 47GOAL! Kevin De Bruyne scores , Assisted by David Silva (High to the right, Out of box, Right footed, Open play) 47David Silva assists a goal (Key pass, Open play) 54Raheem Sterling is substituted on 54Gabriel Jesus is substituted off 71Sergio Agüero has attempt saved (Low to the left, 18-yard box, Penalty, Big Chance, Right footed)  80Ilkay Gündogan is substituted on 80David Silva is substituted off 80Formation Change  433  433 84Sergio Agüero is substituted off 84Bernardo Silva is substituted on 89Bernardo Silva assists a goal (Key pass, Open play) 89GOAL! Raheem Sterling scores , Assisted by Bernardo Silva (High to the left, 18-yard box, Big Chance, Right footed, Open play)","0Formation Set  4231  4231 65Ivan Ordets recieves a yellow card 71Andriy Pyatov PenaltyFaced (Saved, Diving, To the right, Penalty) 77Marlos is substituted off 77Dentinho is substituted on 77Formation Change  4231  4231 88Bernard is substituted off 88Ivan Petryak is substituted on 90Fred is substituted off 90Viktor Kovalenko is substituted on","Player Statistics","https://www.whoscored.com/Matches/1238341/LiveStatistics/Europe-UEFA-Champions-League-2017-2018-Manchester-City-Shakhtar-Donetsk","Manchester City2 : 0Shakhtar DonetskElapsed:FTHalf time:0 : 0Full time:2 : 0Kick off:19:45Date:Tue, 26-Sep-17","18Shots67Shots on target290%Pass Success %80%57%Aerial Duel Success43%15Dribbles won1222Tackles18Possession56%44%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Ederson  24,  GK     0	27	92.6	0	0	5	3	0	0	7.41  2 	Kyle Walker  27,  DR     1	79	91.1	0	0	4	2	0	0	7.63  3 	Nicolás Otamendi  30,  DC     0	85	96.5	0	0	10	8	0	0	7.36  4 	John Stones  23,  DC     0	101	92.1	0	0	8	5	0	0	7.14  5 	Fabian Delph  28,  DL     2	64	90.6	1	0	2	1	0	0	8.27  6 	Kevin De Bruyne  26,  MC     3	51	74.5	6	2	6	4	4	1	8.67   7 	Fernandinho  32,  MC     0	78	96.2	0	0	6	5	0	0	8.14   8 	David Silva (80′) 32,  MC     4	56	80.4	0	0	0	0	4	1	7.69   9 	Gabriel Jesus (54′) 20,  FWR     1	18	83.3	0	0	1	1	0	0	7.19  10 	Sergio Agüero (84′) 29,  FW     0	8	87.5	0	0	0	0	0	0	5.90   11 	Leroy Sané  22,  FWL     1	28	92.9	6	2	1	1	0	0	8.18  12 	Ilkay Gündogan (80′) 27,  Sub     2	5	80	0	0	1	1	1	1	6.40  13 	Bernardo Silva (84′) 23,  Sub     1	1	100	0	0	0	0	0	0	6.89   14 	Raheem Sterling (54′) 23,  Sub     0	5	100	1	0	0	0	0	0	6.82   15 	Danilo  26,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Claudio Bravo  34,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Eliaquim Mangala  27,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Yaya Touré  34,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520630895-349","https://www.whoscored.com/Teams/167/Fixtures/England-Manchester-City","0 : 4","https://www.whoscored.com/Matches/1190523/Live/England-Premier-League-2017-2018-Swansea-Manchester-City","0Formation Set  451  451 45Tom Carroll is substituted off 45Tammy Abraham is substituted on 64Nathan Dyer is substituted off 64Luciano Narsingh is substituted on 73Wilfried Bony is substituted off 73Leroy Fer is substituted on 73Formation Change  4312  4312","0Formation Set  433  433 26Bernardo Silva assists a goal (Off the ground, Cross, Key pass, Open play) 26GOAL! David Silva scores , Assisted by Bernardo Silva (Low to the left, 6-yard box, Big Chance, Left footed, Open play) 33GOAL! Kevin De Bruyne scores  (Low to the right, Out of box, Right footed, Free kick) 51Raheem Sterling assists a goal (Key pass, Open play) 51GOAL! David Silva scores , Assisted by Raheem Sterling (Low to the centre, 6-yard box, Big Chance, Left footed, Open play) 57Fernandinho is substituted off 57Yaya Touré is substituted on 72Fabian Delph is substituted off 72Oleksandr Zinchenko is substituted on 76Kevin De Bruyne is substituted off 76Ilkay Gündogan is substituted on 84Yaya Touré assists a goal (Key pass, Open play) 84GOAL! Sergio Agüero scores , Assisted by Yaya Touré (Low to the left, 18-yard box, Right footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190523/LiveStatistics/England-Premier-League-2017-2018-Swansea-Manchester-City","Swansea0 : 4Manchester CityElapsed:FTHalf time:0 : 2Full time:0 : 4Kick off:19:45Date:Wed, 13-Dec-17","7Shots233Shots on target1066%Pass Success %92%48%Aerial Duel Success52%14Dribbles won1912Tackles17Possession21%79%","","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Ederson  24,  GK     0	0	1	87.1	0	40	7.78  2 	Danilo  26,  DR     1	1	0	94.8	2	122	7.99  3 	Nicolás Otamendi  30,  DC     1	0	1	96.7	1	100	7.03  4 	Eliaquim Mangala  27,  DC     0	0	0	93.6	2	85	7.22  5 	Fabian Delph (72′) 28,  DL     0	0	1	95.9	0	86	7.60  6 	Kevin De Bruyne (76′) 26,  MC     3	2	2	78.3	0	85	8.47   7 	Fernandinho (57′) 32,  MC     1	1	0	96.5	3	91	7.15  8 	David Silva  32,  MC     3	2	1	92.8	1	129	9.31    9 	Bernardo Silva  23,  FWR     1	1	5	81	0	55	8.50   10 	Sergio Agüero  29,  FW     8	3	1	84.6	1	60	8.90   11 	Raheem Sterling  23,  FWL     4	0	1	88	0	69	7.19   12 	Ilkay Gündogan (76′) 27,  Sub     0	0	1	93.8	0	19	6.35  13 	Oleksandr Zinchenko (72′) 21,  Sub     1	0	1	90.9	1	22	7.24  14 	Yaya Touré (57′) 34,  Sub     0	0	1	93	0	47	6.55   15 	Gabriel Jesus  20,  Sub     0	0	0	0	0	0	-  16 	Claudio Bravo  34,  Sub     0	0	0	0	0	0	-  17 	Leroy Sané  22,  Sub     0	0	0	0	0	0	-  18 	Kyle Walker  27,  Sub     0	0	0	0	0	0	-"
"1520630551-100","https://www.whoscored.com/Teams/167/Fixtures/England-Manchester-City","5 : 1","https://www.whoscored.com/Matches/1190391/Live/England-Premier-League-2017-2018-Manchester-City-Leicester","0Formation Set  433  433 2Kevin De Bruyne assists a goal (Off the ground, Cross, Key pass, Open play) 2GOAL! Raheem Sterling scores , Assisted by Kevin De Bruyne (Low to the left, 6-yard box, Big Chance, Left footed, Open play) 23Nicolás Otamendi commits an error (Leading to goal) 47Kevin De Bruyne assists a goal (Key pass, Open play) 47GOAL! Sergio Agüero scores , Assisted by Kevin De Bruyne (Low to the right, 6-yard box, Big Chance, Right footed, Open play) 52Kevin De Bruyne assists a goal (Key pass, Open play) 52GOAL! Sergio Agüero scores , Assisted by Kevin De Bruyne (Low to the right, 18-yard box, Right footed, Open play) 64Oleksandr Zinchenko is substituted off 64Danilo is substituted on 72Ilkay Gündogan recieves a yellow card 76GOAL! Sergio Agüero scores  (Low to the centre, 18-yard box, Big Chance, Right footed, Open play) 79Phil Foden is substituted on 79Formation Change  433  433 79Fernandinho is substituted off 80Nicolás Otamendi is substituted off 80John Stones is substituted on 82Aymeric Laporte recieves a yellow card 89Phil Foden assists a goal (Key pass, Open play) 89GOAL! Sergio Agüero scores , Assisted by Phil Foden (High to the centre, Out of box, Right footed, Open play)","0Formation Set  352  352 23GOAL! Jamie Vardy scores  (Low to the left, 18-yard box, Right footed, Open play) 28Formation Change  4411  4411 40Aleksandar Dragovic blocks a shot (Last line) 45Danny Simpson is substituted on 45Formation Change  4141  4141 45Adrien Silva is substituted off 61Riyad Mahrez is substituted on 61Ben Chilwell is substituted off 61Fousseni Diabaté is substituted off 61Kelechi Iheanacho is substituted on 62Formation Change  4411  4411 70Wilfred Ndidi recieves a yellow card 76Kasper Schmeichel commits an error (Leading to goal) 82Jamie Vardy recieves a yellow card 88Harry Maguire recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190391/LiveStatistics/England-Premier-League-2017-2018-Manchester-City-Leicester","Manchester City5 : 1LeicesterElapsed:FTHalf time:1 : 1Full time:5 : 1Kick off:17:30Date:Sat, 10-Feb-18","19Shots211Shots on target287%Pass Success %66%39%Aerial Duel Success61%18Dribbles won1111Tackles18Possession71%29%","",""
"1520630412-8","https://www.whoscored.com/Teams/167/Fixtures/England-Manchester-City","*1 : 2","https://www.whoscored.com/Matches/1250816/Live/Europe-UEFA-Champions-League-2017-2018-Manchester-City-FC-Basel-1893","0Formation Set  433  433 6Bernardo Silva assists a goal (Key pass, Open play) 7GOAL! Gabriel Jesus scores , Assisted by Bernardo Silva (Low to the left, 6-yard box, Big Chance, Left footed, Open play) 65Ilkay Gündogan is substituted off 65Brahim Diaz is substituted on 65Formation Change  433  433 76Gabriel Jesus recieves a yellow card 88Phil Foden is substituted off 88Tosin Adarabioyo is substituted on 88Formation Change  433  433","0Formation Set  3421  3421 16GOAL! Mohamed Elyounoussi scores  (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 43Léo Lacroix recieves a yellow card 67Kevin Bua is substituted off 67Valentin Stocker is substituted on 70Mohamed Elyounoussi assists a goal (Key pass, Open play) 70GOAL! Michael Lang scores , Assisted by Mohamed Elyounoussi (High to the right, 18-yard box, Right footed, Open play) 73Dimitri Oberlin is substituted off 73Ricky van Wolfswinkel is substituted on","Player Statistics","https://www.whoscored.com/Matches/1250816/LiveStatistics/Europe-UEFA-Champions-League-2017-2018-Manchester-City-FC-Basel-1893","Manchester City*1 : 2FC Basel 1893Elapsed:FTHalf time:1 : 1Full time:1 : 2Kick off:19:45Date:Wed, 07-Mar-18","7Shots63Shots on target392%Pass Success %77%67%Aerial Duel Success33%18Dribbles won1617Tackles12Possession78%22%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Claudio Bravo  34,  GK     0	39	87.2	0	0	10	5	0	0	6.23  2 	Danilo  26,  DR     0	143	95.1	1	0	7	5	0	0	6.89  3 	Aymeric Laporte  23,  DC     0	168	95.2	0	0	7	4	0	0	7.22  4 	John Stones  23,  DC     0	164	97	0	0	4	3	0	0	6.63  5 	Oleksandr Zinchenko  21,  DL     1	134	85.8	0	0	8	3	1	0	5.72  6 	Ilkay Gündogan (65′) 27,  MC     0	56	92.9	2	1	0	0	0	0	6.34  7 	Phil Foden (88′) 17,  MC     0	84	91.7	0	0	3	3	0	0	6.72  8 	Yaya Touré  34,  MC     0	119	97.5	0	0	1	1	0	0	6.42  9 	Bernardo Silva  23,  FWR     2	59	88.1	2	0	4	2	0	0	7.13   10 	Gabriel Jesus  20,  FW     0	29	75.9	0	0	0	0	0	0	6.96    11 	Leroy Sané  22,  FWL     3	44	86.4	5	1	1	1	0	0	7.30  12 	Brahim Diaz (65′) 18,  Sub     0	17	88.2	1	0	0	0	1	0	6.61  13 	Tosin Adarabioyo (88′) 20,  Sub     0	3	100	0	0	0	0	0	0	6.06  14 	Sergio Agüero  29,  Sub     0	0	0	0	0	0	0	0	0	-  15 	Nicolás Otamendi  30,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Kevin De Bruyne  26,  Sub     0	0	0	0	0	0	0	0	0	-  17 	Ederson  24,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Kyle Walker  27,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520630459-34","https://www.whoscored.com/Teams/167/Fixtures/England-Manchester-City","0 : 3","https://www.whoscored.com/Matches/1190419/Live/England-Premier-League-2017-2018-Arsenal-Manchester-City","0Formation Set  4231  4231 31Sead Kolasinac recieves a yellow card 52Pierre-Emerick Aubameyang has attempt saved (Low to the right, 18-yard box, Big Chance, Penalty, Right footed)","0Formation Set  433  433 14Leroy Sané assists a goal (Key pass, Open play) 14GOAL! Bernardo Silva scores , Assisted by Leroy Sané (High to the left, 18-yard box, Left footed, Open play) 18Nicolás Otamendi recieves a yellow card 27Sergio Agüero assists a goal (Key pass, Open play) 27GOAL! David Silva scores , Assisted by Sergio Agüero (High to the left, 18-yard box, Big Chance, Left footed, Open play) 32Kyle Walker assists a goal (Key pass, Open play) 32GOAL! Leroy Sané scores , Assisted by Kyle Walker (Low to the right, 18-yard box, Big Chance, Left footed, Open play) 52Ederson PenaltyFaced (Saved, Diving, To the left, Penalty) 71Oleksandr Zinchenko is substituted on 71Kyle Walker is substituted off 71Formation Change  433  433 81Sergio Agüero is substituted off 81Yaya Touré is substituted on 86David Silva is substituted off 86Gabriel Jesus is substituted on 86Formation Change  4411  4411","Player Statistics","https://www.whoscored.com/Matches/1190419/LiveStatistics/England-Premier-League-2017-2018-Arsenal-Manchester-City","Arsenal0 : 3Manchester CityElapsed:FTHalf time:0 : 3Full time:0 : 3Kick off:19:45Date:Thu, 01-Mar-18","10Shots95Shots on target578%Pass Success %85%40%Aerial Duel Success60%9Dribbles won2124Tackles11Possession46%54%","",""
"1520630780-263","https://www.whoscored.com/Teams/167/Fixtures/England-Manchester-City","0 : 0","https://www.whoscored.com/Matches/1190388/Live/England-Premier-League-2017-2018-Crystal-Palace-Manchester-City","0Formation Set  433  433 15Scott Dann recieves a yellow card 19Martin Kelly is substituted on 19Scott Dann is substituted off 21Formation Change  433  433 47Patrick van Aanholt recieves a yellow card 66Yohan Cabaye recieves a yellow card 75Jason Puncheon is substituted on 75Yohan Cabaye is substituted off 75Formation Change  433  433 91Luka Milivojevic has attempt saved (Low to the centre, 18-yard box, Big Chance, Penalty, Right footed)  91Martin Kelly recieves a yellow card 91Jason Puncheon recieves a yellow card 95Jason Puncheon is substituted off 95Lee Chung-yong is substituted on","0Formation Set  433  433 22Gabriel Jesus is substituted off 22Sergio Agüero is substituted on 50Leroy Sané recieves a yellow card 56Ilkay Gündogan is substituted off 56Formation Change  433  433 56Raheem Sterling is substituted on 78Sergio Agüero recieves a yellow card 80Bernardo Silva is substituted off 80Formation Change  433  433 80Yaya Touré is substituted on 89Yaya Touré recieves a yellow card 90Fernandinho recieves a yellow card 91Ederson PenaltyFaced (Diving, Saved, To the right, Penalty)","Player Statistics","https://www.whoscored.com/Matches/1190388/LiveStatistics/England-Premier-League-2017-2018-Crystal-Palace-Manchester-City","Crystal Palace0 : 0Manchester CityElapsed:FTHalf time:0 : 0Full time:0 : 0Kick off:12:00Date:Sun, 31-Dec-17","10Shots152Shots on target460%Pass Success %88%48%Aerial Duel Success52%17Dribbles won1419Tackles14Possession25%75%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Wayne Hennessey  31,  GK     0	0	0	0	0	0	0	0	7.62  2 	Timothy Fosu-Mensah  20,  DR     0	0	0	4	2	0	1	1	7.40  3 	James Tomkins  28,  DC     1	0	0	1	0	0	0	0	7.43  4 	Scott Dann (19′) 31,  DC     0	0	0	1	0	0	0	0	6.34   5 	Patrick van Aanholt  27,  DL     2	0	0	1	1	0	0	0	6.86   6 	Yohan Cabaye (75′) 32,  MC     0	0	1	1	0	0	4	0	6.91   7 	Jairo Riedewald  21,  MC     0	0	0	0	0	0	0	1	6.85  8 	Luka Milivojevic  26,  MC     1	1	0	1	2	1	0	2	6.62   9 	Andros Townsend  26,  FWR     2	0	2	0	1	2	1	3	6.33  10 	Christian Benteke  27,  FW     3	1	1	1	0	0	3	3	6.95  11 	Wilfried Zaha  25,  FWL     0	0	2	7	5	1	1	3	7.70  12 	Martin Kelly (19′) 27,  Sub     0	0	0	0	0	0	0	0	6.19   13 	Jason Puncheon (95′)(75′) 31,  Sub     1	0	0	0	0	0	0	0	6.02   14 	Lee Chung-yong (95′) 29,  Sub     0	0	0	0	0	0	0	0	6.04  15 	Julian Speroni  38,  Sub     0	0	0	0	0	0	0	0	-  16 	Damien Delaney  36,  Sub     0	0	0	0	0	0	0	0	-  17 	Pape Souaré  27,  Sub     0	0	0	0	0	0	0	0	-  18 	Sullay Kaikai  22,  Sub     0	0	0	0	0	0	0	0	-",""
"1520630689-197","https://www.whoscored.com/Teams/167/Fixtures/England-Manchester-City","4 : 3","https://www.whoscored.com/Matches/1190354/Live/England-Premier-League-2017-2018-Liverpool-Manchester-City","0Formation Set  433  433 8Roberto Firmino assists a goal (Key pass, Open play) 8GOAL! Alex Oxlade-Chamberlain scores , Assisted by Roberto Firmino (Low to the left, Out of box, Right footed, Open play) 58GOAL! Roberto Firmino scores , Assisted by Alex Oxlade-Chamberlain (Low to the right, 18-yard box, Right footed, Fast break) 58Alex Oxlade-Chamberlain assists a goal (Through Ball, Key pass, Fast break) 59Roberto Firmino recieves a yellow card 60Sadio Mané hits the woodwork (To the right, Out of box, Right footed, Open play) 60Mohamed Salah assists a goal (Key pass, Open play) 61GOAL! Sadio Mané scores , Assisted by Mohamed Salah (High to the left, 18-yard box, Left footed, Open play) 67GOAL! Mohamed Salah scores  (Low to the centre, Out of box, Left footed, Open play) 78James Milner is substituted on 78Emre Can is substituted off 78Formation Change  433  433 87Mohamed Salah is substituted off 87Adam Lallana is substituted on 92James Milner recieves a yellow card 93Sadio Mané is substituted off 93Ragnar Klavan is substituted on 93Formation Change  541  541","0Formation Set  433  433 30Fabian Delph is substituted off 30Danilo is substituted on 39Kyle Walker assists a goal (Long Ball, Off the ground, Key pass, Open play) 40GOAL! Leroy Sané scores , Assisted by Kyle Walker (Low to the left, 18-yard box, Left footed, Open play) 50Nicolás Otamendi hits the woodwork (High, 18-yard box, Head, From corner) 60Nicolás Otamendi commits an error (Leading to goal) 64Nicolás Otamendi recieves a yellow card 67Ederson commits an error (Leading to goal) 68Raheem Sterling recieves a yellow card 70Bernardo Silva is substituted on 70Raheem Sterling is substituted off 71Fernandinho recieves a yellow card 83GOAL! Bernardo Silva scores  (Low to the right, 18-yard box, Big Chance, Left footed, Open play) 90Sergio Agüero assists a goal (Off the ground, Cross, Key pass, Open play) 90GOAL! Ilkay Gündogan scores , Assisted by Sergio Agüero (Low to the right, 18-yard box, Right footed, Open play)","Player Statistics","https://www.whoscored.com/Matches/1190354/LiveStatistics/England-Premier-League-2017-2018-Liverpool-Manchester-City","Liverpool4 : 3Manchester CityElapsed:FTHalf time:1 : 1Full time:4 : 3Kick off:16:00Date:Sun, 14-Jan-18","16Shots117Shots on target475%Pass Success %86%15%Aerial Duel Success85%18Dribbles won2033Tackles24Possession36%64%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Loris Karius  24,  GK     0	0	0	35.7	0	39	5.79  2 	Joseph Gomez  20,  DR     0	0	1	75.8	0	52	7.15  3 	Joel Matip  26,  DC     0	0	0	77.4	0	43	6.70  4 	Dejan Lovren  28,  DC     0	0	0	81.1	1	53	6.73  5 	Andrew Robertson  23,  DL     0	0	0	78.8	1	56	6.93  6 	Emre Can (78′) 24,  MC     0	0	1	86.1	0	52	7.25  7 	Georginio Wijnaldum  27,  MC     2	0	1	80.5	0	64	7.33  8 	Alex Oxlade-Chamberlain  24,  MC     2	2	3	76.9	0	67	8.95    9 	Mohamed Salah (87′) 25,  FWR     6	3	2	80	1	38	8.76    10 	Roberto Firmino  26,  FW     3	1	3	73	0	59	7.79     11 	Sadio Mané (93′) 25,  FWL     3	1	1	77.8	0	47	8.28    12 	Ragnar Klavan (93′) 32,  Sub     0	0	0	0	0	0	6.00  13 	James Milner (78′) 32,  Sub     0	0	0	75	1	8	6.03   14 	Adam Lallana (87′) 29,  Sub     0	0	0	100	0	5	5.96  15 	Simon Mignolet  30,  Sub     0	0	0	0	0	0	-  16 	Trent Alexander-Arnold  19,  Sub     0	0	0	0	0	0	-  17 	Dominic Solanke  20,  Sub     0	0	0	0	0	0	-  18 	Danny Ings  25,  Sub     0	0	0	0	0	0	-",""
"1520630459-38","https://www.whoscored.com/Teams/167/Fixtures/England-Manchester-City","0 : 3","https://www.whoscored.com/Matches/1190419/Live/England-Premier-League-2017-2018-Arsenal-Manchester-City","0Formation Set  4231  4231 31Sead Kolasinac recieves a yellow card 52Pierre-Emerick Aubameyang has attempt saved (Low to the right, 18-yard box, Big Chance, Penalty, Right footed)","0Formation Set  433  433 14Leroy Sané assists a goal (Key pass, Open play) 14GOAL! Bernardo Silva scores , Assisted by Leroy Sané (High to the left, 18-yard box, Left footed, Open play) 18Nicolás Otamendi recieves a yellow card 27Sergio Agüero assists a goal (Key pass, Open play) 27GOAL! David Silva scores , Assisted by Sergio Agüero (High to the left, 18-yard box, Big Chance, Left footed, Open play) 32Kyle Walker assists a goal (Key pass, Open play) 32GOAL! Leroy Sané scores , Assisted by Kyle Walker (Low to the right, 18-yard box, Big Chance, Left footed, Open play) 52Ederson PenaltyFaced (Saved, Diving, To the left, Penalty) 71Oleksandr Zinchenko is substituted on 71Kyle Walker is substituted off 71Formation Change  433  433 81Sergio Agüero is substituted off 81Yaya Touré is substituted on 86David Silva is substituted off 86Gabriel Jesus is substituted on 86Formation Change  4411  4411","Player Statistics","https://www.whoscored.com/Matches/1190419/LiveStatistics/England-Premier-League-2017-2018-Arsenal-Manchester-City","Arsenal0 : 3Manchester CityElapsed:FTHalf time:0 : 3Full time:0 : 3Kick off:19:45Date:Thu, 01-Mar-18","10Shots95Shots on target578%Pass Success %85%40%Aerial Duel Success60%9Dribbles won2124Tackles11Possession46%54%","R		Player  TotalTackles Interceptions Clearances BlockedShots FoulsRating Key Events 1 	Petr Cech  35,  GK     0	0	0	0	0	5.89  2 	Héctor Bellerín  22,  DR     2	1	2	0	0	6.18  3 	Laurent Koscielny  32,  DC     2	2	2	2	1	6.04  4 	Shkodran Mustafi  25,  DC     5	1	2	0	0	6.06  5 	Sead Kolasinac  24,  DL     2	4	3	1	3	6.49   6 	Granit Xhaka  25,  DMC     6	2	1	0	2	7.00  7 	Aaron Ramsey  27,  DMC     0	0	0	0	3	6.11  8 	Henrikh Mkhitaryan  29,  AMR     4	0	0	0	1	6.86  9 	Mesut Özil  29,  AMC     0	0	0	0	1	5.70  10 	Danny Welbeck  27,  AML     3	3	1	0	0	6.92  11 	Pierre-Emerick Aubameyang  28,  FW     0	0	0	0	0	5.70   12 	David Ospina  29,  Sub     0	0	0	0	0	-  13 	Mohamed Elneny  25,  Sub     0	0	0	0	0	-  14 	Alex Iwobi  21,  Sub     0	0	0	0	0	-  15 	Calum Chambers  23,  Sub     0	0	0	0	0	-  16 	Ainsley Maitland-Niles  20,  Sub     0	0	0	0	0	-  17 	Rob Holding  22,  Sub     0	0	0	0	0	-  18 	Eddie Nketiah  18,  Sub     0	0	0	0	0	-",""
