web-scraper-order,web-scraper-start-url,matches,matches-href,summary_home,summary_away,gotosummary,gotosummary-href,matchsummary,teamstatistics,home_data_summary,away_data_summary
"1520644313-5729","https://www.whoscored.com/Teams/27/Fixtures/England-Watford","4 : 2","https://www.whoscored.com/Matches/1190540/Live/England-Premier-League-2017-2018-Chelsea-Watford","0Formation Set  343  343 10Eden Hazard assists a goal (Key pass, From corner) 11GOAL! Pedro scores , Assisted by Eden Hazard (High to the left, Out of box, Right footed, From corner) 22Antonio Rüdiger recieves a yellow card 55Álvaro Morata recieves a yellow card 60Álvaro Morata is substituted off 60Michy Batshuayi is substituted on 67Willian is substituted on 67Formation Change  343  343 67Marcos Alonso is substituted off 70GOAL! Michy Batshuayi scores , Assisted by Pedro (Low to the left, 18-yard box, Head, Set piece) 70Pedro assists a goal (Cross, Off the ground, Key pass, Set piece) 85Pedro is substituted off 85Davide Zappacosta is substituted on 86GOAL! César Azpilicueta scores  (Low to the left, 6-yard box, Big Chance, Head, Open play) 94Tiemoué Bakayoko assists a goal (Headed, Key pass, Open play) 94GOAL! Michy Batshuayi scores , Assisted by Tiemoué Bakayoko (Low to the centre, 18-yard box, Big Chance, Right footed, Open play)","0Formation Set  343  343 11José Holebas recieves a yellow card 18Adrian Mariappa recieves a yellow card 46GOAL! Abdoulaye Doucouré scores  (Low to the right, 18-yard box, Right footed, Throw-in) 48GOAL! Roberto Pereyra scores , Assisted by Richarlison (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 48Richarlison assists a goal (Key pass, Open play) 64Roberto Pereyra is substituted off 64André Carrillo is substituted on 77Kiko Femenía recieves a yellow card 79Formation Change  343  343 79Ben Watson is substituted on 79Formation Change  541  541 79Troy Deeney is substituted off 89Adrian Mariappa is substituted off 89Andre Gray is substituted on 89Formation Change  442  442 94Miguel Britos commits an error (Leading to goal)","Player Statistics","https://www.whoscored.com/Matches/1190540/LiveStatistics/England-Premier-League-2017-2018-Chelsea-Watford","Chelsea4 : 2WatfordElapsed:FTHalf time:1 : 1Full time:4 : 2Kick off:12:30Date:Sat, 21-Oct-17","14Shots168Shots on target582%Pass Success %79%60%Aerial Duel Success40%13Dribbles won522Tackles17Possession53%47%","",""
"1520644017-5527","https://www.whoscored.com/Teams/27/Fixtures/England-Watford","3 : 1","https://www.whoscored.com/Matches/1190440/Live/England-Premier-League-2017-2018-Manchester-City-Watford","0Leroy Sané assists a goal (Off the ground, Cross, Key pass, Open play) 0Formation Set  433  433 0GOAL! Raheem Sterling scores , Assisted by Leroy Sané (Low to the right, 6-yard box, Big Chance, Left footed, Open play) 12Christian Kabasele scores an OWN GOAL!  (Low to the left, 18-yard box, Right footed, Open play) 23David Silva recieves a yellow card 62GOAL! Sergio Agüero scores  (Low to the left, 6-yard box, Big Chance, Right footed, From corner) 66John Stones is substituted off 66Danilo is substituted on 70Yaya Touré is substituted on 70Fernandinho is substituted off 78Kevin De Bruyne is substituted off 78Bernardo Silva is substituted on","0Formation Set  4231  4231 60Etienne Capoue is substituted off 60Ben Watson is substituted off 60Roberto Pereyra is substituted on 60Tom Cleverley is substituted on 61Formation Change  4141  4141 62Heurelho Gomes commits an error (Leading to goal) 81GOAL! Andre Gray scores , Assisted by André Carrillo (Low to the centre, 6-yard box, Big Chance, Right footed, Open play) 81Richarlison is substituted off 81Jerome Sinclair is substituted on 81André Carrillo assists a goal (Key pass, Open play) 82Roberto Pereyra recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190440/LiveStatistics/England-Premier-League-2017-2018-Manchester-City-Watford","Manchester City3 : 1WatfordElapsed:FTHalf time:2 : 0Full time:3 : 1Kick off:20:00Date:Tue, 02-Jan-18","18Shots77Shots on target492%Pass Success %69%55%Aerial Duel Success45%16Dribbles won814Tackles25Possession77%23%","",""
"1520644062-5551","https://www.whoscored.com/Teams/27/Fixtures/England-Watford","2 : 1","https://www.whoscored.com/Matches/1190372/Live/England-Premier-League-2017-2018-Watford-Leicester","0Formation Set  433  433 7Ben Watson recieves a yellow card 12Christian Kabasele recieves a yellow card 43Roberto Pereyra is substituted off 43Stefano Okaka is substituted on 43Formation Change  433  433 44GOAL! Molla Wagué scores  (Low to the right, 6-yard box, Big Chance, Right footed, From corner) 47Richarlison hits the woodwork (To the left, 18-yard box, Left footed, Open play) 64Kasper Schmeichel scores an OWN GOAL!  (Low to the centre, 6-yard box, Other body part, Set piece) 86Formation Change  541  541 86Sebastian Prödl is substituted on 86Ben Watson is substituted off 87Marvin Zeegelaar recieves a yellow card 89André Carrillo is substituted off 89Jerome Sinclair is substituted on","0Formation Set  4231  4231 3Harry Maguire recieves a yellow card 29Aleksandar Dragovic recieves a yellow card 36Marc Albrighton assists a goal (Cross, Off the ground, Key pass, Open play) 36GOAL! Riyad Mahrez scores , Assisted by Marc Albrighton (High to the left, 18-yard box, Big Chance, Head, Open play) 72Demarai Gray is substituted on 72Shinji Okazaki is substituted off 72Islam Slimani is substituted on 72Aleksandar Dragovic is substituted off 73Formation Change  3412  3412 80Andy King recieves a yellow card 83Andy King is substituted off 83Leonardo Ulloa is substituted on 83Formation Change  343  343","Player Statistics","https://www.whoscored.com/Matches/1190372/LiveStatistics/England-Premier-League-2017-2018-Watford-Leicester","Watford2 : 1LeicesterElapsed:FTHalf time:1 : 1Full time:2 : 1Kick off:15:00Date:Tue, 26-Dec-17","11Shots111Shots on target565%Pass Success %68%42%Aerial Duel Success58%13Dribbles won1520Tackles15Possession50%50%","",""
"1520644062-5558","https://www.whoscored.com/Teams/27/Fixtures/England-Watford","2 : 1","https://www.whoscored.com/Matches/1190372/Live/England-Premier-League-2017-2018-Watford-Leicester","0Formation Set  433  433 7Ben Watson recieves a yellow card 12Christian Kabasele recieves a yellow card 43Roberto Pereyra is substituted off 43Stefano Okaka is substituted on 43Formation Change  433  433 44GOAL! Molla Wagué scores  (Low to the right, 6-yard box, Big Chance, Right footed, From corner) 47Richarlison hits the woodwork (To the left, 18-yard box, Left footed, Open play) 64Kasper Schmeichel scores an OWN GOAL!  (Low to the centre, 6-yard box, Other body part, Set piece) 86Formation Change  541  541 86Sebastian Prödl is substituted on 86Ben Watson is substituted off 87Marvin Zeegelaar recieves a yellow card 89André Carrillo is substituted off 89Jerome Sinclair is substituted on","0Formation Set  4231  4231 3Harry Maguire recieves a yellow card 29Aleksandar Dragovic recieves a yellow card 36Marc Albrighton assists a goal (Cross, Off the ground, Key pass, Open play) 36GOAL! Riyad Mahrez scores , Assisted by Marc Albrighton (High to the left, 18-yard box, Big Chance, Head, Open play) 72Demarai Gray is substituted on 72Shinji Okazaki is substituted off 72Islam Slimani is substituted on 72Aleksandar Dragovic is substituted off 73Formation Change  3412  3412 80Andy King recieves a yellow card 83Andy King is substituted off 83Leonardo Ulloa is substituted on 83Formation Change  343  343","Player Statistics","https://www.whoscored.com/Matches/1190372/LiveStatistics/England-Premier-League-2017-2018-Watford-Leicester","Watford2 : 1LeicesterElapsed:FTHalf time:1 : 1Full time:2 : 1Kick off:15:00Date:Tue, 26-Dec-17","11Shots111Shots on target565%Pass Success %68%42%Aerial Duel Success58%13Dribbles won1520Tackles15Possession50%50%","R		Player  KeyPasses Passes PA% Crosses AccCrosses LB AccLB ThB AccThBRating Key Events 1 	Heurelho Gomes  37,  GK     0	23	43.5	0	0	22	9	0	0	7.64  2 	Daryl Janmaat  28,  DR     0	41	73.2	0	0	7	1	0	0	6.61  3 	Christian Kabasele  27,  DC     0	15	60	0	0	1	0	0	0	7.16   4 	Molla Wagué  27,  DC     0	19	47.4	1	1	5	2	0	0	7.64   5 	Marvin Zeegelaar  27,  DL     0	28	67.9	4	0	6	2	0	0	7.45   6 	Abdoulaye Doucouré  25,  MC     0	48	66.7	1	0	1	0	0	0	6.67  7 	Tom Cleverley  28,  MC     3	42	78.6	10	4	1	1	0	0	7.14  8 	Ben Watson (86′) 32,  MC     0	35	77.1	0	0	10	5	0	0	6.65   9 	André Carrillo (89′) 26,  FWR     3	43	69.8	1	0	2	2	1	1	7.88  10 	Richarlison  20,  FW     2	27	59.3	1	0	0	0	0	0	7.11   11 	Roberto Pereyra (43′) 27,  FWL     0	12	66.7	2	0	1	0	0	0	6.39  12 	Sebastian Prödl (86′) 30,  Sub     0	2	0	0	0	1	0	0	0	6.03  13 	Stefano Okaka (43′) 28,  Sub     0	18	50	0	0	1	1	0	0	6.32  14 	Jerome Sinclair (89′) 21,  Sub     0	2	100	0	0	0	0	0	0	6.00  15 	Daniel Bachmann  23,  Sub     0	0	0	0	0	0	0	0	0	-  16 	Etienne Capoue  29,  Sub     0	0	0	0	0	0	0	0	0	-  17 	José Holebas  33,  Sub     0	0	0	0	0	0	0	0	0	-  18 	Andre Gray  26,  Sub     0	0	0	0	0	0	0	0	0	-",""
"1520644131-5601","https://www.whoscored.com/Teams/27/Fixtures/England-Watford","2 : 1","https://www.whoscored.com/Matches/1190527/Live/England-Premier-League-2017-2018-Crystal-Palace-Watford","0Formation Set  442  442 62Luka Milivojevic recieves a yellow card 66Patrick van Aanholt is substituted on 66Andros Townsend is substituted off 66Formation Change  442  442 69Bakary Sako is substituted on 69Formation Change  442  442 69Timothy Fosu-Mensah is substituted off 76James McArthur is substituted on 76Yohan Cabaye is substituted off 84Patrick van Aanholt recieves a yellow card 88GOAL! Bakary Sako scores  (Low to the centre, 18-yard box, Right footed, Open play) 91GOAL! James McArthur scores  (Low to the right, 18-yard box, Left footed, Open play)","0Formation Set  3421  3421 2Richarlison assists a goal (Cross, Off the ground, Key pass, Open play) 2GOAL! Daryl Janmaat scores , Assisted by Richarlison (High to the right, 18-yard box, Big Chance, Head, Open play) 70Roberto Pereyra is substituted on 70André Carrillo is substituted off 77Tom Cleverley recieves a yellow card 79Andre Gray is substituted on 79Troy Deeney is substituted off 83Richarlison is substituted off 83Kiko Femenía is substituted on 86Tom Cleverley recieves a red card after receiving second yellow card 90Roberto Pereyra recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190527/LiveStatistics/England-Premier-League-2017-2018-Crystal-Palace-Watford","Crystal Palace2 : 1WatfordElapsed:FTHalf time:0 : 1Full time:2 : 1Kick off:20:00Date:Tue, 12-Dec-17","14Shots74Shots on target277%Pass Success %68%69%Aerial Duel Success31%8Dribbles won413Tackles21Possession54%46%","",""
"1520644245-5683","https://www.whoscored.com/Teams/27/Fixtures/England-Watford","2 : 0","https://www.whoscored.com/Matches/1190290/Live/England-Premier-League-2017-2018-Watford-West-Ham","0Formation Set  3421  3421 10Andre Gray misses attempt (To the right, 18-yard box, Key pass, Left footed, Open play) 10GOAL! Will Hughes scores , Assisted by Andre Gray (Low to the left, 18-yard box, Left footed, Open play) 28Miguel Britos recieves a yellow card 63Will Hughes assists a goal (Key pass, Open play) 63GOAL! Richarlison scores , Assisted by Will Hughes (Low to the right, 18-yard box, Left footed, Open play) 73Christian Kabasele blocks a shot (Last line) 83Will Hughes is substituted off 83Roberto Pereyra is substituted on 85José Holebas is substituted on 85Kiko Femenía is substituted off 96Andre Gray is substituted off 96André Carrillo is substituted on 96Formation Change  3421  3421","0Formation Set  433  433 27Andy Carroll recieves a yellow card 34Marko Arnautovic recieves a yellow card 40Pedro Obiang recieves a yellow card 63Joe Hart commits an error (Leading to goal) 64Andy Carroll is substituted off 64Diafra Sakho is substituted on 73Marko Arnautovic is substituted off 73Arthur Masuaku is substituted on 73Formation Change  433  433 82Mark Noble recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190290/LiveStatistics/England-Premier-League-2017-2018-Watford-West-Ham","Watford2 : 0West HamElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:16:00Date:Sun, 19-Nov-17","17Shots107Shots on target684%Pass Success %76%49%Aerial Duel Success51%7Dribbles won913Tackles6Possession59%41%","R		Player  Shots ShotsOT KeyPasses PA% AerialsWon TouchesRating Key Events 1 	Heurelho Gomes  37,  GK     0	0	0	73.9	1	32	8.10  2 	Christian Kabasele  27,  DC     0	0	0	77.4	4	65	7.84   3 	Adrian Mariappa  31,  DC     1	1	0	79.6	5	64	7.24  4 	Miguel Britos  32,  DC     1	0	0	75.4	3	84	7.16   5 	Kiko Femenía (85′) 27,  DMR     1	0	2	88.7	0	72	7.25  6 	Marvin Zeegelaar  27,  DML     0	0	1	83	1	67	7.60  7 	Abdoulaye Doucouré  25,  MC     2	1	1	95.5	0	102	7.05  8 	Tom Cleverley  28,  MC     1	1	1	91.2	1	115	7.08  9 	Richarlison  20,  AMC     4	2	0	67.5	5	65	8.36   10 	Will Hughes (83′) 22,  AMC     3	2	5	84.4	0	62	8.56    11 	Andre Gray (96′) 26,  FW     4	0	4	79	2	28	6.88   12 	Roberto Pereyra (83′) 27,  Sub     0	0	0	85.7	0	15	6.02  13 	José Holebas (85′) 33,  Sub     0	0	0	88.9	0	10	6.05  14 	André Carrillo (96′) 26,  Sub     0	0	0	100	0	1	6.04  15 	Sebastian Prödl  30,  Sub     0	0	0	0	0	0	-  16 	Etienne Capoue  29,  Sub     0	0	0	0	0	0	-  17 	Orestis Karnezis  32,  Sub     0	0	0	0	0	0	-  18 	Stefano Okaka  28,  Sub     0	0	0	0	0	0	-",""
"1520644086-5567","https://www.whoscored.com/Teams/27/Fixtures/England-Watford","1 : 0","https://www.whoscored.com/Matches/1190530/Live/England-Premier-League-2017-2018-Brighton-Watford","0Formation Set  4411  4411 63Tomer Hemed assists a goal (Key pass, Open play) 63GOAL! Pascal Groß scores , Assisted by Tomer Hemed (High to the centre, Out of box, Right footed, Open play) 82Pascal Groß is substituted off 82Beram Kayal is substituted on 82Formation Change  451  451 86Tomer Hemed is substituted off 86Glenn Murray is substituted on 92Solly March is substituted off 92José Izquierdo is substituted on","0Formation Set  4231  4231 63Heurelho Gomes commits an error (Leading to goal) 70Roberto Pereyra is substituted off 70Jerome Sinclair is substituted on 70Formation Change  4231  4231 73Ben Watson is substituted off 73Etienne Capoue is substituted on 77Andre Gray is substituted off 77Stefano Okaka is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190530/LiveStatistics/England-Premier-League-2017-2018-Brighton-Watford","Brighton1 : 0WatfordElapsed:FTHalf time:0 : 0Full time:1 : 0Kick off:15:00Date:Sat, 23-Dec-17","14Shots123Shots on target177%Pass Success %72%60%Aerial Duel Success40%19Dribbles won1314Tackles19Possession52%48%","",""
"1520644245-5685","https://www.whoscored.com/Teams/27/Fixtures/England-Watford","2 : 0","https://www.whoscored.com/Matches/1190290/Live/England-Premier-League-2017-2018-Watford-West-Ham","0Formation Set  3421  3421 10Andre Gray misses attempt (To the right, 18-yard box, Key pass, Left footed, Open play) 10GOAL! Will Hughes scores , Assisted by Andre Gray (Low to the left, 18-yard box, Left footed, Open play) 28Miguel Britos recieves a yellow card 63Will Hughes assists a goal (Key pass, Open play) 63GOAL! Richarlison scores , Assisted by Will Hughes (Low to the right, 18-yard box, Left footed, Open play) 73Christian Kabasele blocks a shot (Last line) 83Will Hughes is substituted off 83Roberto Pereyra is substituted on 85José Holebas is substituted on 85Kiko Femenía is substituted off 96Andre Gray is substituted off 96André Carrillo is substituted on 96Formation Change  3421  3421","0Formation Set  433  433 27Andy Carroll recieves a yellow card 34Marko Arnautovic recieves a yellow card 40Pedro Obiang recieves a yellow card 63Joe Hart commits an error (Leading to goal) 64Andy Carroll is substituted off 64Diafra Sakho is substituted on 73Marko Arnautovic is substituted off 73Arthur Masuaku is substituted on 73Formation Change  433  433 82Mark Noble recieves a yellow card","Player Statistics","https://www.whoscored.com/Matches/1190290/LiveStatistics/England-Premier-League-2017-2018-Watford-West-Ham","Watford2 : 0West HamElapsed:FTHalf time:1 : 0Full time:2 : 0Kick off:16:00Date:Sun, 19-Nov-17","17Shots107Shots on target684%Pass Success %76%49%Aerial Duel Success51%7Dribbles won913Tackles6Possession59%41%","R		Player  Shots ShotsOT KeyPasses Dribbles Fouled Offsides Disp UnsTouchesRating Key Events 1 	Heurelho Gomes  37,  GK     0	0	0	0	0	0	0	0	8.10  2 	Christian Kabasele  27,  DC     0	0	0	0	1	0	0	1	7.84   3 	Adrian Mariappa  31,  DC     1	1	0	0	0	0	0	0	7.24  4 	Miguel Britos  32,  DC     1	0	0	0	0	0	0	1	7.16   5 	Kiko Femenía (85′) 27,  DMR     1	0	2	1	0	0	0	0	7.25  6 	Marvin Zeegelaar  27,  DML     0	0	1	3	0	0	0	0	7.60  7 	Abdoulaye Doucouré  25,  MC     2	1	1	1	1	0	1	2	7.05  8 	Tom Cleverley  28,  MC     1	1	1	0	1	0	0	1	7.08  9 	Richarlison  20,  AMC     4	2	0	1	4	0	0	6	8.36   10 	Will Hughes (83′) 22,  AMC     3	2	5	1	2	0	2	2	8.56    11 	Andre Gray (96′) 26,  FW     4	0	4	0	0	0	0	2	6.88   12 	Roberto Pereyra (83′) 27,  Sub     0	0	0	0	0	0	0	1	6.02  13 	José Holebas (85′) 33,  Sub     0	0	0	0	0	0	0	0	6.05  14 	André Carrillo (96′) 26,  Sub     0	0	0	0	0	0	0	0	6.04  15 	Sebastian Prödl  30,  Sub     0	0	0	0	0	0	0	0	-  16 	Etienne Capoue  29,  Sub     0	0	0	0	0	0	0	0	-  17 	Orestis Karnezis  32,  Sub     0	0	0	0	0	0	0	0	-  18 	Stefano Okaka  28,  Sub     0	0	0	0	0	0	0	0	-",""
"1520644153-5625","https://www.whoscored.com/Teams/27/Fixtures/England-Watford","1 : 0","https://www.whoscored.com/Matches/1190289/Live/England-Premier-League-2017-2018-Burnley-Watford","0Formation Set  4231  4231 44Johann Berg Gudmundsson assists a goal (Key pass, Open play) 44GOAL! Scott Arfield scores , Assisted by Johann Berg Gudmundsson (Low to the right, 18-yard box, Left footed, Open play) 59Jeff Hendrick is substituted off 59Ashley Barnes is substituted on 85Phil Bardsley recieves a yellow card 93Steven Defour is substituted off 93Ashley Westwood is substituted on","0Formation Set  4231  4231 38Marvin Zeegelaar recieves a red card 43José Holebas is substituted on 43Roberto Pereyra is substituted off 43Formation Change  4231  4231 78André Carrillo is substituted off 78Andre Gray is substituted on","Player Statistics","https://www.whoscored.com/Matches/1190289/LiveStatistics/England-Premier-League-2017-2018-Burnley-Watford","Burnley1 : 0WatfordElapsed:FTHalf time:1 : 0Full time:1 : 0Kick off:15:00Date:Sat, 09-Dec-17","8Shots115Shots on target266%Pass Success %70%55%Aerial Duel Success45%5Dribbles won48Tackles10Possession49%51%","",""
"1520644402-5793","https://www.whoscored.com/Teams/27/Fixtures/England-Watford","0 : 6","https://www.whoscored.com/Matches/1190204/Live/England-Premier-League-2017-2018-Watford-Manchester-City","0Formation Set  4231  4231 28José Holebas recieves a yellow card 39Abdoulaye Doucouré recieves a yellow card 63Tom Cleverley is substituted off 63Roberto Pereyra is substituted on 69Nathaniel Chalobah is substituted off 69Etienne Capoue is substituted on 73Andre Gray is substituted off 73Troy Deeney is substituted on","0Formation Set  433  433 26Kevin De Bruyne assists a goal (Cross, Free-kick, Off the ground, Key pass, Set piece) 26GOAL! Sergio Agüero scores , Assisted by Kevin De Bruyne (Low to the left, 18-yard box, Head, Set piece) 30GOAL! Sergio Agüero scores , Assisted by David Silva (Low to the centre, 6-yard box, Big Chance, Right footed, Open play) 30David Silva assists a goal (Key pass, Open play) 36Sergio Agüero assists a goal (Through Ball, Key pass, Open play) 37GOAL! Gabriel Jesus scores , Assisted by Sergio Agüero (Low to the left, 18-yard box, Big Chance, Right footed, Open play) 62David Silva assists a goal (Off the ground, Cross, Key pass, From corner) 62GOAL! Nicolás Otamendi scores , Assisted by David Silva (High to the right, 18-yard box, Big Chance, Head, From corner) 64Gabriel Jesus is substituted off 64Bernardo Silva is substituted on 65Kevin De Bruyne is substituted off 65Ilkay Gündogan is substituted on 76Formation Change  4132  4132 77David Silva is substituted off 77Leroy Sané is substituted on 77Formation Change  4141  4141 80Kyle Walker assists a goal (Key pass, Open play) 80GOAL! Sergio Agüero scores , Assisted by Kyle Walker (Low to the left, 18-yard box, Right footed, Open play) 88GOAL! Raheem Sterling scores  (High to the left, 18-yard box, Big Chance, Penalty, Right footed)","Player Statistics","https://www.whoscored.com/Matches/1190204/LiveStatistics/England-Premier-League-2017-2018-Watford-Manchester-City","Watford0 : 6Manchester CityElapsed:FTHalf time:0 : 3Full time:0 : 6Kick off:15:00Date:Sat, 16-Sep-17","7Shots281Shots on target1075%Pass Success %90%46%Aerial Duel Success54%11Dribbles won137Tackles19Possession33%67%","",""
